t(c)	theta_c(grad)
3.980	83.744
3.990	83.744
4.000	83.744
4.010	83.744
4.020	83.744
4.030	83.744
4.040	83.744
4.050	83.744
4.060	83.744
4.070	83.744
4.080	83.744
4.090	83.744
4.100	83.744
4.110	83.744
4.120	83.744
4.130	83.744
4.140	83.743
4.150	83.743
4.160	83.743
4.170	83.743
4.180	83.743
4.190	83.743
4.200	83.743
4.210	83.743
4.220	83.743
4.230	83.743
4.240	83.743
4.250	83.743
4.260	83.743
4.270	83.743
4.280	83.743
4.290	83.743
4.300	83.743
4.310	83.743
4.320	83.743
4.330	83.743
4.340	83.743
4.350	83.743
4.360	83.743
4.370	83.743
4.380	83.743
4.390	83.743
4.400	83.743
4.410	83.743
4.420	83.743
4.430	83.743
4.440	83.743
4.450	83.743
4.460	83.743
4.470	83.743
4.480	83.743
4.490	83.743
4.500	83.743
4.510	83.743
4.520	83.744
4.530	83.744
4.540	83.744
4.550	83.744
4.560	83.744
4.570	83.744
4.580	83.744
4.590	83.744
4.600	83.744
4.610	83.744
4.620	83.744
4.630	83.744
4.640	83.744
4.650	83.744
4.660	83.744
4.670	83.744
4.680	83.744
4.690	83.744
4.700	83.744
4.710	83.744
4.720	83.744
4.730	83.744
4.740	83.744
4.750	83.744
4.760	83.744
4.770	83.744
4.780	83.744
4.790	83.744
4.800	83.744
4.810	83.744
4.820	83.744
4.830	83.744
4.840	83.744
4.850	83.744
4.860	83.744
4.870	83.745
4.880	83.745
4.890	83.745
4.900	83.745
4.910	83.745
4.920	83.745
4.930	83.745
4.940	83.745
4.950	83.745
4.960	83.745
4.970	83.745
4.980	83.745
4.990	83.745
5.000	83.745
5.010	83.745
5.020	83.745
5.030	83.745
5.040	83.745
5.050	83.745
5.060	83.745
5.070	83.746
5.080	83.746
5.090	83.746
5.100	83.746
5.110	83.746
5.120	83.746
5.130	83.746
5.140	83.746
5.150	83.746
5.160	83.746
5.170	83.746
5.180	83.746
5.190	83.746
5.200	83.746
5.210	83.746
5.220	83.746
5.230	83.746
5.240	83.747
5.250	83.747
5.260	83.747
5.270	83.747
5.280	83.747
5.290	83.747
5.300	83.747
5.310	83.747
5.320	83.747
5.330	83.747
5.340	83.747
5.350	83.747
5.360	83.747
5.370	83.747
5.380	83.747
5.390	83.748
5.400	83.748
5.410	83.748
5.420	83.748
5.430	83.748
5.440	83.748
5.450	83.748
5.460	83.748
5.470	83.748
5.480	83.748
5.490	83.748
5.500	83.748
5.510	83.748
5.520	83.749
5.530	83.749
5.540	83.749
5.550	83.749
5.560	83.749
5.570	83.749
5.580	83.749
5.590	83.749
5.600	83.749
5.610	83.749
5.620	83.749
5.630	83.749
5.640	83.750
5.650	83.750
5.660	83.750
5.670	83.750
5.680	83.750
5.690	83.750
5.700	83.750
5.710	83.750
5.720	83.750
5.730	83.750
5.740	83.750
5.750	83.750
5.760	83.751
5.770	83.751
5.780	83.751
5.790	83.751
5.800	83.751
5.810	83.751
5.820	83.751
5.830	83.751
5.840	83.751
5.850	83.751
5.860	83.751
5.870	83.752
5.880	83.752
5.890	83.752
5.900	83.752
5.910	83.752
5.920	83.752
5.930	83.752
5.940	83.752
5.950	83.752
5.960	83.752
5.970	83.753
5.980	83.753
5.990	83.753
6.000	83.753
6.010	83.753
6.020	83.753
6.030	83.753
6.040	83.753
6.050	83.753
6.060	83.753
6.070	83.754
6.080	83.754
6.090	83.754
6.100	83.754
6.110	83.754
6.120	83.754
6.130	83.754
6.140	83.754
6.150	83.754
6.160	83.755
6.170	83.755
6.180	83.755
6.190	83.755
6.200	83.755
6.210	83.755
6.220	83.755
6.230	83.755
6.240	83.755
6.250	83.755
6.260	83.756
6.270	83.756
6.280	83.756
6.290	83.756
6.300	83.756
6.310	83.756
6.320	83.756
6.330	83.756
6.340	83.756
6.350	83.757
6.360	83.757
6.370	83.757
6.380	83.757
6.390	83.757
6.400	83.757
6.410	83.757
6.420	83.757
6.430	83.758
6.440	83.758
6.450	83.758
6.460	83.758
6.470	83.758
6.480	83.758
6.490	83.758
6.500	83.758
6.510	83.758
6.520	83.759
6.530	83.759
6.540	83.759
6.550	83.759
6.560	83.759
6.570	83.759
6.580	83.759
6.590	83.759
6.600	83.760
6.610	83.760
6.620	83.760
6.630	83.760
6.640	83.760
6.650	83.760
6.660	83.760
6.670	83.760
6.680	83.761
6.690	83.761
6.700	83.761
6.710	83.761
6.720	83.761
6.730	83.761
6.740	83.761
6.750	83.761
6.760	83.762
6.770	83.762
6.780	83.762
6.790	83.762
6.800	83.762
6.810	83.762
6.820	83.762
6.830	83.762
6.840	83.763
6.850	83.763
6.860	83.763
6.870	83.763
6.880	83.763
6.890	83.763
6.900	83.763
6.910	83.763
6.920	83.764
6.930	83.764
6.940	83.764
6.950	83.764
6.960	83.764
6.970	83.764
6.980	83.764
6.990	83.765
7.000	83.765
7.010	83.765
7.020	83.765
7.030	83.765
7.040	83.765
7.050	83.765
7.060	83.765
7.070	83.766
7.080	83.766
7.090	83.766
7.100	83.766
7.110	83.766
7.120	83.766
7.130	83.766
7.140	83.767
7.150	83.767
7.160	83.767
7.170	83.767
7.180	83.767
7.190	83.767
7.200	83.767
7.210	83.768
7.220	83.768
7.230	83.768
7.240	83.768
7.250	83.768
7.260	83.768
7.270	83.768
7.280	83.768
7.290	83.769
7.300	83.769
7.310	83.769
7.320	83.769
7.330	83.769
7.340	83.769
7.350	83.769
7.360	83.770
7.370	83.770
7.380	83.770
7.390	83.770
7.400	83.770
7.410	83.770
7.420	83.770
7.430	83.771
7.440	83.771
7.450	83.771
7.460	83.771
7.470	83.771
7.480	83.771
7.490	83.771
7.500	83.772
7.510	83.772
7.520	83.772
7.530	83.772
7.540	83.772
7.550	83.772
7.560	83.772
7.570	83.772
7.580	83.773
7.590	83.773
7.600	83.773
7.610	83.773
7.620	83.773
7.630	83.773
7.640	83.773
7.650	83.774
7.660	83.774
7.670	83.774
7.680	83.774
7.690	83.774
7.700	83.774
7.710	83.774
7.720	83.775
7.730	83.775
7.740	83.775
7.750	83.775
7.760	83.775
7.770	83.775
7.780	83.775
7.790	83.776
7.800	83.776
7.810	83.776
7.820	83.776
7.830	83.776
7.840	83.776
7.850	83.776
7.860	83.776
7.870	83.777
7.880	83.777
7.890	83.777
7.900	83.777
7.910	83.777
7.920	83.777
7.930	83.777
7.940	83.778
7.950	83.778
7.960	83.778
7.970	83.778
7.980	83.778
7.990	83.778
8.000	83.778
8.010	83.779
8.020	83.779
8.030	83.779
8.040	83.779
8.050	83.779
8.060	83.779
8.070	83.779
8.080	83.780
8.090	83.780
8.100	83.780
8.110	83.780
8.120	83.780
8.130	83.780
8.140	83.780
8.150	83.781
8.160	83.781
8.170	83.781
8.180	83.781
8.190	83.781
8.200	83.781
8.210	83.781
8.220	83.782
8.230	83.782
8.240	83.782
8.250	83.782
8.260	83.782
8.270	83.782
8.280	83.782
8.290	83.783
8.300	83.783
8.310	83.783
8.320	83.783
8.330	83.783
8.340	83.783
8.350	83.784
8.360	83.784
8.370	83.784
8.380	83.784
8.390	83.784
8.400	83.784
8.410	83.785
8.420	83.785
8.430	83.785
8.440	83.785
8.450	83.785
8.460	83.785
8.470	83.785
8.480	83.786
8.490	83.786
8.500	83.786
8.510	83.786
8.520	83.786
8.530	83.786
8.540	83.787
8.550	83.787
8.560	83.787
8.570	83.787
8.580	83.787
8.590	83.788
8.600	83.788
8.610	83.788
8.620	83.788
8.630	83.788
8.640	83.788
8.650	83.789
8.660	83.789
8.670	83.789
8.680	83.789
8.690	83.789
8.700	83.789
8.710	83.790
8.720	83.790
8.730	83.790
8.740	83.790
8.750	83.790
