x(m)	theta_c(grad)
0.00	85.000
0.11	84.637
0.25	84.423
0.44	84.283
0.66	84.184
0.93	84.110
1.23	84.054
1.57	84.009
1.95	83.972
2.37	83.942
2.83	83.917
3.33	83.896
3.87	83.878
4.44	83.862
5.06	83.849
5.72	83.837
6.41	83.826
7.15	83.817
7.93	83.809
8.74	83.802
9.60	83.795
10.49	83.789
11.43	83.784
12.40	83.780
13.42	83.775
14.47	83.772
15.57	83.768
16.71	83.765
17.88	83.763
19.10	83.760
20.35	83.758
21.65	83.756
22.99	83.754
24.36	83.753
25.78	83.751
27.24	83.750
28.74	83.749
30.27	83.749
31.85	83.748
33.47	83.747
35.13	83.747
36.83	83.746
38.57	83.746
40.35	83.746
42.18	83.746
44.04	83.746
45.94	83.746
47.88	83.746
49.87	83.747
51.89	83.747
53.96	83.748
56.06	83.748
58.21	83.749
60.40	83.749
62.62	83.750
64.89	83.751
67.20	83.751
69.55	83.752
71.93	83.753
74.36	83.754
76.83	83.755
79.34	83.756
81.88	83.757
84.47	83.758
87.10	83.759
89.76	83.760
92.47	83.761
95.21	83.763
98.00	83.764
100.82	83.765
103.68	83.766
106.58	83.768
109.52	83.769
112.50	83.770
115.51	83.772
118.56	83.773
121.65	83.774
124.78	83.776
127.94	83.777
131.14	83.779
134.38	83.780
137.66	83.781
140.97	83.783
144.31	83.784
147.69	83.786
151.11	83.787
154.56	83.789
158.05	83.791
161.57	83.793
165.12	83.794
168.71	83.796
172.33	83.798
175.98	83.800
179.67	83.802
183.39	83.804
187.14	83.806
190.93	83.809
194.74	83.811
198.59	83.813
202.47	83.815
206.38	83.816
210.33	83.818
214.30	83.820
218.31	83.822
222.35	83.824
226.41	83.826
230.51	83.828
234.65	83.830
238.81	83.832
243.00	83.834
247.23	83.835
251.49	83.837
255.77	83.839
260.09	83.841
264.44	83.843
268.82	83.845
273.23	83.847
277.67	83.849
282.14	83.851
286.65	83.853
291.18	83.855
295.74	83.857
300.34	83.859
304.96	83.861
309.62	83.863
314.30	83.865
319.02	83.868
323.76	83.870
328.54	83.872
333.34	83.874
338.18	83.876
343.04	83.878
347.94	83.880
352.86	83.882
357.82	83.884
362.80	83.886
367.82	83.888
372.86	83.890
377.93	83.893
383.03	83.895
388.16	83.897
393.32	83.899
398.51	83.901
403.73	83.903
408.98	83.905
414.26	83.907
419.57	83.910
424.91	83.912
430.27	83.914
435.67	83.916
441.10	83.918
446.55	83.920
452.03	83.922
457.55	83.924
463.09	83.927
468.66	83.929
474.27	83.931
479.90	83.933
485.56	83.935
491.25	83.937
496.97	83.940
502.72	83.942
508.50	83.944
514.30	83.946
520.14	83.948
526.01	83.950
531.91	83.952
537.83	83.955
543.79	83.957
549.78	83.959
555.79	83.961
561.84	83.963
567.92	83.965
574.02	83.968
580.16	83.970
586.33	83.972
592.52	83.974
598.75	83.976
605.01	83.978
611.30	83.980
617.61	83.983
623.96	83.985
630.34	83.987
636.75	83.989
643.19	83.991
649.67	83.993
656.17	83.996
662.70	83.998
669.27	84.000
675.87	84.002
682.49	84.004
689.15	84.006
695.84	84.008
702.57	84.010
709.32	84.013
716.11	84.015
722.93	84.017
729.77	84.019
736.66	84.021
743.57	84.023
750.52	84.025
757.50	84.027
764.51	84.030
771.55	84.032
778.63	84.034
785.74	84.036
792.88	84.038
800.05	84.040
807.26	84.042
814.50	84.044
821.78	84.046
829.09	84.048
836.43	84.051
843.80	84.053
851.21	84.055
858.66	84.057
866.14	84.059
873.65	84.061
881.20	84.063
888.78	84.065
896.40	84.067
904.05	84.069
911.73	84.071
919.46	84.073
927.22	84.075
935.01	84.077
942.84	84.079
950.70	84.081
958.61	84.083
966.54	84.086
974.52	84.088
982.53	84.090
990.58	84.092
998.67	84.094
1006.79	84.096
1014.95	84.098
1023.15	84.100
1031.39	84.102
1039.66	84.104
1047.97	84.106
1056.32	84.108
1064.71	84.110
1073.14	84.112
1081.61	84.114
1090.11	84.115
1098.66	84.117
1107.24	84.119
1115.86	84.121
1124.53	84.123
1133.23	84.125
1141.97	84.127
1150.76	84.129
1159.58	84.131
1168.44	84.133
1177.35	84.135
1186.29	84.137
1195.28	84.139
1204.31	84.141
1213.38	84.143
1222.49	84.144
1231.65	84.146
1240.85	84.148
1250.09	84.150
1259.37	84.152
1268.70	84.154
1278.07	84.156
1287.48	84.157
1296.94	84.159
1306.44	84.161
1315.99	84.163
1325.59	84.165
1335.23	84.166
1344.91	84.168
1354.64	84.170
1364.42	84.172
1374.24	84.174
1384.11	84.175
1394.03	84.177
1403.99	84.179
1414.01	84.181
1424.07	84.182
1434.18	84.184
1444.33	84.186
1454.54	84.188
1464.80	84.189
1475.10	84.191
1485.46	84.193
1495.86	84.195
1506.32	84.196
1516.83	84.198
1527.38	84.200
1537.99	84.201
1548.65	84.203
1559.37	84.205
1570.13	84.206
1580.95	84.208
1591.82	84.210
1602.74	84.211
1613.72	84.213
1624.75	84.215
1635.84	84.216
