t(c)	theta_c(grad)
0.000	85.000
0.010	84.951
0.020	84.903
0.030	84.857
0.040	84.811
0.050	84.766
0.060	84.723
0.070	84.680
0.080	84.638
0.090	84.597
0.100	84.557
0.110	84.517
0.120	84.478
0.130	84.440
0.140	84.403
0.150	84.366
0.160	84.330
0.170	84.294
0.180	84.259
0.190	84.225
0.200	84.191
0.210	84.157
0.220	84.124
0.230	84.092
0.240	84.060
0.250	84.028
0.260	83.997
0.270	83.966
0.280	83.936
0.290	83.906
0.300	83.876
0.310	83.847
0.320	83.818
0.330	83.789
0.340	83.761
0.350	83.733
0.360	83.706
0.370	83.678
0.380	83.651
0.390	83.625
0.400	83.598
0.410	83.572
0.420	83.546
0.430	83.521
0.440	83.495
0.450	83.470
0.460	83.446
0.470	83.421
0.480	83.397
0.490	83.373
0.500	83.349
0.510	83.325
0.520	83.302
0.530	83.278
0.540	83.255
0.550	83.233
0.560	83.210
0.570	83.188
0.580	83.165
0.590	83.143
0.600	83.121
0.610	83.100
0.620	83.078
0.630	83.057
0.640	83.036
0.650	83.015
0.660	82.994
0.670	82.973
0.680	82.953
0.690	82.932
0.700	82.912
0.710	82.892
0.720	82.872
0.730	82.852
0.740	82.833
0.750	82.813
0.760	82.794
0.770	82.775
0.780	82.756
0.790	82.737
0.800	82.718
0.810	82.699
0.820	82.681
0.830	82.662
0.840	82.644
0.850	82.626
0.860	82.608
0.870	82.590
0.880	82.572
0.890	82.554
0.900	82.537
0.910	82.519
0.920	82.502
0.930	82.484
0.940	82.467
0.950	82.450
0.960	82.433
0.970	82.416
0.980	82.399
0.990	82.383
1.000	82.366
1.010	82.349
1.020	82.333
1.030	82.317
1.040	82.300
1.050	82.284
1.060	82.268
1.070	82.252
1.080	82.236
1.090	82.221
1.100	82.205
1.110	82.189
1.120	82.174
1.130	82.158
1.140	82.143
1.150	82.128
1.160	82.112
1.170	82.097
1.180	82.082
1.190	82.067
1.200	82.052
1.210	82.037
1.220	82.023
1.230	82.008
1.240	81.993
1.250	81.979
1.260	81.964
1.270	81.950
1.280	81.935
1.290	81.921
1.300	81.907
1.310	81.893
1.320	81.879
1.330	81.865
1.340	81.851
1.350	81.837
1.360	81.823
