N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)	x_dotc(m/s)	y_dotc(m/s)	V_dot(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066	0.872	9.962	34.849
2	0.100	1253.00	56000.0	13.489	0.0396	0.3000	0.36	84.64	0.2500	0.0000	85.00	1.17	0.11	9.8066	1.261	13.430	34.922
3	0.200	1251.00	56000.0	16.984	0.0499	0.3000	0.58	84.42	0.2500	0.0000	85.00	2.69	0.25	9.8066	1.650	16.904	34.992
4	0.300	1249.00	56000.0	20.487	0.0602	0.3000	0.72	84.28	0.2500	0.0000	85.00	4.55	0.44	9.8066	2.041	20.385	35.060
5	0.400	1247.00	56000.0	23.996	0.0705	0.3000	0.82	84.18	0.2500	0.0000	85.00	6.76	0.66	9.8066	2.432	23.873	35.127
6	0.500	1245.00	56000.0	27.512	0.0809	0.3000	0.89	84.11	0.2500	0.0000	85.00	9.32	0.93	9.8066	2.823	27.367	35.194
7	0.600	1243.00	56000.0	31.035	0.0912	0.3000	0.95	84.05	0.2500	0.0000	85.00	12.24	1.23	9.8066	3.215	30.868	35.259
8	0.700	1241.00	56000.0	34.564	0.1016	0.3000	0.99	84.01	0.2500	0.0000	85.00	15.50	1.57	9.8066	3.608	34.375	35.324
9	0.800	1239.00	56000.0	38.100	0.1120	0.3000	1.03	83.97	0.2500	0.0000	85.00	19.11	1.95	9.8066	4.001	37.889	35.388
10	0.900	1237.00	56000.0	41.642	0.1224	0.3000	1.06	83.94	0.2500	0.0000	85.00	23.08	2.37	9.8066	4.394	41.409	35.452
11	1.000	1235.00	56000.0	45.190	0.1328	0.3000	1.08	83.92	0.2500	0.0000	85.00	27.39	2.83	9.8066	4.788	44.936	35.515
12	1.100	1233.00	56000.0	48.745	0.1433	0.3000	1.10	83.90	0.2500	0.0000	85.00	32.06	3.33	9.8066	5.183	48.468	35.577
13	1.200	1231.00	56000.0	52.306	0.1538	0.3000	1.12	83.88	0.2500	0.0000	85.00	37.09	3.87	9.8065	5.578	52.007	35.638
14	1.300	1229.00	56000.0	55.872	0.1643	0.3000	1.14	83.86	0.2500	0.0000	85.00	42.46	4.44	9.8065	5.974	55.552	35.699
15	1.400	1227.00	56000.0	59.445	0.1748	0.3000	1.15	83.85	0.2500	0.0000	85.00	48.20	5.06	9.8065	6.370	59.103	35.759
16	1.500	1225.00	56000.0	63.024	0.1853	0.3000	1.16	83.84	0.2500	0.0000	85.00	54.28	5.72	9.8065	6.766	62.660	35.818
17	1.600	1223.00	56000.0	66.609	0.1959	0.3000	1.17	83.83	0.2500	0.0000	85.00	60.73	6.41	9.8065	7.163	66.223	35.877
18	1.700	1221.00	56000.0	70.199	0.2064	0.3000	1.18	83.82	0.2500	0.0000	85.00	67.53	7.15	9.8064	7.561	69.791	35.935
19	1.800	1219.00	56000.0	73.796	0.2170	0.3000	1.19	83.81	0.2500	0.0000	85.00	74.69	7.93	9.8064	7.958	73.365	35.992
20	1.900	1217.00	56000.0	77.398	0.2277	0.3000	1.20	83.80	0.2500	0.0000	85.00	82.20	8.74	9.8064	8.357	76.945	36.048
21	2.000	1215.00	56000.0	81.005	0.2383	0.3000	1.20	83.80	0.2500	0.0000	85.00	90.08	9.60	9.8064	8.755	80.531	36.104
22	2.100	1213.00	56000.0	84.619	0.2489	0.3000	1.21	83.79	0.2500	0.0000	85.00	98.31	10.49	9.8063	9.154	84.122	36.159
23	2.200	1211.00	56000.0	88.237	0.2596	0.3000	1.22	83.78	0.2500	0.0000	85.00	106.90	11.43	9.8063	9.554	87.719	36.214
24	2.300	1209.00	56000.0	91.861	0.2703	0.3000	1.22	83.78	0.2500	0.0000	85.00	115.85	12.40	9.8063	9.954	91.320	36.267
25	2.400	1207.00	56000.0	95.491	0.2810	0.3000	1.22	83.78	0.2500	0.0000	85.00	125.16	13.42	9.8063	10.354	94.928	36.320
