t(c)	x(m)
0.000	0.00
0.100	0.09
0.200	0.22
0.300	0.39
0.400	0.61
0.500	0.89
0.600	1.21
0.700	1.59
0.800	2.03
0.900	2.52
1.000	3.08
1.100	3.69
1.200	4.37
1.300	5.11
1.400	5.92
1.500	6.79
1.600	7.74
1.700	8.75
1.800	9.83
1.900	10.98
2.000	12.21
2.100	13.50
2.200	14.88
2.300	16.32
2.400	17.85
2.500	19.45
2.600	21.12
2.700	22.88
2.800	24.72
2.900	26.63
3.000	28.63
3.100	30.71
3.200	32.87
3.300	35.12
3.400	37.44
3.500	39.86
3.600	42.36
3.700	44.94
3.800	47.62
3.900	50.38
4.000	53.23
4.100	56.16
4.200	59.19
4.300	62.31
4.400	65.52
4.500	68.81
4.600	72.21
4.700	75.69
4.800	79.27
4.900	82.94
5.000	86.70
5.100	90.56
5.200	94.52
5.300	98.57
5.400	102.71
5.500	106.96
5.600	111.30
5.700	115.73
5.800	120.27
5.900	124.90
6.000	129.63
6.100	134.46
6.200	139.39
6.300	144.41
6.400	149.54
6.500	154.77
6.600	160.09
6.700	165.52
6.800	171.04
6.900	176.67
7.000	182.39
7.100	188.22
7.200	194.15
7.300	200.18
7.400	206.30
7.500	212.53
7.600	218.86
7.700	225.29
7.800	231.82
7.900	238.45
8.000	245.18
8.100	252.02
8.200	258.95
8.300	265.97
8.400	273.10
8.500	280.33
8.600	287.66
8.700	295.08
8.800	302.61
8.900	310.23
9.000	317.95
9.100	325.76
9.200	333.68
9.300	341.69
9.400	349.79
9.500	358.00
9.600	366.30
9.700	374.69
9.800	383.19
9.900	391.78
10.000	400.46
10.100	409.25
10.200	418.13
10.300	427.10
10.400	436.17
10.500	445.34
10.600	454.61
10.700	463.97
10.800	473.43
10.900	482.99
11.000	492.65
11.100	502.40
11.200	512.25
11.300	522.20
11.400	532.25
11.500	542.39
11.600	552.64
11.700	562.98
11.800	573.43
11.900	583.97
12.000	594.61
12.100	605.35
12.200	616.19
12.300	627.13
12.400	638.17
12.500	649.31
12.600	660.55
12.700	671.88
12.800	683.32
12.900	694.86
13.000	706.50
13.100	718.24
13.200	730.08
13.300	742.02
13.400	754.07
13.500	766.21
13.600	778.45
13.700	790.80
13.800	803.24
13.900	815.79
14.000	828.44
14.100	841.19
14.200	854.05
14.300	867.00
14.400	880.06
14.500	893.23
14.600	906.49
14.700	919.86
14.800	933.33
14.900	946.90
15.000	960.58
15.100	974.37
15.200	988.25
15.300	1002.25
15.400	1016.34
15.500	1030.55
15.600	1044.85
15.700	1059.27
15.800	1073.79
15.900	1088.41
16.000	1103.14
16.100	1117.98
16.200	1132.93
16.300	1147.98
16.400	1163.14
16.500	1178.41
16.600	1193.79
16.700	1209.28
16.800	1224.87
16.900	1240.58
17.000	1256.39
17.100	1272.32
17.200	1288.35
17.300	1304.50
17.400	1320.75
17.500	1337.12
17.600	1353.60
17.700	1370.20
17.800	1386.90
17.900	1403.72
18.000	1420.65
18.100	1437.70
18.200	1454.86
18.300	1472.13
18.400	1489.52
18.500	1507.03
18.600	1524.65
18.700	1542.39
18.800	1560.24
18.900	1578.22
19.000	1596.31
19.100	1614.52
19.200	1632.85
19.300	1651.30
19.400	1669.86
19.500	1688.55
19.600	1707.36
19.700	1726.29
19.800	1745.34
19.900	1764.52
20.000	1783.81
20.100	1803.23
20.200	1822.77
20.300	1842.44
20.400	1862.23
20.500	1882.15
20.600	1902.19
20.700	1922.36
20.800	1942.66
20.900	1963.08
21.000	1983.63
21.100	2004.31
21.200	2025.12
21.300	2046.05
21.400	2067.12
21.500	2088.32
21.600	2109.65
21.700	2131.11
21.800	2152.71
21.900	2174.44
22.000	2196.30
22.100	2218.30
22.200	2240.43
22.300	2262.70
22.400	2285.10
22.500	2307.64
22.600	2330.32
22.700	2353.14
22.800	2376.10
22.900	2399.20
23.000	2422.44
23.100	2445.82
23.200	2469.35
23.300	2493.02
23.400	2516.83
23.500	2540.79
23.600	2564.89
23.700	2589.14
23.800	2613.54
23.900	2638.08
24.000	2662.77
24.100	2687.61
24.200	2712.61
24.300	2737.75
24.400	2763.04
24.500	2788.48
24.600	2814.08
24.700	2839.83
24.800	2865.73
24.900	2891.79
25.000	2918.00
25.100	2944.37
25.200	2970.89
25.300	2997.57
25.400	3024.41
25.500	3051.41
25.600	3078.57
25.700	3105.89
25.800	3133.38
25.900	3161.02
26.000	3188.83
26.100	3216.80
26.200	3244.94
26.300	3273.24
26.400	3301.71
26.500	3330.35
26.600	3359.16
26.700	3388.14
26.800	3417.30
26.900	3446.62
27.000	3476.12
27.100	3505.79
27.200	3535.64
27.300	3565.67
27.400	3595.88
27.500	3626.26
27.600	3656.83
27.700	3687.57
27.800	3718.50
27.900	3749.62
28.000	3780.91
28.100	3812.40
28.200	3844.07
28.300	3875.93
28.400	3907.98
28.500	3940.22
28.600	3972.66
28.700	4005.29
28.800	4038.11
28.900	4071.12
29.000	4104.34
29.100	4137.75
29.200	4171.36
29.300	4205.17
29.400	4239.18
29.500	4273.39
29.600	4307.81
29.700	4342.44
29.800	4377.26
29.900	4412.30
30.000	4447.55
