t(c)	theta_c(grad)
0.000	85.000
0.100	84.510
0.200	84.112
0.300	83.772
0.400	83.474
0.500	83.208
0.600	82.967
0.700	82.745
0.800	82.539
0.900	82.348
1.000	82.168
1.100	81.999
1.200	81.838
1.300	81.686
1.400	81.540
1.500	81.401
1.600	81.268
1.700	81.140
1.800	81.016
1.900	80.898
2.000	80.783
2.100	80.672
2.200	80.564
2.300	80.460
2.400	80.358
2.500	80.260
2.600	80.164
2.700	80.071
2.800	79.980
2.900	79.891
3.000	79.804
3.100	79.720
3.200	79.637
3.300	79.556
3.400	79.477
3.500	79.399
3.600	79.323
3.700	79.248
3.800	79.175
3.900	79.103
4.000	79.033
4.100	78.964
4.200	78.896
4.300	78.829
4.400	78.763
4.500	78.698
4.600	78.635
4.700	78.572
4.800	78.510
4.900	78.450
5.000	78.390
5.100	78.331
5.200	78.273
5.300	78.216
5.400	78.159
5.500	78.103
5.600	78.048
5.700	77.994
5.800	77.940
5.900	77.887
6.000	77.835
6.100	77.784
6.200	77.732
6.300	77.682
6.400	77.632
6.500	77.583
6.600	77.534
6.700	77.486
6.800	77.438
6.900	77.391
7.000	77.344
7.100	77.298
7.200	77.252
7.300	77.207
7.400	77.162
7.500	77.117
7.600	77.073
7.700	77.029
7.800	76.986
7.900	76.943
8.000	76.900
8.100	76.858
8.200	76.816
8.300	76.775
8.400	76.734
8.500	76.693
8.600	76.652
8.700	76.612
8.800	76.572
8.900	76.532
9.000	76.492
9.100	76.453
9.200	76.414
9.300	76.376
9.400	76.337
9.500	76.299
9.600	76.261
9.700	76.223
9.800	76.186
9.900	76.149
10.000	76.111
10.100	76.075
10.200	76.038
10.300	76.002
10.400	75.965
10.500	75.929
10.600	75.894
10.700	75.858
10.800	75.823
10.900	75.787
11.000	75.752
11.100	75.717
11.200	75.683
11.300	75.648
11.400	75.614
11.500	75.580
11.600	75.546
11.700	75.512
11.800	75.478
11.900	75.445
12.000	75.411
12.100	75.378
12.200	75.345
12.300	75.312
12.400	75.280
12.500	75.247
12.600	75.215
12.700	75.182
12.800	75.150
12.900	75.118
13.000	75.087
13.100	75.055
13.200	75.023
13.300	74.992
13.400	74.961
13.500	74.930
13.600	74.899
13.700	74.868
13.800	74.837
13.900	74.806
14.000	74.776
14.100	74.746
14.200	74.715
14.300	74.685
14.400	74.655
14.500	74.625
14.600	74.596
14.700	74.566
14.800	74.537
14.900	74.507
15.000	74.478
15.100	74.449
15.200	74.420
15.300	74.391
15.400	74.362
15.500	74.333
15.600	74.305
15.700	74.276
15.800	74.248
15.900	74.220
16.000	74.191
16.100	74.163
16.200	74.135
16.300	74.108
16.400	74.080
16.500	74.052
16.600	74.025
16.700	73.997
16.800	73.970
16.900	73.943
17.000	73.915
17.100	73.888
17.200	73.861
17.300	73.835
17.400	73.808
17.500	73.781
17.600	73.755
17.700	73.728
17.800	73.702
17.900	73.676
18.000	73.649
18.100	73.623
18.200	73.597
18.300	73.571
18.400	73.546
18.500	73.520
18.600	73.494
18.700	73.469
18.800	73.443
18.900	73.418
19.000	73.393
19.100	73.368
19.200	73.343
19.300	73.318
19.400	73.293
19.500	73.268
19.600	73.243
19.700	73.219
19.800	73.194
19.900	73.170
20.000	73.145
20.100	73.121
20.200	73.097
20.300	73.073
20.400	73.049
20.500	73.025
20.600	73.001
20.700	72.977
20.800	72.953
20.900	72.930
21.000	72.906
21.100	72.883
21.200	72.860
21.300	72.836
21.400	72.813
21.500	72.790
21.600	72.767
21.700	72.744
21.800	72.721
21.900	72.699
22.000	72.676
22.100	72.653
22.200	72.631
22.300	72.608
22.400	72.586
22.500	72.564
22.600	72.542
22.700	72.519
22.800	72.497
22.900	72.475
23.000	72.454
23.100	72.432
23.200	72.410
23.300	72.389
23.400	72.367
23.500	72.346
23.600	72.324
23.700	72.303
23.800	72.282
23.900	72.260
24.000	72.239
24.100	72.218
24.200	72.198
24.300	72.177
24.400	72.156
24.500	72.135
24.600	72.115
24.700	72.094
24.800	72.074
24.900	72.053
25.000	72.033
25.100	72.013
25.200	71.993
25.300	71.973
25.400	71.953
25.500	71.933
25.600	71.913
25.700	71.893
25.800	71.874
25.900	71.854
26.000	71.834
26.100	71.815
26.200	71.796
26.300	71.776
26.400	71.757
26.500	71.738
26.600	71.719
26.700	71.700
26.800	71.681
26.900	71.662
27.000	71.643
27.100	71.625
27.200	71.606
27.300	71.587
27.400	71.569
27.500	71.550
27.600	71.532
27.700	71.514
27.800	71.496
27.900	71.478
28.000	71.459
28.100	71.441
28.200	71.424
28.300	71.406
28.400	71.388
28.500	71.370
28.600	71.353
28.700	71.335
28.800	71.318
28.900	71.300
29.000	71.283
29.100	71.266
29.200	71.249
29.300	71.232
29.400	71.215
29.500	71.198
29.600	71.181
29.700	71.164
29.800	71.147
29.900	71.130
30.000	71.114
