t(c)	x(m)
0.000	0.00
0.100	0.11
0.200	0.26
0.300	0.45
0.400	0.70
0.500	0.99
0.600	1.34
0.700	1.74
0.800	2.19
0.900	2.70
1.000	3.27
1.100	3.90
1.200	4.60
1.300	5.35
1.400	6.17
1.500	7.06
1.600	8.01
1.700	9.02
1.800	10.11
1.900	11.26
2.000	12.49
2.100	13.79
2.200	15.16
2.300	16.60
2.400	18.12
2.500	19.71
2.600	21.38
2.700	23.12
2.800	24.94
2.900	26.84
3.000	28.82
3.100	30.88
3.200	33.02
3.300	35.23
3.400	37.54
3.500	39.92
3.600	42.39
3.700	44.94
3.800	47.57
3.900	50.29
4.000	53.10
4.100	55.99
4.200	58.97
4.300	62.04
4.400	65.19
4.500	68.43
4.600	71.77
4.700	75.19
4.800	78.70
4.900	82.31
5.000	86.00
5.100	89.79
5.200	93.67
5.300	97.64
5.400	101.70
5.500	105.86
5.600	110.12
5.700	114.46
5.800	118.90
5.900	123.44
6.000	128.07
6.100	132.80
6.200	137.62
6.300	142.54
6.400	147.55
6.500	152.66
6.600	157.87
6.700	163.17
6.800	168.57
6.900	174.07
7.000	179.66
7.100	185.35
7.200	191.14
7.300	197.03
7.400	203.01
7.500	209.09
7.600	215.27
7.700	221.54
7.800	227.91
7.900	234.38
8.000	240.94
8.100	247.60
8.200	254.36
8.300	261.21
8.400	268.16
8.500	275.20
8.600	282.34
8.700	289.58
8.800	296.90
8.900	304.33
9.000	311.84
9.100	319.45
9.200	327.16
9.300	334.96
9.400	342.85
9.500	350.83
9.600	358.91
9.700	367.08
9.800	375.35
9.900	383.71
10.000	392.16
10.100	400.70
10.200	409.34
10.300	418.07
10.400	426.90
10.500	435.82
10.600	444.83
10.700	453.94
10.800	463.14
10.900	472.43
11.000	481.82
11.100	491.31
11.200	500.89
11.300	510.56
11.400	520.34
11.500	530.20
11.600	540.16
11.700	550.22
11.800	560.37
11.900	570.62
12.000	580.97
12.100	591.41
12.200	601.95
12.300	612.59
12.400	623.32
12.500	634.15
12.600	645.07
12.700	656.09
12.800	667.21
12.900	678.43
13.000	689.74
13.100	701.15
13.200	712.66
13.300	724.27
13.400	735.97
13.500	747.77
13.600	759.67
13.700	771.67
13.800	783.77
13.900	795.96
14.000	808.25
14.100	820.65
14.200	833.14
14.300	845.73
14.400	858.42
14.500	871.21
14.600	884.10
14.700	897.09
14.800	910.18
14.900	923.37
15.000	936.67
15.100	950.06
15.200	963.55
15.300	977.15
15.400	990.85
15.500	1004.65
15.600	1018.55
15.700	1032.56
15.800	1046.67
15.900	1060.88
16.000	1075.19
16.100	1089.61
16.200	1104.14
16.300	1118.76
16.400	1133.50
16.500	1148.33
16.600	1163.28
16.700	1178.33
16.800	1193.48
16.900	1208.74
17.000	1224.11
17.100	1239.58
17.200	1255.16
17.300	1270.85
17.400	1286.65
17.500	1302.56
17.600	1318.57
17.700	1334.70
17.800	1350.93
17.900	1367.27
18.000	1383.73
18.100	1400.29
18.200	1416.97
18.300	1433.76
18.400	1450.66
18.500	1467.67
18.600	1484.80
18.700	1502.04
18.800	1519.39
18.900	1536.86
19.000	1554.44
19.100	1572.14
19.200	1589.95
19.300	1607.88
19.400	1625.93
19.500	1644.09
19.600	1662.37
19.700	1680.77
19.800	1699.29
19.900	1717.93
20.000	1736.68
20.100	1755.56
20.200	1774.55
20.300	1793.67
20.400	1812.91
20.500	1832.27
20.600	1851.75
20.700	1871.36
20.800	1891.08
20.900	1910.94
21.000	1930.91
21.100	1951.02
21.200	1971.25
21.300	1991.60
21.400	2012.08
21.500	2032.69
21.600	2053.43
21.700	2074.29
21.800	2095.29
21.900	2116.41
22.000	2137.67
22.100	2159.06
22.200	2180.57
22.300	2202.23
22.400	2224.01
22.500	2245.93
22.600	2267.98
22.700	2290.17
22.800	2312.50
22.900	2334.96
23.000	2357.56
23.100	2380.30
23.200	2403.18
23.300	2426.19
23.400	2449.35
23.500	2472.65
23.600	2496.09
23.700	2519.67
23.800	2543.40
23.900	2567.27
24.000	2591.29
24.100	2615.45
24.200	2639.75
24.300	2664.21
24.400	2688.81
24.500	2713.55
24.600	2738.45
24.700	2763.49
24.800	2788.69
24.900	2814.03
25.000	2839.53
25.100	2865.18
25.200	2890.98
25.300	2916.94
25.400	2943.05
25.500	2969.31
25.600	2995.73
25.700	3022.31
25.800	3049.05
25.900	3075.94
26.000	3102.99
26.100	3130.21
26.200	3157.58
26.300	3185.12
26.400	3212.83
26.500	3240.69
26.600	3268.73
26.700	3296.93
26.800	3325.30
26.900	3353.83
27.000	3382.54
27.100	3411.42
27.200	3440.47
27.300	3469.69
27.400	3499.09
27.500	3528.66
27.600	3558.41
27.700	3588.34
27.800	3618.44
27.900	3648.73
28.000	3679.19
28.100	3709.84
28.200	3740.67
28.300	3771.69
28.400	3802.89
28.500	3834.27
28.600	3865.85
28.700	3897.61
28.800	3929.57
28.900	3961.71
29.000	3994.05
29.100	4026.58
29.200	4059.30
29.300	4092.22
29.400	4125.34
29.500	4158.65
29.600	4192.16
29.700	4225.88
29.800	4259.79
29.900	4293.91
30.000	4328.23
