t(c)	theta_c(grad)
0.000	85.000
0.010	84.952
0.020	84.904
0.030	84.858
0.040	84.813
0.050	84.769
0.060	84.726
0.070	84.684
0.080	84.642
0.090	84.602
0.100	84.562
0.110	84.523
0.120	84.484
0.130	84.446
0.140	84.409
0.150	84.373
0.160	84.337
0.170	84.302
0.180	84.267
0.190	84.233
0.200	84.199
0.210	84.166
0.220	84.133
0.230	84.101
0.240	84.069
0.250	84.038
0.260	84.007
0.270	83.976
0.280	83.946
0.290	83.916
0.300	83.887
0.310	83.858
0.320	83.829
0.330	83.801
0.340	83.773
0.350	83.745
0.360	83.718
0.370	83.691
0.380	83.664
0.390	83.638
0.400	83.611
0.410	83.586
0.420	83.560
0.430	83.534
0.440	83.509
0.450	83.484
0.460	83.460
0.470	83.435
0.480	83.411
0.490	83.387
0.500	83.364
0.510	83.340
0.520	83.317
0.530	83.294
0.540	83.271
0.550	83.248
0.560	83.226
0.570	83.204
0.580	83.181
0.590	83.160
0.600	83.138
0.610	83.116
0.620	83.095
0.630	83.074
0.640	83.053
0.650	83.032
0.660	83.011
0.670	82.991
0.680	82.970
0.690	82.950
0.700	82.930
0.710	82.910
0.720	82.890
0.730	82.871
0.740	82.851
0.750	82.832
0.760	82.813
0.770	82.793
0.780	82.774
0.790	82.756
0.800	82.737
0.810	82.718
0.820	82.700
0.830	82.682
0.840	82.663
0.850	82.645
0.860	82.627
0.870	82.609
0.880	82.592
0.890	82.574
0.900	82.557
0.910	82.539
0.920	82.522
0.930	82.505
0.940	82.487
0.950	82.470
0.960	82.454
0.970	82.437
0.980	82.420
0.990	82.403
1.000	82.387
1.010	82.371
1.020	82.354
1.030	82.338
1.040	82.322
1.050	82.306
1.060	82.290
1.070	82.274
1.080	82.258
1.090	82.242
1.100	82.227
1.110	82.211
1.120	82.196
1.130	82.180
1.140	82.165
1.150	82.150
1.160	82.135
1.170	82.120
1.180	82.105
1.190	82.090
1.200	82.075
1.210	82.060
1.220	82.045
1.230	82.031
1.240	82.016
1.250	82.002
1.260	81.987
1.270	81.973
1.280	81.959
1.290	81.945
1.300	81.930
1.310	81.916
1.320	81.902
1.330	81.888
1.340	81.875
1.350	81.861
1.360	81.847
1.370	81.833
1.380	81.820
1.390	81.806
1.400	81.793
1.410	81.779
1.420	81.766
1.430	81.752
1.440	81.739
1.450	81.726
1.460	81.713
1.470	81.700
1.480	81.686
1.490	81.673
1.500	81.661
1.510	81.648
1.520	81.635
1.530	81.622
1.540	81.609
1.550	81.597
1.560	81.584
1.570	81.571
1.580	81.559
1.590	81.546
1.600	81.534
1.610	81.522
1.620	81.509
1.630	81.497
1.640	81.485
1.650	81.472
1.660	81.460
1.670	81.448
1.680	81.436
1.690	81.424
1.700	81.412
1.710	81.400
1.720	81.388
1.730	81.377
1.740	81.365
1.750	81.353
1.760	81.341
1.770	81.330
1.780	81.318
1.790	81.306
1.800	81.295
1.810	81.283
1.820	81.272
1.830	81.261
1.840	81.249
1.850	81.238
1.860	81.227
1.870	81.215
1.880	81.204
1.890	81.193
1.900	81.182
1.910	81.171
1.920	81.160
1.930	81.149
1.940	81.138
1.950	81.127
1.960	81.116
1.970	81.105
1.980	81.094
1.990	81.083
2.000	81.072
2.010	81.062
2.020	81.051
2.030	81.040
2.040	81.030
2.050	81.019
2.060	81.009
2.070	80.998
2.080	80.988
2.090	80.977
2.100	80.967
2.110	80.956
2.120	80.946
2.130	80.936
2.140	80.925
2.150	80.915
2.160	80.905
2.170	80.895
2.180	80.884
2.190	80.874
2.200	80.864
2.210	80.854
2.220	80.844
2.230	80.834
2.240	80.824
2.250	80.814
2.260	80.804
2.270	80.794
2.280	80.784
2.290	80.774
2.300	80.765
2.310	80.755
2.320	80.745
2.330	80.735
2.340	80.726
2.350	80.716
2.360	80.706
2.370	80.697
2.380	80.687
2.390	80.677
2.400	80.668
2.410	80.658
2.420	80.649
2.430	80.639
2.440	80.630
2.450	80.621
2.460	80.611
2.470	80.602
2.480	80.592
2.490	80.583
2.500	80.574
2.510	80.565
2.520	80.555
2.530	80.546
2.540	80.537
2.550	80.528
2.560	80.519
2.570	80.510
2.580	80.500
2.590	80.491
2.600	80.482
2.610	80.473
2.620	80.464
2.630	80.455
2.640	80.446
2.650	80.438
2.660	80.429
2.670	80.420
2.680	80.411
2.690	80.402
2.700	80.393
2.710	80.384
2.720	80.376
2.730	80.367
2.740	80.358
2.750	80.350
2.760	80.341
2.770	80.332
2.780	80.324
2.790	80.315
2.800	80.306
2.810	80.298
2.820	80.289
2.830	80.281
2.840	80.272
2.850	80.264
2.860	80.255
2.870	80.247
2.880	80.238
2.890	80.230
2.900	80.222
2.910	80.213
2.920	80.205
2.930	80.196
2.940	80.188
2.950	80.180
2.960	80.172
2.970	80.163
2.980	80.155
2.990	80.147
3.000	80.139
3.010	80.131
3.020	80.122
3.030	80.114
3.040	80.106
3.050	80.098
3.060	80.090
3.070	80.082
3.080	80.074
3.090	80.066
3.100	80.058
3.110	80.050
3.120	80.042
3.130	80.034
3.140	80.026
3.150	80.018
3.160	80.010
3.170	80.002
3.180	79.994
3.190	79.986
3.200	79.979
3.210	79.971
3.220	79.963
3.230	79.955
3.240	79.947
3.250	79.940
3.260	79.932
3.270	79.924
3.280	79.917
3.290	79.909
3.300	79.901
3.310	79.893
3.320	79.886
3.330	79.878
3.340	79.871
3.350	79.863
3.360	79.855
3.370	79.848
3.380	79.840
3.390	79.833
3.400	79.825
3.410	79.818
3.420	79.810
3.430	79.803
3.440	79.795
3.450	79.788
3.460	79.781
3.470	79.773
3.480	79.766
3.490	79.758
3.500	79.751
3.510	79.744
3.520	79.736
3.530	79.729
3.540	79.722
3.550	79.714
3.560	79.707
3.570	79.700
3.580	79.693
3.590	79.685
3.600	79.678
3.610	79.671
3.620	79.664
3.630	79.657
3.640	79.650
3.650	79.642
3.660	79.635
3.670	79.628
3.680	79.621
3.690	79.614
3.700	79.607
3.710	79.600
3.720	79.593
3.730	79.586
3.740	79.579
3.750	79.572
3.760	79.565
3.770	79.558
3.780	79.551
3.790	79.544
3.800	79.537
3.810	79.530
3.820	79.523
3.830	79.516
3.840	79.509
3.850	79.502
3.860	79.495
3.870	79.489
3.880	79.482
3.890	79.475
3.900	79.468
3.910	79.461
3.920	79.454
3.930	79.448
3.940	79.441
3.950	79.434
3.960	79.427
3.970	79.421
3.980	79.414
3.990	79.407
4.000	79.401
4.010	79.394
4.020	79.387
4.030	79.381
4.040	79.374
4.050	79.367
4.060	79.361
4.070	79.354
4.080	79.347
4.090	79.341
4.100	79.334
4.110	79.328
4.120	79.321
4.130	79.315
4.140	79.308
4.150	79.302
4.160	79.295
4.170	79.289
4.180	79.282
4.190	79.276
4.200	79.269
4.210	79.263
4.220	79.256
4.230	79.250
4.240	79.243
4.250	79.237
4.260	79.231
4.270	79.224
4.280	79.218
4.290	79.211
4.300	79.205
4.310	79.199
4.320	79.192
4.330	79.186
4.340	79.180
4.350	79.173
4.360	79.167
4.370	79.161
4.380	79.155
4.390	79.148
4.400	79.142
4.410	79.136
4.420	79.130
4.430	79.123
4.440	79.117
4.450	79.111
4.460	79.105
4.470	79.099
4.480	79.092
4.490	79.086
4.500	79.080
4.510	79.074
4.520	79.068
4.530	79.062
4.540	79.056
4.550	79.049
4.560	79.043
4.570	79.037
4.580	79.031
4.590	79.025
4.600	79.019
4.610	79.013
4.620	79.007
4.630	79.001
4.640	78.995
4.650	78.989
4.660	78.983
4.670	78.977
