t(c)	theta_c(grad)
0.000	85.000
0.100	84.510
0.200	84.274
0.300	84.135
0.400	84.044
0.500	83.980
0.600	83.933
0.700	83.896
0.800	83.868
0.900	83.845
1.000	83.826
1.100	83.810
1.200	83.797
1.300	83.785
1.400	83.776
1.500	83.767
1.600	83.760
1.700	83.754
1.800	83.749
1.900	83.744
2.000	83.740
2.100	83.736
2.200	83.733
2.300	83.730
2.400	83.728
2.500	83.726
2.600	83.724
2.700	83.722
2.800	83.721
2.900	83.720
3.000	83.719
3.100	83.718
3.200	83.717
3.300	83.717
3.400	83.716
3.500	83.716
3.600	83.716
3.700	83.716
3.800	83.716
3.900	83.716
4.000	83.717
4.100	83.717
4.200	83.717
4.300	83.718
4.400	83.719
4.500	83.719
4.600	83.720
4.700	83.721
4.800	83.721
4.900	83.722
5.000	83.723
5.100	83.724
5.200	83.725
5.300	83.726
5.400	83.727
5.500	83.729
5.600	83.730
5.700	83.731
5.800	83.732
5.900	83.733
6.000	83.735
6.100	83.736
6.200	83.737
6.300	83.739
6.400	83.740
6.500	83.742
6.600	83.743
6.700	83.745
6.800	83.746
6.900	83.748
7.000	83.749
7.100	83.751
7.200	83.752
7.300	83.754
7.400	83.756
7.500	83.757
7.600	83.759
7.700	83.760
7.800	83.762
7.900	83.764
8.000	83.765
8.100	83.767
8.200	83.768
8.300	83.770
8.400	83.772
8.500	83.774
8.600	83.775
8.700	83.777
8.800	83.779
8.900	83.781
9.000	83.783
9.100	83.786
9.200	83.788
9.300	83.790
9.400	83.792
9.500	83.794
9.600	83.797
9.700	83.799
9.800	83.801
9.900	83.803
10.000	83.805
10.100	83.807
10.200	83.809
10.300	83.811
10.400	83.813
10.500	83.815
10.600	83.817
10.700	83.819
10.800	83.821
10.900	83.823
11.000	83.825
11.100	83.828
11.200	83.830
11.300	83.832
11.400	83.834
11.500	83.836
11.600	83.838
11.700	83.840
11.800	83.842
11.900	83.844
12.000	83.846
12.100	83.849
12.200	83.851
12.300	83.853
12.400	83.855
12.500	83.857
12.600	83.859
12.700	83.861
12.800	83.864
12.900	83.866
13.000	83.868
13.100	83.870
13.200	83.872
13.300	83.874
13.400	83.877
13.500	83.879
13.600	83.881
13.700	83.883
13.800	83.885
13.900	83.888
14.000	83.890
14.100	83.892
14.200	83.894
14.300	83.896
14.400	83.899
14.500	83.901
14.600	83.903
14.700	83.905
14.800	83.907
14.900	83.910
15.000	83.912
15.100	83.914
15.200	83.916
15.300	83.918
15.400	83.921
15.500	83.923
15.600	83.925
15.700	83.927
15.800	83.930
15.900	83.932
16.000	83.934
16.100	83.936
16.200	83.938
16.300	83.941
16.400	83.943
16.500	83.945
16.600	83.947
16.700	83.949
16.800	83.952
16.900	83.954
17.000	83.956
17.100	83.958
17.200	83.961
17.300	83.963
17.400	83.965
17.500	83.967
17.600	83.969
17.700	83.972
17.800	83.974
17.900	83.976
18.000	83.978
18.100	83.980
18.200	83.983
18.300	83.985
18.400	83.987
18.500	83.989
18.600	83.991
18.700	83.994
18.800	83.996
18.900	83.998
19.000	84.000
19.100	84.002
19.200	84.004
19.300	84.007
19.400	84.009
19.500	84.011
19.600	84.013
19.700	84.015
19.800	84.017
19.900	84.020
20.000	84.022
20.100	84.024
20.200	84.026
20.300	84.028
20.400	84.030
20.500	84.033
20.600	84.035
20.700	84.037
20.800	84.039
20.900	84.041
21.000	84.043
21.100	84.045
21.200	84.047
21.300	84.050
21.400	84.052
21.500	84.054
21.600	84.056
21.700	84.058
21.800	84.060
21.900	84.062
22.000	84.064
22.100	84.066
22.200	84.068
22.300	84.071
22.400	84.073
22.500	84.075
22.600	84.077
22.700	84.079
22.800	84.081
22.900	84.083
23.000	84.085
23.100	84.087
23.200	84.089
23.300	84.091
23.400	84.093
23.500	84.095
23.600	84.097
23.700	84.099
23.800	84.101
23.900	84.103
24.000	84.105
24.100	84.107
24.200	84.109
24.300	84.111
24.400	84.113
24.500	84.115
24.600	84.117
24.700	84.119
24.800	84.121
24.900	84.123
25.000	84.125
25.100	84.127
25.200	84.129
25.300	84.131
25.400	84.133
25.500	84.135
25.600	84.137
25.700	84.139
25.800	84.141
25.900	84.143
26.000	84.145
26.100	84.146
26.200	84.148
26.300	84.150
26.400	84.152
26.500	84.154
26.600	84.156
26.700	84.158
26.800	84.160
26.900	84.161
27.000	84.163
27.100	84.165
27.200	84.167
27.300	84.169
27.400	84.171
27.500	84.172
27.600	84.174
27.700	84.176
27.800	84.178
27.900	84.179
28.000	84.181
28.100	84.183
28.200	84.185
28.300	84.186
28.400	84.188
28.500	84.190
28.600	84.192
28.700	84.193
28.800	84.195
28.900	84.197
29.000	84.199
29.100	84.200
29.200	84.202
29.300	84.204
29.400	84.205
29.500	84.207
29.600	84.209
29.700	84.210
29.800	84.212
29.900	84.214
30.000	84.215
