t(c)	x(m)
0.348	0.56
0.349	0.56
0.350	0.57
0.351	0.57
0.352	0.57
0.353	0.57
0.354	0.58
0.355	0.58
0.356	0.58
0.357	0.58
0.358	0.59
0.359	0.59
0.360	0.59
0.361	0.59
0.362	0.60
0.363	0.60
0.364	0.60
0.365	0.60
0.366	0.61
0.367	0.61
0.368	0.61
0.369	0.61
0.370	0.62
0.371	0.62
0.372	0.62
0.373	0.62
0.374	0.63
0.375	0.63
0.376	0.63
0.377	0.63
0.378	0.64
0.379	0.64
0.380	0.64
0.381	0.64
0.382	0.65
0.383	0.65
0.384	0.65
0.385	0.65
0.386	0.66
0.387	0.66
0.388	0.66
0.389	0.66
0.390	0.67
0.391	0.67
0.392	0.67
0.393	0.67
0.394	0.68
0.395	0.68
0.396	0.68
0.397	0.69
0.398	0.69
0.399	0.69
0.400	0.69
0.401	0.70
0.402	0.70
0.403	0.70
0.404	0.70
0.405	0.71
0.406	0.71
0.407	0.71
0.408	0.71
0.409	0.72
0.410	0.72
0.411	0.72
0.412	0.73
0.413	0.73
0.414	0.73
0.415	0.73
0.416	0.74
0.417	0.74
0.418	0.74
0.419	0.74
0.420	0.75
0.421	0.75
0.422	0.75
0.423	0.76
0.424	0.76
0.425	0.76
0.426	0.76
0.427	0.77
0.428	0.77
0.429	0.77
0.430	0.78
0.431	0.78
0.432	0.78
0.433	0.78
0.434	0.79
0.435	0.79
0.436	0.79
0.437	0.80
0.438	0.80
0.439	0.80
0.440	0.80
0.441	0.81
0.442	0.81
0.443	0.81
0.444	0.82
0.445	0.82
0.446	0.82
0.447	0.82
0.448	0.83
0.449	0.83
0.450	0.83
0.451	0.84
0.452	0.84
0.453	0.84
0.454	0.84
0.455	0.85
0.456	0.85
0.457	0.85
0.458	0.86
0.459	0.86
0.460	0.86
0.461	0.87
0.462	0.87
0.463	0.87
0.464	0.87
0.465	0.88
0.466	0.88
0.467	0.88
0.468	0.89
0.469	0.89
0.470	0.89
0.471	0.90
0.472	0.90
0.473	0.90
0.474	0.90
0.475	0.91
0.476	0.91
0.477	0.91
0.478	0.92
0.479	0.92
0.480	0.92
0.481	0.93
0.482	0.93
0.483	0.93
0.484	0.94
0.485	0.94
0.486	0.94
0.487	0.94
0.488	0.95
0.489	0.95
0.490	0.95
0.491	0.96
0.492	0.96
0.493	0.96
0.494	0.97
0.495	0.97
0.496	0.97
0.497	0.98
0.498	0.98
0.499	0.98
0.500	0.99
0.501	0.99
0.502	0.99
0.503	0.99
0.504	1.00
0.505	1.00
0.506	1.00
0.507	1.01
0.508	1.01
0.509	1.01
0.510	1.02
0.511	1.02
0.512	1.02
0.513	1.03
0.514	1.03
0.515	1.03
0.516	1.04
0.517	1.04
0.518	1.04
0.519	1.05
0.520	1.05
0.521	1.05
0.522	1.06
0.523	1.06
0.524	1.06
0.525	1.07
0.526	1.07
0.527	1.07
0.528	1.08
0.529	1.08
0.530	1.08
0.531	1.09
0.532	1.09
0.533	1.09
0.534	1.10
0.535	1.10
0.536	1.10
0.537	1.11
0.538	1.11
0.539	1.11
0.540	1.12
0.541	1.12
0.542	1.12
0.543	1.13
0.544	1.13
0.545	1.13
0.546	1.14
0.547	1.14
0.548	1.14
0.549	1.15
0.550	1.15
0.551	1.15
0.552	1.16
0.553	1.16
0.554	1.16
0.555	1.17
0.556	1.17
0.557	1.17
0.558	1.18
0.559	1.18
0.560	1.19
0.561	1.19
0.562	1.19
0.563	1.20
0.564	1.20
0.565	1.20
0.566	1.21
0.567	1.21
0.568	1.21
0.569	1.22
0.570	1.22
0.571	1.22
0.572	1.23
0.573	1.23
0.574	1.23
0.575	1.24
0.576	1.24
0.577	1.25
0.578	1.25
0.579	1.25
0.580	1.26
0.581	1.26
0.582	1.26
0.583	1.27
0.584	1.27
0.585	1.27
0.586	1.28
0.587	1.28
0.588	1.29
0.589	1.29
0.590	1.29
0.591	1.30
