t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.100	0.09	1.00	13.485	84.510	85.000	0.490	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.200	0.22	2.34	16.977	84.274	85.000	0.726	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.300	0.39	4.03	20.477	84.135	85.000	0.865	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.400	0.59	6.06	23.983	84.044	85.000	0.956	0.0000	0.0705	0.3000	0.2500	1247.00	56000.0	9.8066
0.500	0.84	8.45	27.495	83.980	85.000	1.020	0.0000	0.0808	0.3000	0.2500	1245.00	56000.0	9.8066
0.600	1.13	11.18	31.015	83.933	85.000	1.067	0.0000	0.0912	0.3000	0.2500	1243.00	56000.0	9.8066
0.700	1.46	14.27	34.541	83.896	85.000	1.104	0.0000	0.1015	0.3000	0.2500	1241.00	56000.0	9.8066
0.800	1.83	17.70	38.073	83.868	85.000	1.132	0.0000	0.1119	0.3000	0.2500	1239.00	56000.0	9.8066
0.900	2.23	21.49	41.612	83.845	85.000	1.155	0.0000	0.1223	0.3000	0.2500	1237.00	56000.0	9.8066
1.000	2.68	25.63	45.158	83.826	85.000	1.174	0.0000	0.1327	0.3000	0.2500	1235.00	56000.0	9.8066
1.100	3.17	30.12	48.709	83.810	85.000	1.190	0.0000	0.1432	0.3000	0.2500	1233.00	56000.0	9.8066
1.200	3.69	34.96	52.267	83.797	85.000	1.203	0.0000	0.1537	0.3000	0.2500	1231.00	56000.0	9.8065
1.300	4.26	40.15	55.831	83.785	85.000	1.215	0.0000	0.1641	0.3000	0.2500	1229.00	56000.0	9.8065
1.400	4.86	45.70	59.400	83.776	85.000	1.224	0.0000	0.1746	0.3000	0.2500	1227.00	56000.0	9.8065
1.500	5.50	51.61	62.976	83.767	85.000	1.233	0.0000	0.1852	0.3000	0.2500	1225.00	56000.0	9.8065
1.600	6.19	57.87	66.558	83.760	85.000	1.240	0.0000	0.1957	0.3000	0.2500	1223.00	56000.0	9.8065
1.700	6.91	64.49	70.146	83.754	85.000	1.246	0.0000	0.2063	0.3000	0.2500	1221.00	56000.0	9.8065
1.800	7.67	71.46	73.739	83.749	85.000	1.251	0.0000	0.2169	0.3000	0.2500	1219.00	56000.0	9.8064
