x(m)	theta_c(grad)
34.79	83.747
34.96	83.747
35.13	83.747
35.30	83.747
35.46	83.747
35.63	83.747
35.80	83.747
35.97	83.747
36.14	83.747
36.31	83.747
36.48	83.747
36.66	83.746
36.83	83.746
37.00	83.746
37.17	83.746
37.35	83.746
37.52	83.746
37.69	83.746
37.87	83.746
38.04	83.746
38.22	83.746
38.39	83.746
38.57	83.746
38.74	83.746
38.92	83.746
39.10	83.746
39.28	83.746
39.45	83.746
39.63	83.746
39.81	83.746
39.99	83.746
40.17	83.746
40.35	83.746
40.53	83.746
40.71	83.746
40.89	83.746
41.07	83.746
41.26	83.746
41.44	83.746
41.62	83.746
41.80	83.746
41.99	83.746
42.17	83.746
42.36	83.746
42.54	83.746
42.73	83.746
42.91	83.746
43.10	83.746
43.28	83.746
43.47	83.746
43.66	83.746
43.85	83.746
44.03	83.746
44.22	83.746
44.41	83.746
44.60	83.746
44.79	83.746
44.98	83.746
45.17	83.746
45.36	83.746
45.55	83.746
45.74	83.746
45.94	83.746
46.13	83.746
46.32	83.746
46.51	83.746
46.71	83.746
46.90	83.746
47.10	83.746
47.29	83.746
47.49	83.746
47.68	83.746
47.88	83.746
48.08	83.746
48.27	83.747
48.47	83.747
48.67	83.747
48.87	83.747
49.07	83.747
49.26	83.747
49.46	83.747
49.66	83.747
49.86	83.747
50.06	83.747
50.27	83.747
50.47	83.747
50.67	83.747
50.87	83.747
51.07	83.747
51.28	83.747
51.48	83.747
51.68	83.747
51.89	83.747
52.09	83.747
52.30	83.747
52.50	83.747
52.71	83.747
52.92	83.747
53.12	83.747
53.33	83.747
53.54	83.747
53.74	83.747
53.95	83.748
54.16	83.748
54.37	83.748
54.58	83.748
54.79	83.748
55.00	83.748
55.21	83.748
55.42	83.748
55.63	83.748
55.85	83.748
56.06	83.748
56.27	83.748
56.48	83.748
56.70	83.748
56.91	83.748
57.13	83.748
57.34	83.748
57.56	83.748
57.77	83.748
57.99	83.749
58.21	83.749
58.42	83.749
58.64	83.749
58.86	83.749
59.07	83.749
59.29	83.749
59.51	83.749
59.73	83.749
59.95	83.749
60.17	83.749
60.39	83.749
60.61	83.749
60.83	83.749
61.06	83.749
61.28	83.749
61.50	83.750
61.72	83.750
61.95	83.750
62.17	83.750
62.39	83.750
62.62	83.750
62.84	83.750
63.07	83.750
63.29	83.750
63.52	83.750
63.75	83.750
63.97	83.750
64.20	83.750
64.43	83.750
64.66	83.750
64.89	83.751
65.12	83.751
65.34	83.751
65.57	83.751
65.80	83.751
66.03	83.751
66.27	83.751
66.50	83.751
66.73	83.751
66.96	83.751
67.19	83.751
67.43	83.751
67.66	83.751
67.89	83.752
68.13	83.752
68.36	83.752
68.60	83.752
68.83	83.752
69.07	83.752
69.31	83.752
69.54	83.752
69.78	83.752
70.02	83.752
70.25	83.752
70.49	83.752
70.73	83.753
70.97	83.753
71.21	83.753
71.45	83.753
71.69	83.753
71.93	83.753
72.17	83.753
72.41	83.753
72.65	83.753
72.90	83.753
73.14	83.753
73.38	83.754
73.62	83.754
73.87	83.754
74.11	83.754
74.36	83.754
74.60	83.754
74.85	83.754
75.09	83.754
75.34	83.754
75.59	83.754
75.83	83.754
76.08	83.755
76.33	83.755
76.58	83.755
76.83	83.755
77.07	83.755
77.32	83.755
77.57	83.755
77.82	83.755
78.07	83.755
78.33	83.755
78.58	83.756
78.83	83.756
79.08	83.756
79.33	83.756
79.59	83.756
79.84	83.756
80.09	83.756
80.35	83.756
80.60	83.756
80.86	83.756
81.11	83.757
81.37	83.757
81.62	83.757
81.88	83.757
82.14	83.757
82.39	83.757
82.65	83.757
82.91	83.757
83.17	83.757
83.43	83.758
83.69	83.758
83.95	83.758
84.21	83.758
84.47	83.758
84.73	83.758
84.99	83.758
85.25	83.758
85.51	83.758
85.78	83.758
86.04	83.759
86.30	83.759
86.57	83.759
86.83	83.759
87.09	83.759
87.36	83.759
87.62	83.759
87.89	83.759
88.16	83.759
88.42	83.760
88.69	83.760
88.96	83.760
89.22	83.760
89.49	83.760
89.76	83.760
90.03	83.760
90.30	83.760
90.57	83.761
90.84	83.761
91.11	83.761
91.38	83.761
91.65	83.761
91.92	83.761
92.19	83.761
92.47	83.761
92.74	83.761
93.01	83.762
93.28	83.762
93.56	83.762
93.83	83.762
94.11	83.762
94.38	83.762
94.66	83.762
94.93	83.762
95.21	83.763
95.49	83.763
95.76	83.763
96.04	83.763
96.32	83.763
96.60	83.763
96.88	83.763
97.15	83.763
97.43	83.764
97.71	83.764
97.99	83.764
98.27	83.764
98.56	83.764
98.84	83.764
99.12	83.764
99.40	83.764
99.68	83.765
99.97	83.765
100.25	83.765
100.53	83.765
100.82	83.765
101.10	83.765
101.39	83.765
101.67	83.765
101.96	83.766
102.24	83.766
102.53	83.766
102.81	83.766
103.10	83.766
103.39	83.766
103.68	83.766
103.97	83.766
104.25	83.767
104.54	83.767
104.83	83.767
105.12	83.767
105.41	83.767
105.70	83.767
105.99	83.767
106.29	83.768
106.58	83.768
106.87	83.768
107.16	83.768
107.45	83.768
107.75	83.768
108.04	83.768
108.34	83.768
108.63	83.769
108.92	83.769
109.22	83.769
109.51	83.769
109.81	83.769
110.11	83.769
110.40	83.769
110.70	83.770
