t(c)	V(m/s)
0.000	10.000
0.010	10.348
0.020	10.697
0.030	11.046
0.040	11.394
0.050	11.743
0.060	12.092
0.070	12.441
0.080	12.790
0.090	13.139
0.100	13.488
0.110	13.838
0.120	14.187
0.130	14.536
0.140	14.886
0.150	15.235
0.160	15.585
0.170	15.935
0.180	16.284
0.190	16.634
0.200	16.984
0.210	17.334
0.220	17.684
0.230	18.034
0.240	18.384
0.250	18.735
0.260	19.085
0.270	19.435
0.280	19.786
0.290	20.136
0.300	20.487
0.310	20.838
0.320	21.189
0.330	21.539
0.340	21.890
0.350	22.241
0.360	22.592
0.370	22.944
0.380	23.295
0.390	23.646
0.400	23.997
0.410	24.349
0.420	24.700
0.430	25.052
0.440	25.404
0.450	25.755
0.460	26.107
0.470	26.459
0.480	26.811
0.490	27.163
0.500	27.515
0.510	27.867
0.520	28.219
0.530	28.572
0.540	28.924
0.550	29.276
0.560	29.629
0.570	29.981
0.580	30.334
0.590	30.687
0.600	31.039
0.610	31.392
0.620	31.745
0.630	32.098
0.640	32.451
0.650	32.804
0.660	33.157
0.670	33.511
0.680	33.864
0.690	34.217
0.700	34.571
0.710	34.924
0.720	35.278
0.730	35.632
0.740	35.985
0.750	36.339
0.760	36.693
0.770	37.047
0.780	37.401
0.790	37.755
0.800	38.109
0.810	38.463
0.820	38.818
0.830	39.172
0.840	39.526
0.850	39.881
0.860	40.235
0.870	40.590
0.880	40.945
0.890	41.299
0.900	41.654
0.910	42.009
0.920	42.364
0.930	42.719
0.940	43.074
0.950	43.429
0.960	43.785
0.970	44.140
0.980	44.495
0.990	44.851
1.000	45.206
1.010	45.562
1.020	45.917
1.030	46.273
1.040	46.629
1.050	46.984
1.060	47.340
1.070	47.696
1.080	48.052
1.090	48.408
1.100	48.764
1.110	49.121
1.120	49.477
1.130	49.833
1.140	50.190
1.150	50.546
1.160	50.903
1.170	51.259
1.180	51.616
1.190	51.973
1.200	52.329
1.210	52.686
1.220	53.043
1.230	53.400
1.240	53.757
1.250	54.114
1.260	54.472
1.270	54.829
1.280	55.186
1.290	55.543
1.300	55.901
1.310	56.258
1.320	56.616
1.330	56.973
1.340	57.331
1.350	57.689
1.360	58.047
1.370	58.405
1.380	58.763
1.390	59.121
1.400	59.479
1.410	59.837
1.420	60.195
1.430	60.553
1.440	60.911
1.450	61.270
1.460	61.628
1.470	61.987
1.480	62.345
1.490	62.704
1.500	63.063
1.510	63.421
1.520	63.780
1.530	64.139
1.540	64.498
1.550	64.857
1.560	65.216
1.570	65.575
1.580	65.934
1.590	66.294
1.600	66.653
1.610	67.012
1.620	67.372
1.630	67.731
1.640	68.091
1.650	68.450
1.660	68.810
1.670	69.170
1.680	69.530
1.690	69.889
1.700	70.249
1.710	70.609
1.720	70.969
1.730	71.330
1.740	71.690
1.750	72.050
1.760	72.410
1.770	72.771
1.780	73.131
1.790	73.491
1.800	73.852
1.810	74.212
1.820	74.573
1.830	74.934
1.840	75.295
1.850	75.655
1.860	76.016
1.870	76.377
1.880	76.738
1.890	77.099
1.900	77.460
1.910	77.822
1.920	78.183
1.930	78.544
1.940	78.905
1.950	79.267
1.960	79.628
1.970	79.990
1.980	80.351
1.990	80.713
2.000	81.075
2.010	81.437
2.020	81.798
2.030	82.160
2.040	82.522
2.050	82.884
2.060	83.246
2.070	83.608
2.080	83.970
2.090	84.333
2.100	84.695
2.110	85.057
2.120	85.420
2.130	85.782
2.140	86.145
2.150	86.507
2.160	86.870
2.170	87.233
2.180	87.595
2.190	87.958
2.200	88.321
2.210	88.684
2.220	89.047
2.230	89.410
2.240	89.773
2.250	90.136
2.260	90.499
2.270	90.862
2.280	91.226
2.290	91.589
2.300	91.953
2.310	92.316
2.320	92.680
2.330	93.043
2.340	93.407
2.350	93.770
2.360	94.134
2.370	94.498
2.380	94.862
2.390	95.226
2.400	95.590
2.410	95.954
2.420	96.318
2.430	96.682
2.440	97.046
2.450	97.410
2.460	97.775
2.470	98.139
2.480	98.504
2.490	98.868
2.500	99.233
2.510	99.597
2.520	99.962
2.530	100.326
2.540	100.691
2.550	101.056
2.560	101.421
2.570	101.786
2.580	102.151
2.590	102.516
2.600	102.881
2.610	103.246
2.620	103.611
2.630	103.976
2.640	104.342
2.650	104.707
2.660	105.072
2.670	105.438
2.680	105.803
2.690	106.169
2.700	106.534
2.710	106.900
2.720	107.266
2.730	107.631
2.740	107.997
2.750	108.363
2.760	108.729
2.770	109.095
2.780	109.461
2.790	109.827
2.800	110.193
2.810	110.559
2.820	110.926
2.830	111.292
2.840	111.658
2.850	112.025
2.860	112.391
2.870	112.757
2.880	113.124
2.890	113.491
2.900	113.857
2.910	114.224
2.920	114.591
2.930	114.957
2.940	115.324
2.950	115.691
2.960	116.058
2.970	116.425
2.980	116.792
2.990	117.159
3.000	117.526
3.010	117.894
3.020	118.261
3.030	118.628
3.040	118.996
3.050	119.363
3.060	119.730
3.070	120.098
3.080	120.465
3.090	120.833
3.100	121.201
3.110	121.568
3.120	121.936
3.130	122.304
3.140	122.672
3.150	123.040
3.160	123.408
3.170	123.776
3.180	124.144
3.190	124.512
3.200	124.880
3.210	125.248
3.220	125.616
3.230	125.985
3.240	126.353
3.250	126.721
3.260	127.090
3.270	127.458
3.280	127.827
3.290	128.195
3.300	128.564
3.310	128.933
3.320	129.301
3.330	129.670
3.340	130.039
3.350	130.408
3.360	130.777
3.370	131.146
3.380	131.515
3.390	131.884
