t(c)	alpha(grad)
0.000	0.000
0.010	0.047
0.020	0.092
0.030	0.133
0.040	0.172
0.050	0.209
0.060	0.243
0.070	0.276
0.080	0.306
0.090	0.335
0.100	0.363
0.110	0.389
0.120	0.414
0.130	0.438
0.140	0.461
0.150	0.482
0.160	0.503
0.170	0.522
0.180	0.541
0.190	0.559
0.200	0.577
0.210	0.593
0.220	0.609
0.230	0.624
0.240	0.639
0.250	0.653
0.260	0.667
0.270	0.680
0.280	0.693
0.290	0.705
0.300	0.717
0.310	0.728
0.320	0.739
0.330	0.750
0.340	0.761
0.350	0.771
0.360	0.780
0.370	0.790
0.380	0.799
0.390	0.808
0.400	0.816
0.410	0.824
0.420	0.833
0.430	0.840
0.440	0.848
0.450	0.855
0.460	0.863
0.470	0.870
0.480	0.877
0.490	0.883
0.500	0.890
0.510	0.896
0.520	0.902
0.530	0.908
0.540	0.914
0.550	0.920
0.560	0.925
0.570	0.931
0.580	0.936
0.590	0.941
0.600	0.946
0.610	0.951
0.620	0.956
0.630	0.961
0.640	0.966
0.650	0.970
0.660	0.974
0.670	0.979
0.680	0.983
0.690	0.987
0.700	0.991
0.710	0.995
0.720	0.999
0.730	1.003
0.740	1.007
0.750	1.010
0.760	1.014
0.770	1.017
0.780	1.021
0.790	1.024
0.800	1.028
0.810	1.031
0.820	1.034
0.830	1.037
0.840	1.040
0.850	1.043
0.860	1.046
0.870	1.049
0.880	1.052
0.890	1.055
0.900	1.058
0.910	1.060
0.920	1.063
0.930	1.066
0.940	1.068
0.950	1.071
0.960	1.073
0.970	1.076
0.980	1.078
0.990	1.080
1.000	1.083
1.010	1.085
1.020	1.087
1.030	1.089
1.040	1.091
1.050	1.094
1.060	1.096
1.070	1.098
1.080	1.100
1.090	1.102
1.100	1.104
1.110	1.106
1.120	1.108
1.130	1.110
1.140	1.111
1.150	1.113
1.160	1.115
1.170	1.117
1.180	1.119
1.190	1.120
1.200	1.122
1.210	1.124
1.220	1.125
1.230	1.127
1.240	1.128
1.250	1.130
1.260	1.132
1.270	1.133
1.280	1.135
1.290	1.136
1.300	1.138
1.310	1.139
1.320	1.140
1.330	1.142
1.340	1.143
1.350	1.145
1.360	1.146
1.370	1.147
1.380	1.149
1.390	1.150
1.400	1.151
1.410	1.152
1.420	1.154
1.430	1.155
1.440	1.156
1.450	1.157
1.460	1.159
1.470	1.160
1.480	1.161
1.490	1.162
1.500	1.163
1.510	1.164
1.520	1.165
1.530	1.166
1.540	1.167
1.550	1.169
1.560	1.170
1.570	1.171
1.580	1.172
1.590	1.173
1.600	1.174
1.610	1.175
1.620	1.176
1.630	1.176
1.640	1.177
1.650	1.178
1.660	1.179
1.670	1.180
1.680	1.181
1.690	1.182
1.700	1.183
1.710	1.184
1.720	1.185
1.730	1.185
1.740	1.186
1.750	1.187
1.760	1.188
1.770	1.189
1.780	1.189
1.790	1.190
1.800	1.191
1.810	1.192
1.820	1.193
1.830	1.193
1.840	1.194
1.850	1.195
1.860	1.195
1.870	1.196
1.880	1.197
1.890	1.198
1.900	1.198
1.910	1.199
1.920	1.200
1.930	1.200
1.940	1.201
1.950	1.202
1.960	1.202
1.970	1.203
1.980	1.204
1.990	1.204
2.000	1.205
2.010	1.205
2.020	1.206
2.030	1.207
2.040	1.207
2.050	1.208
2.060	1.208
2.070	1.209
2.080	1.210
2.090	1.210
2.100	1.211
2.110	1.211
2.120	1.212
2.130	1.212
2.140	1.213
2.150	1.213
2.160	1.214
2.170	1.214
2.180	1.215
2.190	1.215
2.200	1.216
2.210	1.216
2.220	1.217
2.230	1.217
2.240	1.218
2.250	1.218
2.260	1.219
2.270	1.219
2.280	1.220
2.290	1.220
2.300	1.220
2.310	1.221
2.320	1.221
2.330	1.222
2.340	1.222
2.350	1.223
2.360	1.223
2.370	1.223
2.380	1.224
2.390	1.224
2.400	1.225
2.410	1.225
2.420	1.225
2.430	1.226
2.440	1.226
2.450	1.227
2.460	1.227
2.470	1.227
2.480	1.228
2.490	1.228
2.500	1.228
2.510	1.229
2.520	1.229
2.530	1.229
2.540	1.230
2.550	1.230
2.560	1.230
2.570	1.231
2.580	1.231
2.590	1.231
2.600	1.232
2.610	1.232
2.620	1.232
2.630	1.233
2.640	1.233
2.650	1.233
2.660	1.234
2.670	1.234
2.680	1.234
2.690	1.235
2.700	1.235
2.710	1.235
2.720	1.235
2.730	1.236
2.740	1.236
2.750	1.236
2.760	1.236
2.770	1.237
2.780	1.237
2.790	1.237
2.800	1.238
2.810	1.238
2.820	1.238
2.830	1.238
2.840	1.239
2.850	1.239
2.860	1.239
2.870	1.239
2.880	1.239
2.890	1.240
2.900	1.240
2.910	1.240
2.920	1.240
2.930	1.241
2.940	1.241
2.950	1.241
2.960	1.241
2.970	1.241
2.980	1.242
2.990	1.242
3.000	1.242
3.010	1.242
3.020	1.242
3.030	1.243
3.040	1.243
3.050	1.243
3.060	1.243
3.070	1.243
3.080	1.244
3.090	1.244
3.100	1.244
3.110	1.244
3.120	1.244
3.130	1.245
3.140	1.245
3.150	1.245
3.160	1.245
3.170	1.245
3.180	1.245
3.190	1.246
3.200	1.246
3.210	1.246
3.220	1.246
3.230	1.246
3.240	1.246
3.250	1.246
3.260	1.247
3.270	1.247
3.280	1.247
3.290	1.247
3.300	1.247
3.310	1.247
3.320	1.247
3.330	1.248
3.340	1.248
3.350	1.248
3.360	1.248
3.370	1.248
3.380	1.248
3.390	1.248
3.400	1.249
3.410	1.249
3.420	1.249
3.430	1.249
3.440	1.249
3.450	1.249
3.460	1.249
3.470	1.249
3.480	1.249
3.490	1.250
3.500	1.250
3.510	1.250
3.520	1.250
3.530	1.250
3.540	1.250
3.550	1.250
3.560	1.250
3.570	1.250
3.580	1.250
3.590	1.251
3.600	1.251
3.610	1.251
3.620	1.251
3.630	1.251
3.640	1.251
3.650	1.251
3.660	1.251
3.670	1.251
3.680	1.251
3.690	1.251
3.700	1.251
3.710	1.252
3.720	1.252
3.730	1.252
3.740	1.252
3.750	1.252
3.760	1.252
3.770	1.252
3.780	1.252
3.790	1.252
3.800	1.252
3.810	1.252
3.820	1.252
3.830	1.252
3.840	1.252
3.850	1.252
3.860	1.253
3.870	1.253
3.880	1.253
3.890	1.253
3.900	1.253
3.910	1.253
3.920	1.253
3.930	1.253
3.940	1.253
3.950	1.253
3.960	1.253
3.970	1.253
3.980	1.253
3.990	1.253
4.000	1.253
4.010	1.253
4.020	1.253
4.030	1.253
4.040	1.253
4.050	1.253
