N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)	x_dotc(m/s)	y_dotc(m/s)	V_dot(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066	0.872	9.962	34.849
2	0.010	1254.80	56000.0	10.349	0.0304	0.3000	0.00	84.95	0.2500	0.0000	85.00	0.10	0.01	9.8066	0.911	10.308	34.856
3	0.020	1254.60	56000.0	10.697	0.0314	0.3000	0.00	84.90	0.2500	0.0000	85.00	0.21	0.02	9.8066	0.950	10.655	34.864
4	0.030	1254.40	56000.0	11.046	0.0325	0.3000	0.00	84.86	0.2500	0.0000	85.00	0.31	0.03	9.8066	0.990	11.001	34.872
5	0.040	1254.20	56000.0	11.395	0.0335	0.3000	0.00	84.81	0.2500	0.0000	85.00	0.43	0.04	9.8066	1.030	11.348	34.879
6	0.050	1254.00	56000.0	11.743	0.0345	0.3000	0.00	84.77	0.2500	0.0000	85.00	0.54	0.05	9.8066	1.071	11.694	34.887
7	0.060	1253.80	56000.0	12.092	0.0355	0.3000	0.00	84.73	0.2500	0.0000	85.00	0.66	0.06	9.8066	1.112	12.041	34.894
8	0.070	1253.60	56000.0	12.441	0.0366	0.3000	0.00	84.68	0.2500	0.0000	85.00	0.78	0.07	9.8066	1.153	12.388	34.902
9	0.080	1253.40	56000.0	12.790	0.0376	0.3000	0.00	84.64	0.2500	0.0000	85.00	0.91	0.08	9.8066	1.194	12.734	34.909
10	0.090	1253.20	56000.0	13.139	0.0386	0.3000	0.00	84.60	0.2500	0.0000	85.00	1.04	0.09	9.8066	1.236	13.081	34.917
11	0.100	1253.00	56000.0	13.489	0.0396	0.3000	0.00	84.56	0.2500	0.0000	85.00	1.17	0.11	9.8066	1.278	13.428	34.924
12	0.110	1252.80	56000.0	13.838	0.0407	0.3000	0.00	84.52	0.2500	0.0000	85.00	1.31	0.12	9.8066	1.321	13.775	34.932
13	0.120	1252.60	56000.0	14.187	0.0417	0.3000	0.00	84.48	0.2500	0.0000	85.00	1.44	0.13	9.8066	1.364	14.122	34.939
14	0.130	1252.40	56000.0	14.537	0.0427	0.3000	0.00	84.45	0.2500	0.0000	85.00	1.59	0.15	9.8066	1.407	14.468	34.946
15	0.140	1252.20	56000.0	14.886	0.0437	0.3000	0.00	84.41	0.2500	0.0000	85.00	1.73	0.16	9.8066	1.450	14.815	34.954
16	0.150	1252.00	56000.0	15.236	0.0448	0.3000	0.00	84.37	0.2500	0.0000	85.00	1.88	0.18	9.8066	1.494	15.162	34.961
17	0.160	1251.80	56000.0	15.585	0.0458	0.3000	0.00	84.34	0.2500	0.0000	85.00	2.04	0.19	9.8066	1.538	15.509	34.969
18	0.170	1251.60	56000.0	15.935	0.0468	0.3000	0.00	84.30	0.2500	0.0000	85.00	2.19	0.21	9.8066	1.582	15.856	34.976
19	0.180	1251.40	56000.0	16.285	0.0479	0.3000	0.00	84.27	0.2500	0.0000	85.00	2.35	0.22	9.8066	1.627	16.204	34.983
20	0.190	1251.20	56000.0	16.635	0.0489	0.3000	0.00	84.23	0.2500	0.0000	85.00	2.52	0.24	9.8066	1.672	16.551	34.991
21	0.200	1251.00	56000.0	16.985	0.0499	0.3000	0.00	84.20	0.2500	0.0000	85.00	2.69	0.26	9.8066	1.717	16.898	34.998
22	0.210	1250.80	56000.0	17.335	0.0509	0.3000	0.00	84.17	0.2500	0.0000	85.00	2.86	0.27	9.8066	1.762	17.245	35.005
23	0.220	1250.60	56000.0	17.685	0.0520	0.3000	0.00	84.13	0.2500	0.0000	85.00	3.03	0.29	9.8066	1.808	17.592	35.013
24	0.230	1250.40	56000.0	18.035	0.0530	0.3000	0.00	84.10	0.2500	0.0000	85.00	3.21	0.31	9.8066	1.854	17.940	35.020
25	0.240	1250.20	56000.0	18.385	0.0540	0.3000	0.00	84.07	0.2500	0.0000	85.00	3.39	0.33	9.8066	1.900	18.287	35.027
26	0.250	1250.00	56000.0	18.736	0.0551	0.3000	0.00	84.04	0.2500	0.0000	85.00	3.57	0.35	9.8066	1.946	18.634	35.034
27	0.260	1249.80	56000.0	19.086	0.0561	0.3000	0.00	84.01	0.2500	0.0000	85.00	3.76	0.37	9.8066	1.993	18.982	35.042
28	0.270	1249.60	56000.0	19.436	0.0571	0.3000	0.00	83.98	0.2500	0.0000	85.00	3.95	0.39	9.8066	2.040	19.329	35.049
29	0.280	1249.40	56000.0	19.787	0.0581	0.3000	0.00	83.95	0.2500	0.0000	85.00	4.15	0.41	9.8066	2.087	19.677	35.056
30	0.290	1249.20	56000.0	20.138	0.0592	0.3000	0.00	83.92	0.2500	0.0000	85.00	4.35	0.43	9.8066	2.134	20.024	35.064
31	0.300	1249.00	56000.0	20.488	0.0602	0.3000	0.00	83.89	0.2500	0.0000	85.00	4.55	0.45	9.8066	2.182	20.372	35.071
32	0.310	1248.80	56000.0	20.839	0.0612	0.3000	0.00	83.86	0.2500	0.0000	85.00	4.75	0.47	9.8066	2.230	20.719	35.078
33	0.320	1248.60	56000.0	21.190	0.0623	0.3000	0.00	83.83	0.2500	0.0000	85.00	4.96	0.50	9.8066	2.278	21.067	35.085
34	0.330	1248.40	56000.0	21.541	0.0633	0.3000	0.00	83.80	0.2500	0.0000	85.00	5.18	0.52	9.8066	2.326	21.415	35.092
35	0.340	1248.20	56000.0	21.892	0.0643	0.3000	0.00	83.77	0.2500	0.0000	85.00	5.39	0.54	9.8066	2.375	21.762	35.100
36	0.350	1248.00	56000.0	22.243	0.0654	0.3000	0.00	83.75	0.2500	0.0000	85.00	5.61	0.57	9.8066	2.423	22.110	35.107
37	0.360	1247.80	56000.0	22.594	0.0664	0.3000	0.00	83.72	0.2500	0.0000	85.00	5.83	0.59	9.8066	2.472	22.458	35.114
38	0.370	1247.60	56000.0	22.945	0.0674	0.3000	0.00	83.69	0.2500	0.0000	85.00	6.06	0.62	9.8066	2.521	22.806	35.121
39	0.380	1247.40	56000.0	23.296	0.0685	0.3000	0.00	83.66	0.2500	0.0000	85.00	6.29	0.64	9.8066	2.571	23.154	35.128
40	0.390	1247.20	56000.0	23.647	0.0695	0.3000	0.00	83.64	0.2500	0.0000	85.00	6.52	0.67	9.8066	2.621	23.502	35.135
41	0.400	1247.00	56000.0	23.999	0.0705	0.3000	0.00	83.61	0.2500	0.0000	85.00	6.76	0.69	9.8066	2.670	23.850	35.142
