t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.010	0.01	0.10	10.348	84.951	85.000	0.049	0.0000	0.0304	0.3000	0.2500	1254.80	56000.0	9.8066
0.020	0.02	0.20	10.697	84.905	85.000	0.095	0.0000	0.0314	0.3000	0.2500	1254.60	56000.0	9.8066
0.030	0.03	0.31	11.046	84.863	85.000	0.137	0.0000	0.0325	0.3000	0.2500	1254.40	56000.0	9.8066
0.040	0.04	0.42	11.394	84.823	85.000	0.177	0.0000	0.0335	0.3000	0.2500	1254.20	56000.0	9.8066
0.050	0.05	0.53	11.743	84.785	85.000	0.215	0.0000	0.0345	0.3000	0.2500	1254.00	56000.0	9.8066
0.060	0.06	0.65	12.092	84.750	85.000	0.250	0.0000	0.0355	0.3000	0.2500	1253.80	56000.0	9.8066
0.070	0.07	0.77	12.441	84.717	85.000	0.283	0.0000	0.0366	0.3000	0.2500	1253.60	56000.0	9.8066
0.080	0.08	0.89	12.790	84.685	85.000	0.315	0.0000	0.0376	0.3000	0.2500	1253.40	56000.0	9.8066
0.090	0.09	1.02	13.139	84.655	85.000	0.345	0.0000	0.0386	0.3000	0.2500	1253.20	56000.0	9.8066
0.100	0.10	1.15	13.488	84.627	85.000	0.373	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.110	0.12	1.29	13.837	84.601	85.000	0.399	0.0000	0.0407	0.3000	0.2500	1252.80	56000.0	9.8066
0.120	0.13	1.42	14.187	84.575	85.000	0.425	0.0000	0.0417	0.3000	0.2500	1252.60	56000.0	9.8066
0.130	0.14	1.57	14.536	84.551	85.000	0.449	0.0000	0.0427	0.3000	0.2500	1252.40	56000.0	9.8066
0.140	0.16	1.71	14.886	84.528	85.000	0.472	0.0000	0.0437	0.3000	0.2500	1252.20	56000.0	9.8066
0.150	0.17	1.86	15.235	84.507	85.000	0.493	0.0000	0.0448	0.3000	0.2500	1252.00	56000.0	9.8066
0.160	0.19	2.01	15.585	84.486	85.000	0.514	0.0000	0.0458	0.3000	0.2500	1251.80	56000.0	9.8066
0.170	0.20	2.17	15.934	84.466	85.000	0.534	0.0000	0.0468	0.3000	0.2500	1251.60	56000.0	9.8066
0.180	0.22	2.32	16.284	84.447	85.000	0.553	0.0000	0.0479	0.3000	0.2500	1251.40	56000.0	9.8066
0.190	0.23	2.49	16.634	84.429	85.000	0.571	0.0000	0.0489	0.3000	0.2500	1251.20	56000.0	9.8066
0.200	0.25	2.65	16.984	84.411	85.000	0.589	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.210	0.27	2.82	17.334	84.395	85.000	0.605	0.0000	0.0509	0.3000	0.2500	1250.80	56000.0	9.8066
0.220	0.28	2.99	17.683	84.379	85.000	0.621	0.0000	0.0520	0.3000	0.2500	1250.60	56000.0	9.8066
0.230	0.30	3.17	18.034	84.363	85.000	0.637	0.0000	0.0530	0.3000	0.2500	1250.40	56000.0	9.8066
0.240	0.32	3.35	18.384	84.348	85.000	0.652	0.0000	0.0540	0.3000	0.2500	1250.20	56000.0	9.8066
0.250	0.34	3.53	18.734	84.334	85.000	0.666	0.0000	0.0551	0.3000	0.2500	1250.00	56000.0	9.8066
0.260	0.35	3.72	19.084	84.320	85.000	0.680	0.0000	0.0561	0.3000	0.2500	1249.80	56000.0	9.8066
0.270	0.37	3.91	19.434	84.307	85.000	0.693	0.0000	0.0571	0.3000	0.2500	1249.60	56000.0	9.8066
0.280	0.39	4.10	19.785	84.295	85.000	0.705	0.0000	0.0581	0.3000	0.2500	1249.40	56000.0	9.8066
0.290	0.41	4.30	20.135	84.282	85.000	0.718	0.0000	0.0592	0.3000	0.2500	1249.20	56000.0	9.8066
0.300	0.43	4.50	20.486	84.271	85.000	0.729	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.310	0.45	4.70	20.836	84.259	85.000	0.741	0.0000	0.0612	0.3000	0.2500	1248.80	56000.0	9.8066
0.320	0.47	4.91	21.187	84.248	85.000	0.752	0.0000	0.0623	0.3000	0.2500	1248.60	56000.0	9.8066
0.330	0.49	5.12	21.538	84.237	85.000	0.763	0.0000	0.0633	0.3000	0.2500	1248.40	56000.0	9.8066
