t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.100	0.09	1.00	13.485	84.510	85.000	0.000	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.200	0.22	2.34	16.977	84.112	85.000	0.000	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.300	0.39	4.03	20.477	83.772	85.000	0.000	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.400	0.61	6.06	23.985	83.474	85.000	0.000	0.0000	0.0705	0.3000	0.2500	1247.00	56000.0	9.8066
0.500	0.89	8.45	27.499	83.208	85.000	0.000	0.0000	0.0808	0.3000	0.2500	1245.00	56000.0	9.8066
0.600	1.21	11.18	31.021	82.967	85.000	0.000	0.0000	0.0912	0.3000	0.2500	1243.00	56000.0	9.8066
0.700	1.59	14.26	34.549	82.745	85.000	0.000	0.0000	0.1015	0.3000	0.2500	1241.00	56000.0	9.8066
0.800	2.03	17.68	38.085	82.539	85.000	0.000	0.0000	0.1119	0.3000	0.2500	1239.00	56000.0	9.8066
0.900	2.52	21.46	41.627	82.348	85.000	0.000	0.0000	0.1224	0.3000	0.2500	1237.00	56000.0	9.8066
1.000	3.08	25.58	45.177	82.168	85.000	0.000	0.0000	0.1328	0.3000	0.2500	1235.00	56000.0	9.8066
1.100	3.69	30.06	48.733	81.999	85.000	0.000	0.0000	0.1433	0.3000	0.2500	1233.00	56000.0	9.8066
1.200	4.37	34.89	52.295	81.838	85.000	0.000	0.0000	0.1537	0.3000	0.2500	1231.00	56000.0	9.8065
1.300	5.11	40.06	55.864	81.686	85.000	0.000	0.0000	0.1642	0.3000	0.2500	1229.00	56000.0	9.8065
1.400	5.92	45.59	59.440	81.540	85.000	0.000	0.0000	0.1748	0.3000	0.2500	1227.00	56000.0	9.8065
1.500	6.79	51.47	63.021	81.401	85.000	0.000	0.0000	0.1853	0.3000	0.2500	1225.00	56000.0	9.8065
1.600	7.74	57.70	66.610	81.268	85.000	0.000	0.0000	0.1959	0.3000	0.2500	1223.00	56000.0	9.8065
1.700	8.75	64.28	70.204	81.140	85.000	0.000	0.0000	0.2065	0.3000	0.2500	1221.00	56000.0	9.8065
1.800	9.83	71.22	73.804	81.016	85.000	0.000	0.0000	0.2171	0.3000	0.2500	1219.00	56000.0	9.8064
1.900	10.98	78.51	77.411	80.898	85.000	0.000	0.0000	0.2277	0.3000	0.2500	1217.00	56000.0	9.8064
2.000	12.21	86.15	81.023	80.783	85.000	0.000	0.0000	0.2383	0.3000	0.2500	1215.00	56000.0	9.8064
2.100	13.50	94.15	84.642	80.672	85.000	0.000	0.0000	0.2490	0.3000	0.2500	1213.00	56000.0	9.8064
2.200	14.88	102.50	88.266	80.564	85.000	0.000	0.0000	0.2597	0.3000	0.2500	1211.00	56000.0	9.8063
