x(m)	y(m)
34.79	320.54
34.96	322.07
35.13	323.60
35.30	325.13
35.46	326.67
35.63	328.21
35.80	329.76
35.97	331.31
36.14	332.86
36.31	334.42
36.48	335.98
36.66	337.54
36.83	339.11
37.00	340.68
37.17	342.26
37.35	343.84
37.52	345.42
37.69	347.01
37.87	348.60
38.04	350.19
38.22	351.79
38.39	353.39
38.57	355.00
38.74	356.61
38.92	358.22
39.10	359.83
39.28	361.45
39.45	363.08
39.63	364.70
39.81	366.33
39.99	367.97
40.17	369.61
40.35	371.25
40.53	372.90
40.71	374.54
40.89	376.20
41.07	377.85
41.26	379.51
41.44	381.18
41.62	382.85
41.80	384.52
41.99	386.19
42.17	387.87
42.36	389.56
42.54	391.24
42.73	392.93
42.91	394.63
43.10	396.32
43.28	398.02
43.47	399.73
43.66	401.44
43.85	403.15
44.03	404.87
44.22	406.59
44.41	408.31
44.60	410.04
44.79	411.77
44.98	413.50
45.17	415.24
45.36	416.98
45.55	418.73
45.74	420.48
45.94	422.23
46.13	423.99
46.32	425.75
46.51	427.51
46.71	429.28
46.90	431.05
47.10	432.82
47.29	434.60
47.49	436.39
47.68	438.17
47.88	439.96
48.08	441.76
48.27	443.55
48.47	445.36
48.67	447.16
48.87	448.97
49.07	450.78
49.26	452.60
49.46	454.42
49.66	456.24
49.86	458.07
50.06	459.90
50.27	461.73
50.47	463.57
50.67	465.41
50.87	467.26
51.07	469.11
51.28	470.96
51.48	472.82
51.68	474.68
51.89	476.55
52.09	478.41
52.30	480.29
52.50	482.16
52.71	484.04
52.92	485.92
53.12	487.81
53.33	489.70
53.54	491.59
53.74	493.49
53.95	495.39
54.16	497.30
54.37	499.21
54.58	501.12
54.79	503.04
55.00	504.96
55.21	506.88
55.42	508.81
55.63	510.74
55.85	512.68
56.06	514.61
56.27	516.56
56.48	518.50
56.70	520.45
56.91	522.41
57.13	524.36
57.34	526.32
57.56	528.29
57.77	530.26
57.99	532.23
58.21	534.21
58.42	536.18
58.64	538.17
58.86	540.16
59.07	542.15
59.29	544.14
59.51	546.14
59.73	548.14
59.95	550.15
60.17	552.15
60.39	554.17
60.61	556.18
60.83	558.20
61.06	560.23
61.28	562.26
61.50	564.29
61.72	566.32
61.95	568.36
62.17	570.40
62.39	572.45
62.62	574.50
62.84	576.55
63.07	578.61
63.29	580.67
63.52	582.74
63.75	584.81
63.97	586.88
64.20	588.96
64.43	591.03
64.66	593.12
64.89	595.21
65.12	597.30
65.34	599.39
65.57	601.49
65.80	603.59
66.03	605.70
66.27	607.81
66.50	609.92
66.73	612.03
66.96	614.16
67.19	616.28
67.43	618.41
67.66	620.54
67.89	622.67
68.13	624.81
68.36	626.95
68.60	629.10
68.83	631.25
69.07	633.40
69.31	635.56
69.54	637.72
69.78	639.89
70.02	642.06
70.25	644.23
70.49	646.40
70.73	648.58
70.97	650.77
71.21	652.95
71.45	655.14
71.69	657.34
71.93	659.54
72.17	661.74
72.41	663.94
72.65	666.15
72.90	668.36
73.14	670.58
73.38	672.80
73.62	675.02
73.87	677.25
74.11	679.48
74.36	681.72
74.60	683.96
74.85	686.20
75.09	688.44
75.34	690.69
75.59	692.95
75.83	695.20
76.08	697.46
76.33	699.73
76.58	702.00
76.83	704.27
77.07	706.54
77.32	708.82
77.57	711.10
77.82	713.39
78.07	715.68
78.33	717.97
78.58	720.27
78.83	722.57
79.08	724.88
79.33	727.19
79.59	729.50
79.84	731.81
80.09	734.13
80.35	736.46
80.60	738.78
80.86	741.11
81.11	743.45
81.37	745.78
81.62	748.13
81.88	750.47
82.14	752.82
82.39	755.17
82.65	757.53
82.91	759.89
83.17	762.25
83.43	764.62
83.69	766.99
83.95	769.36
84.21	771.74
84.47	774.12
84.73	776.51
84.99	778.90
85.25	781.29
85.51	783.68
85.78	786.08
86.04	788.49
86.30	790.89
86.57	793.31
86.83	795.72
87.09	798.14
87.36	800.56
87.62	802.99
87.89	805.41
88.16	807.85
88.42	810.28
88.69	812.72
88.96	815.17
89.22	817.61
89.49	820.06
89.76	822.52
90.03	824.98
90.30	827.44
90.57	829.90
90.84	832.37
91.11	834.85
91.38	837.32
91.65	839.80
91.92	842.29
92.19	844.77
92.47	847.26
92.74	849.76
93.01	852.26
93.28	854.76
93.56	857.26
93.83	859.77
94.11	862.29
94.38	864.80
94.66	867.32
94.93	869.84
95.21	872.37
95.49	874.90
95.76	877.44
96.04	879.98
96.32	882.52
96.60	885.06
96.88	887.61
97.15	890.16
97.43	892.72
97.71	895.28
97.99	897.84
98.27	900.41
98.56	902.98
98.84	905.55
99.12	908.13
99.40	910.71
99.68	913.30
99.97	915.89
100.25	918.48
100.53	921.07
100.82	923.67
101.10	926.28
101.39	928.88
101.67	931.49
101.96	934.11
102.24	936.72
102.53	939.34
102.81	941.97
103.10	944.60
103.39	947.23
103.68	949.86
103.97	952.50
104.25	955.14
104.54	957.79
104.83	960.44
105.12	963.09
105.41	965.75
105.70	968.41
105.99	971.07
106.29	973.74
106.58	976.41
106.87	979.09
107.16	981.77
107.45	984.45
107.75	987.13
108.04	989.82
108.34	992.51
108.63	995.21
108.92	997.91
109.22	1000.61
109.51	1003.32
109.81	1006.03
110.11	1008.74
110.40	1011.46
110.70	1014.18
111.00	1016.91
111.30	1019.64
111.59	1022.37
111.89	1025.10
112.19	1027.84
112.49	1030.58
112.79	1033.33
113.09	1036.08
113.39	1038.83
113.69	1041.59
113.99	1044.35
114.30	1047.11
114.60	1049.88
114.90	1052.65
115.20	1055.42
115.51	1058.20
115.81	1060.98
116.11	1063.77
116.42	1066.55
116.72	1069.35
117.03	1072.14
117.33	1074.94
117.64	1077.74
117.94	1080.55
118.25	1083.36
118.56	1086.17
118.86	1088.99
119.17	1091.81
119.48	1094.63
119.79	1097.46
120.10	1100.29
120.41	1103.12
120.72	1105.96
121.03	1108.80
121.34	1111.64
121.65	1114.49
121.96	1117.34
122.27	1120.20
122.58	1123.05
122.89	1125.92
123.21	1128.78
123.52	1131.65
123.83	1134.52
124.15	1137.40
124.46	1140.28
124.77	1143.16
125.09	1146.05
125.40	1148.94
125.72	1151.83
126.04	1154.72
126.35	1157.62
126.67	1160.53
126.99	1163.43
127.30	1166.34
127.62	1169.26
127.94	1172.18
128.26	1175.10
128.58	1178.02
128.89	1180.95
129.21	1183.88
129.53	1186.81
129.85	1189.75
130.18	1192.69
130.50	1195.64
130.82	1198.58
131.14	1201.53
131.46	1204.49
131.78	1207.45
132.11	1210.41
132.43	1213.37
132.75	1216.34
133.08	1219.32
133.40	1222.29
133.73	1225.27
134.05	1228.25
134.38	1231.24
134.70	1234.23
135.03	1237.22
135.36	1240.21
135.68	1243.21
136.01	1246.22
136.34	1249.22
136.67	1252.23
136.99	1255.24
137.32	1258.26
137.65	1261.28
137.98	1264.30
138.31	1267.33
138.64	1270.36
138.97	1273.39
139.30	1276.43
139.63	1279.47
139.96	1282.51
140.30	1285.56
140.63	1288.61
140.96	1291.66
141.29	1294.72
141.63	1297.78
141.96	1300.84
142.30	1303.91
142.63	1306.98
142.96	1310.05
143.30	1313.13
143.63	1316.21
143.97	1319.29
144.31	1322.38
144.64	1325.47
144.98	1328.56
145.32	1331.66
145.66	1334.76
145.99	1337.86
146.33	1340.97
146.67	1344.08
147.01	1347.19
147.35	1350.31
147.69	1353.43
148.03	1356.55
148.37	1359.68
148.71	1362.81
149.05	1365.94
149.39	1369.07
149.73	1372.21
150.08	1375.36
150.42	1378.50
150.76	1381.65
151.10	1384.81
151.45	1387.96
151.79	1391.12
152.14	1394.28
152.48	1397.45
152.83	1400.62
153.17	1403.79
153.52	1406.97
153.86	1410.15
154.21	1413.33
154.56	1416.52
154.90	1419.71
155.25	1422.90
155.60	1426.09
155.95	1429.29
156.29	1432.49
156.64	1435.70
156.99	1438.91
157.34	1442.12
157.69	1445.33
158.04	1448.55
158.39	1451.77
158.74	1455.00
159.09	1458.23
159.45	1461.46
159.80	1464.69
160.15	1467.93
160.50	1471.17
160.86	1474.41
161.21	1477.66
161.56	1480.91
161.92	1484.17
162.27	1487.42
162.62	1490.68
162.98	1493.95
163.33	1497.21
163.69	1500.48
164.05	1503.76
164.40	1507.03
164.76	1510.31
165.12	1513.59
165.47	1516.88
165.83	1520.17
166.19	1523.46
166.55	1526.76
166.91	1530.05
167.26	1533.36
167.62	1536.66
167.98	1539.97
168.34	1543.28
168.70	1546.59
169.06	1549.91
169.43	1553.23
169.79	1556.56
170.15	1559.88
170.51	1563.21
170.87	1566.55
171.24	1569.88
171.60	1573.22
171.96	1576.56
172.32	1579.91
172.69	1583.26
173.05	1586.61
173.42	1589.97
173.78	1593.32
174.15	1596.69
174.51	1600.05
174.88	1603.42
175.25	1606.79
175.61	1610.16
175.98	1613.54
176.35	1616.92
176.71	1620.31
177.08	1623.69
177.45	1627.08
177.82	1630.47
178.19	1633.87
178.56	1637.27
178.93	1640.67
179.30	1644.08
179.67	1647.49
180.04	1650.90
180.41	1654.31
180.78	1657.73
181.15	1661.15
181.52	1664.58
181.89	1668.00
182.27	1671.43
182.64	1674.87
183.01	1678.30
183.38	1681.74
183.76	1685.19
184.13	1688.63
184.51	1692.08
184.88	1695.53
185.26	1698.99
185.63	1702.45
186.01	1705.91
186.38	1709.37
186.76	1712.84
187.14	1716.31
187.51	1719.78
187.89	1723.26
188.27	1726.74
188.65	1730.22
189.02	1733.71
189.40	1737.20
189.78	1740.69
190.16	1744.19
190.54	1747.69
190.92	1751.19
191.30	1754.69
191.68	1758.20
192.06	1761.71
192.44	1765.22
192.83	1768.74
193.21	1772.26
193.59	1775.78
193.97	1779.31
194.35	1782.84
194.74	1786.37
195.12	1789.91
195.50	1793.45
195.89	1796.99
196.27	1800.53
196.66	1804.08
197.04	1807.63
197.43	1811.18
197.81	1814.74
198.20	1818.30
198.59	1821.86
198.97	1825.43
199.36	1829.00
199.75	1832.57
200.13	1836.15
200.52	1839.72
200.91	1843.30
201.30	1846.89
201.69	1850.48
202.08	1854.07
202.47	1857.66
202.86	1861.26
203.25	1864.86
203.64	1868.46
204.03	1872.06
204.42	1875.67
204.81	1879.28
205.20	1882.90
205.59	1886.52
205.99	1890.14
206.38	1893.76
206.77	1897.39
207.16	1901.02
207.56	1904.65
207.95	1908.29
208.35	1911.93
208.74	1915.57
209.13	1919.21
209.53	1922.86
209.93	1926.51
210.32	1930.17
210.72	1933.82
211.11	1937.48
211.51	1941.15
211.91	1944.81
212.30	1948.48
212.70	1952.15
213.10	1955.83
213.50	1959.51
213.90	1963.19
214.30	1966.87
214.70	1970.56
215.10	1974.25
215.50	1977.94
215.90	1981.64
216.30	1985.34
216.70	1989.04
217.10	1992.75
217.50	1996.45
217.90	2000.17
218.30	2003.88
218.71	2007.60
219.11	2011.32
219.51	2015.04
219.91	2018.77
220.32	2022.50
220.72	2026.23
221.13	2029.96
221.53	2033.70
221.94	2037.44
222.34	2041.19
222.75	2044.94
223.15	2048.69
223.56	2052.44
223.96	2056.20
224.37	2059.96
224.78	2063.72
225.19	2067.49
225.59	2071.25
226.00	2075.03
226.41	2078.80
226.82	2082.58
227.23	2086.36
227.64	2090.14
228.05	2093.93
228.46	2097.72
228.87	2101.51
229.28	2105.31
229.69	2109.11
230.10	2112.91
230.51	2116.71
230.92	2120.52
231.33	2124.33
231.75	2128.14
232.16	2131.96
232.57	2135.78
232.99	2139.60
233.40	2143.43
233.81	2147.26
234.23	2151.09
234.64	2154.92
235.06	2158.76
235.47	2162.60
235.89	2166.45
236.30	2170.29
236.72	2174.14
237.14	2178.00
237.55	2181.85
237.97	2185.71
238.39	2189.57
238.81	2193.44
239.22	2197.31
239.64	2201.18
240.06	2205.05
240.48	2208.93
240.90	2212.81
241.32	2216.69
241.74	2220.58
242.16	2224.46
242.58	2228.36
243.00	2232.25
243.42	2236.15
243.84	2240.05
244.26	2243.95
244.69	2247.86
245.11	2251.77
245.53	2255.68
245.95	2259.60
246.38	2263.52
246.80	2267.44
247.23	2271.36
247.65	2275.29
248.07	2279.22
248.50	2283.16
248.92	2287.09
249.35	2291.03
249.78	2294.98
250.20	2298.92
250.63	2302.87
251.05	2306.82
251.48	2310.78
251.91	2314.73
252.34	2318.70
252.76	2322.66
253.19	2326.63
253.62	2330.60
254.05	2334.57
254.48	2338.54
254.91	2342.52
255.34	2346.51
255.77	2350.49
256.20	2354.48
256.63	2358.47
257.06	2362.46
257.49	2366.46
257.92	2370.46
258.36	2374.46
258.79	2378.47
259.22	2382.48
259.65	2386.49
260.09	2390.50
260.52	2394.52
260.95	2398.54
261.39	2402.56
261.82	2406.59
262.26	2410.62
262.69	2414.65
263.13	2418.69
263.56	2422.73
264.00	2426.77
264.44	2430.81
264.87	2434.86
265.31	2438.91
265.75	2442.97
266.18	2447.02
266.62	2451.08
267.06	2455.14
267.50	2459.21
267.94	2463.28
268.38	2467.35
268.82	2471.42
269.26	2475.50
269.70	2479.58
270.14	2483.66
270.58	2487.75
271.02	2491.84
271.46	2495.93
271.90	2500.03
272.34	2504.13
272.78	2508.23
273.23	2512.33
273.67	2516.44
274.11	2520.55
274.56	2524.66
275.00	2528.78
275.44	2532.90
275.89	2537.02
276.33	2541.15
276.78	2545.27
277.22	2549.40
277.67	2553.54
278.11	2557.68
278.56	2561.82
279.01	2565.96
279.45	2570.11
279.90	2574.25
280.35	2578.41
280.80	2582.56
281.24	2586.72
281.69	2590.88
282.14	2595.04
282.59	2599.21
283.04	2603.38
283.49	2607.55
283.94	2611.73
284.39	2615.91
284.84	2620.09
285.29	2624.27
285.74	2628.46
286.19	2632.65
286.64	2636.85
287.09	2641.04
287.55	2645.24
288.00	2649.45
288.45	2653.65
288.91	2657.86
289.36	2662.07
289.81	2666.29
290.27	2670.50
290.72	2674.72
291.18	2678.95
291.63	2683.17
292.09	2687.40
292.54	2691.64
293.00	2695.87
293.45	2700.11
293.91	2704.35
294.37	2708.59
294.82	2712.84
295.28	2717.09
295.74	2721.34
296.20	2725.60
296.66	2729.86
297.11	2734.12
297.57	2738.39
298.03	2742.66
298.49	2746.93
298.95	2751.20
299.41	2755.48
299.87	2759.76
300.33	2764.04
300.80	2768.33
301.26	2772.61
301.72	2776.91
302.18	2781.20
302.64	2785.50
303.11	2789.80
303.57	2794.10
304.03	2798.41
304.49	2802.72
304.96	2807.03
305.42	2811.35
305.89	2815.67
306.35	2819.99
306.82	2824.31
307.28	2828.64
307.75	2832.97
308.21	2837.30
308.68	2841.64
309.15	2845.98
309.61	2850.32
310.08	2854.67
310.55	2859.01
311.02	2863.37
311.48	2867.72
311.95	2872.08
312.42	2876.44
312.89	2880.80
313.36	2885.16
313.83	2889.53
314.30	2893.91
314.77	2898.28
315.24	2902.66
315.71	2907.04
316.18	2911.42
316.65	2915.81
317.12	2920.20
317.60	2924.59
318.07	2928.99
318.54	2933.38
319.01	2937.79
319.49	2942.19
319.96	2946.60
320.43	2951.01
320.91	2955.42
321.38	2959.84
321.86	2964.25
322.33	2968.68
322.81	2973.10
323.28	2977.53
323.76	2981.96
324.24	2986.39
324.71	2990.83
325.19	2995.27
325.67	2999.71
326.14	3004.16
326.62	3008.61
327.10	3013.06
327.58	3017.51
328.06	3021.97
328.54	3026.43
329.01	3030.89
329.49	3035.36
329.97	3039.83
330.45	3044.30
330.93	3048.77
331.41	3053.25
331.90	3057.73
332.38	3062.22
332.86	3066.70
333.34	3071.19
333.82	3075.69
334.31	3080.18
334.79	3084.68
335.27	3089.18
335.75	3093.68
336.24	3098.19
336.72	3102.70
337.21	3107.21
337.69	3111.73
338.18	3116.25
338.66	3120.77
339.15	3125.30
339.63	3129.82
340.12	3134.35
340.60	3138.89
341.09	3143.42
341.58	3147.96
342.07	3152.51
342.55	3157.05
343.04	3161.60
343.53	3166.15
344.02	3170.70
344.51	3175.26
345.00	3179.82
345.48	3184.38
345.97	3188.95
346.46	3193.52
346.95	3198.09
347.44	3202.67
347.94	3207.24
348.43	3211.82
348.92	3216.41
349.41	3220.99
349.90	3225.58
350.39	3230.17
350.89	3234.77
351.38	3239.37
351.87	3243.97
352.37	3248.57
352.86	3253.18
353.35	3257.79
353.85	3262.40
354.34	3267.02
354.84	3271.63
355.33	3276.26
355.83	3280.88
356.33	3285.51
356.82	3290.14
357.32	3294.77
357.81	3299.41
358.31	3304.04
358.81	3308.69
359.31	3313.33
359.80	3317.98
360.30	3322.63
360.80	3327.28
361.30	3331.94
361.80	3336.60
362.30	3341.26
362.80	3345.93
363.30	3350.59
363.80	3355.27
364.30	3359.94
364.80	3364.62
365.30	3369.30
365.80	3373.98
366.30	3378.66
366.81	3383.35
367.31	3388.04
367.81	3392.74
368.31	3397.44
368.82	3402.14
369.32	3406.84
369.83	3411.55
370.33	3416.25
370.83	3420.97
371.34	3425.68
371.84	3430.40
372.35	3435.12
372.85	3439.84
373.36	3444.57
373.87	3449.30
374.37	3454.03
374.88	3458.77
375.39	3463.51
375.89	3468.25
376.40	3472.99
376.91	3477.74
377.42	3482.49
377.93	3487.24
378.44	3492.00
378.94	3496.76
379.45	3501.52
379.96	3506.28
380.47	3511.05
380.98	3515.82
381.50	3520.59
382.01	3525.37
382.52	3530.15
383.03	3534.93
383.54	3539.72
384.05	3544.50
384.57	3549.29
385.08	3554.09
385.59	3558.88
386.10	3563.68
386.62	3568.49
387.13	3573.29
387.65	3578.10
388.16	3582.91
388.67	3587.73
389.19	3592.54
389.71	3597.36
390.22	3602.19
390.74	3607.01
391.25	3611.84
391.77	3616.67
392.29	3621.51
392.80	3626.35
393.32	3631.19
393.84	3636.03
394.36	3640.88
394.88	3645.73
395.39	3650.58
395.91	3655.43
396.43	3660.29
396.95	3665.15
397.47	3670.02
397.99	3674.88
398.51	3679.75
399.03	3684.63
399.55	3689.50
400.07	3694.38
400.60	3699.26
401.12	3704.15
401.64	3709.03
402.16	3713.92
402.68	3718.82
403.21	3723.71
403.73	3728.61
404.25	3733.51
404.78	3738.42
405.30	3743.33
405.83	3748.24
406.35	3753.15
406.88	3758.07
407.40	3762.99
407.93	3767.91
408.45	3772.83
408.98	3777.76
409.51	3782.69
410.03	3787.63
410.56	3792.57
411.09	3797.51
411.62	3802.45
412.14	3807.39
412.67	3812.34
413.20	3817.30
413.73	3822.25
414.26	3827.21
414.79	3832.17
415.32	3837.13
415.85	3842.10
416.38	3847.07
416.91	3852.04
417.44	3857.01
417.97	3861.99
418.50	3866.97
419.03	3871.96
419.57	3876.94
420.10	3881.93
420.63	3886.93
421.16	3891.92
421.70	3896.92
422.23	3901.92
422.77	3906.93
423.30	3911.93
423.83	3916.94
424.37	3921.96
424.90	3926.97
425.44	3931.99
425.98	3937.02
426.51	3942.04
427.05	3947.07
427.58	3952.10
428.12	3957.13
428.66	3962.17
429.20	3967.21
429.73	3972.25
430.27	3977.30
430.81	3982.35
431.35	3987.40
431.89	3992.45
432.43	3997.51
432.97	4002.57
433.50	4007.63
434.04	4012.70
434.59	4017.77
435.13	4022.84
435.67	4027.91
436.21	4032.99
436.75	4038.07
437.29	4043.16
437.83	4048.24
438.38	4053.33
438.92	4058.43
439.46	4063.52
440.00	4068.62
440.55	4073.72
441.09	4078.82
441.64	4083.93
442.18	4089.04
442.73	4094.15
443.27	4099.27
443.82	4104.39
444.36	4109.51
444.91	4114.64
445.45	4119.76
446.00	4124.89
446.55	4130.03
447.09	4135.17
447.64	4140.30
448.19	4145.45
448.74	4150.59
449.29	4155.74
449.83	4160.89
450.38	4166.05
450.93	4171.20
451.48	4176.36
452.03	4181.53
452.58	4186.69
453.13	4191.86
453.68	4197.03
454.23	4202.21
454.78	4207.39
455.34	4212.57
455.89	4217.75
456.44	4222.94
456.99	4228.13
457.55	4233.32
458.10	4238.51
458.65	4243.71
459.20	4248.91
459.76	4254.12
460.31	4259.33
460.87	4264.54
461.42	4269.75
461.98	4274.97
462.53	4280.18
463.09	4285.41
463.64	4290.63
464.20	4295.86
464.76	4301.09
465.31	4306.32
465.87	4311.56
466.43	4316.80
466.99	4322.04
467.54	4327.29
468.10	4332.54
468.66	4337.79
469.22	4343.04
469.78	4348.30
470.34	4353.56
470.90	4358.82
471.46	4364.09
472.02	4369.36
472.58	4374.63
473.14	4379.91
473.70	4385.19
474.26	4390.47
474.82	4395.75
475.39	4401.04
475.95	4406.33
476.51	4411.62
477.07	4416.92
477.64	4422.22
478.20	4427.52
478.77	4432.82
479.33	4438.13
479.89	4443.44
480.46	4448.75
481.02	4454.07
481.59	4459.39
482.15	4464.71
482.72	4470.04
483.29	4475.37
483.85	4480.70
484.42	4486.03
484.99	4491.37
485.55	4496.71
486.12	4502.05
486.69	4507.40
487.26	4512.75
487.83	4518.10
488.40	4523.46
488.97	4528.81
489.53	4534.17
490.10	4539.54
490.67	4544.91
491.24	4550.28
491.82	4555.65
492.39	4561.02
492.96	4566.40
493.53	4571.79
494.10	4577.17
494.67	4582.56
495.25	4587.95
495.82	4593.34
496.39	4598.74
496.96	4604.14
497.54	4609.54
498.11	4614.95
498.69	4620.36
499.26	4625.77
499.84	4631.18
500.41	4636.60
500.99	4642.02
501.56	4647.44
502.14	4652.87
502.71	4658.30
503.29	4663.73
503.87	4669.17
504.44	4674.61
505.02	4680.05
505.60	4685.49
506.18	4690.94
506.76	4696.39
507.33	4701.84
507.91	4707.30
508.49	4712.76
509.07	4718.22
509.65	4723.69
510.23	4729.15
510.81	4734.62
511.39	4740.10
511.97	4745.58
512.56	4751.06
513.14	4756.54
513.72	4762.03
514.30	4767.51
514.88	4773.01
515.47	4778.50
