t(c)	V(m/s)
0.000	10.000
0.010	10.349
0.020	10.697
0.030	11.046
0.040	11.395
0.050	11.743
0.060	12.092
0.070	12.441
0.080	12.790
0.090	13.139
0.100	13.489
0.110	13.838
0.120	14.187
0.130	14.537
0.140	14.886
0.150	15.236
0.160	15.585
0.170	15.935
0.180	16.285
0.190	16.635
0.200	16.985
0.210	17.335
0.220	17.685
0.230	18.035
0.240	18.385
0.250	18.736
0.260	19.086
0.270	19.436
0.280	19.787
0.290	20.138
0.300	20.488
0.310	20.839
0.320	21.190
0.330	21.541
0.340	21.892
0.350	22.243
0.360	22.594
0.370	22.945
0.380	23.296
0.390	23.647
0.400	23.999
0.410	24.350
0.420	24.702
0.430	25.053
0.440	25.405
0.450	25.757
0.460	26.109
0.470	26.461
0.480	26.813
0.490	27.165
0.500	27.517
0.510	27.869
0.520	28.221
0.530	28.573
0.540	28.926
0.550	29.278
0.560	29.631
0.570	29.983
0.580	30.336
0.590	30.689
0.600	31.041
0.610	31.394
0.620	31.747
0.630	32.100
0.640	32.453
0.650	32.807
0.660	33.160
0.670	33.513
0.680	33.866
0.690	34.220
0.700	34.573
0.710	34.927
0.720	35.280
0.730	35.634
0.740	35.988
0.750	36.342
0.760	36.696
0.770	37.050
0.780	37.404
0.790	37.758
0.800	38.112
0.810	38.466
0.820	38.820
0.830	39.175
0.840	39.529
0.850	39.884
0.860	40.238
0.870	40.593
0.880	40.948
0.890	41.302
0.900	41.657
0.910	42.012
0.920	42.367
0.930	42.722
0.940	43.077
0.950	43.432
0.960	43.788
0.970	44.143
0.980	44.498
0.990	44.854
1.000	45.209
1.010	45.565
1.020	45.921
1.030	46.276
1.040	46.632
1.050	46.988
1.060	47.344
1.070	47.700
1.080	48.056
1.090	48.412
1.100	48.768
1.110	49.124
1.120	49.481
1.130	49.837
1.140	50.193
1.150	50.550
1.160	50.906
1.170	51.263
1.180	51.620
1.190	51.976
1.200	52.333
1.210	52.690
1.220	53.047
1.230	53.404
1.240	53.761
1.250	54.118
1.260	54.475
1.270	54.833
1.280	55.190
1.290	55.547
1.300	55.905
1.310	56.262
1.320	56.620
1.330	56.978
1.340	57.335
1.350	57.693
1.360	58.051
1.370	58.409
1.380	58.767
1.390	59.125
1.400	59.483
1.410	59.841
1.420	60.199
1.430	60.558
1.440	60.916
1.450	61.274
1.460	61.633
1.470	61.991
1.480	62.350
1.490	62.709
1.500	63.067
1.510	63.426
1.520	63.785
1.530	64.144
1.540	64.503
1.550	64.862
1.560	65.221
1.570	65.580
1.580	65.939
1.590	66.298
1.600	66.658
1.610	67.017
1.620	67.377
1.630	67.736
1.640	68.096
1.650	68.455
1.660	68.815
1.670	69.175
1.680	69.535
1.690	69.895
1.700	70.254
1.710	70.614
1.720	70.975
1.730	71.335
1.740	71.695
1.750	72.055
1.760	72.415
1.770	72.776
1.780	73.136
1.790	73.497
1.800	73.857
1.810	74.218
1.820	74.578
1.830	74.939
1.840	75.300
1.850	75.661
1.860	76.022
1.870	76.383
1.880	76.744
1.890	77.105
1.900	77.466
1.910	77.827
1.920	78.188
1.930	78.550
1.940	78.911
1.950	79.272
1.960	79.634
1.970	79.995
1.980	80.357
1.990	80.719
2.000	81.080
2.010	81.442
2.020	81.804
2.030	82.166
2.040	82.528
2.050	82.890
2.060	83.252
2.070	83.614
2.080	83.976
2.090	84.339
2.100	84.701
2.110	85.063
2.120	85.426
2.130	85.788
2.140	86.151
2.150	86.513
2.160	86.876
2.170	87.239
2.180	87.601
2.190	87.964
2.200	88.327
2.210	88.690
2.220	89.053
2.230	89.416
2.240	89.779
2.250	90.142
2.260	90.505
2.270	90.869
2.280	91.232
2.290	91.595
2.300	91.959
2.310	92.322
2.320	92.686
2.330	93.050
2.340	93.413
2.350	93.777
2.360	94.141
2.370	94.505
2.380	94.868
2.390	95.232
2.400	95.596
2.410	95.960
2.420	96.324
2.430	96.689
2.440	97.053
2.450	97.417
2.460	97.781
2.470	98.146
2.480	98.510
2.490	98.875
2.500	99.239
2.510	99.604
2.520	99.969
2.530	100.333
2.540	100.698
2.550	101.063
2.560	101.428
2.570	101.793
2.580	102.158
2.590	102.523
2.600	102.888
2.610	103.253
2.620	103.618
2.630	103.983
2.640	104.349
2.650	104.714
2.660	105.079
2.670	105.445
2.680	105.810
2.690	106.176
2.700	106.541
2.710	106.907
2.720	107.273
2.730	107.639
2.740	108.004
2.750	108.370
2.760	108.736
2.770	109.102
2.780	109.468
2.790	109.834
2.800	110.200
2.810	110.567
2.820	110.933
2.830	111.299
2.840	111.665
2.850	112.032
2.860	112.398
2.870	112.765
2.880	113.131
2.890	113.498
2.900	113.865
2.910	114.231
2.920	114.598
2.930	114.965
2.940	115.332
2.950	115.699
2.960	116.066
2.970	116.433
2.980	116.800
2.990	117.167
3.000	117.534
3.010	117.901
3.020	118.268
3.030	118.636
3.040	119.003
3.050	119.371
3.060	119.738
3.070	120.106
3.080	120.473
3.090	120.841
3.100	121.208
3.110	121.576
3.120	121.944
3.130	122.312
3.140	122.680
3.150	123.047
3.160	123.415
3.170	123.783
3.180	124.151
3.190	124.520
3.200	124.888
3.210	125.256
3.220	125.624
3.230	125.993
3.240	126.361
3.250	126.729
3.260	127.098
3.270	127.466
3.280	127.835
3.290	128.203
3.300	128.572
3.310	128.941
3.320	129.309
3.330	129.678
3.340	130.047
3.350	130.416
3.360	130.785
3.370	131.154
3.380	131.523
3.390	131.892
3.400	132.261
3.410	132.630
3.420	132.999
3.430	133.369
3.440	133.738
3.450	134.107
3.460	134.477
3.470	134.846
3.480	135.216
3.490	135.585
3.500	135.955
3.510	136.325
3.520	136.694
3.530	137.064
3.540	137.434
3.550	137.804
3.560	138.173
3.570	138.543
3.580	138.913
3.590	139.283
3.600	139.653
3.610	140.023
3.620	140.394
3.630	140.764
3.640	141.134
3.650	141.504
3.660	141.875
3.670	142.245
3.680	142.615
3.690	142.986
3.700	143.356
3.710	143.727
3.720	144.098
3.730	144.468
3.740	144.839
3.750	145.210
3.760	145.580
3.770	145.951
3.780	146.322
3.790	146.693
3.800	147.064
3.810	147.435
3.820	147.806
3.830	148.177
3.840	148.548
3.850	148.919
3.860	149.291
3.870	149.662
3.880	150.033
3.890	150.405
3.900	150.776
3.910	151.147
3.920	151.519
3.930	151.891
3.940	152.262
3.950	152.634
3.960	153.005
3.970	153.377
3.980	153.749
3.990	154.121
4.000	154.492
4.010	154.864
4.020	155.236
4.030	155.608
4.040	155.980
4.050	156.352
4.060	156.724
4.070	157.096
4.080	157.469
4.090	157.841
4.100	158.213
4.110	158.585
4.120	158.958
4.130	159.330
4.140	159.703
4.150	160.075
4.160	160.448
4.170	160.820
4.180	161.193
4.190	161.565
4.200	161.938
4.210	162.311
4.220	162.683
4.230	163.056
4.240	163.429
4.250	163.802
4.260	164.175
4.270	164.548
4.280	164.921
4.290	165.294
4.300	165.667
4.310	166.040
4.320	166.413
4.330	166.786
4.340	167.160
4.350	167.533
4.360	167.906
4.370	168.280
4.380	168.653
4.390	169.027
4.400	169.400
4.410	169.774
4.420	170.147
4.430	170.521
4.440	170.894
4.450	171.268
4.460	171.642
4.470	172.016
4.480	172.389
4.490	172.763
4.500	173.137
4.510	173.511
4.520	173.885
4.530	174.259
4.540	174.633
4.550	175.007
4.560	175.381
4.570	175.755
4.580	176.130
4.590	176.504
4.600	176.878
4.610	177.252
4.620	177.627
4.630	178.001
4.640	178.375
4.650	178.750
4.660	179.124
4.670	179.499
4.680	179.874
4.690	180.248
4.700	180.623
4.710	180.998
4.720	181.372
4.730	181.747
4.740	182.122
4.750	182.497
4.760	182.872
4.770	183.246
4.780	183.621
4.790	183.996
4.800	184.371
4.810	184.746
4.820	185.122
4.830	185.497
4.840	185.872
4.850	186.247
4.860	186.622
4.870	186.997
4.880	187.373
4.890	187.748
4.900	188.123
4.910	188.498
4.920	188.873
4.930	189.248
4.940	189.624
4.950	189.999
4.960	190.374
4.970	190.749
4.980	191.124
4.990	191.499
5.000	191.874
5.010	192.249
5.020	192.624
5.030	192.999
5.040	193.374
5.050	193.749
5.060	194.124
5.070	194.499
5.080	194.874
5.090	195.249
5.100	195.624
5.110	195.998
5.120	196.373
