t(c)	x(m)
0.000	0.00
0.100	0.09
0.200	0.22
0.300	0.39
0.400	0.59
0.500	0.84
0.600	1.13
0.700	1.46
0.800	1.83
0.900	2.23
1.000	2.68
1.100	3.17
1.200	3.69
1.300	4.26
1.400	4.86
1.500	5.50
1.600	6.19
1.700	6.91
1.800	7.67
1.900	8.48
2.000	9.32
2.100	10.20
2.200	11.13
2.300	12.09
2.400	13.09
2.500	14.13
2.600	15.22
2.700	16.34
2.800	17.50
2.900	18.70
3.000	19.95
3.100	21.23
3.200	22.55
3.300	23.92
3.400	25.32
3.500	26.77
3.600	28.25
3.700	29.78
3.800	31.34
3.900	32.95
4.000	34.59
4.100	36.28
4.200	38.01
4.300	39.77
4.400	41.58
4.500	43.43
4.600	45.32
4.700	47.25
4.800	49.22
4.900	51.23
5.000	53.28
5.100	55.38
5.200	57.51
5.300	59.68
5.400	61.89
5.500	64.15
5.600	66.44
5.700	68.78
5.800	71.15
5.900	73.57
6.000	76.02
6.100	78.52
6.200	81.05
6.300	83.63
6.400	86.24
6.500	88.89
6.600	91.59
6.700	94.32
6.800	97.09
6.900	99.90
7.000	102.75
7.100	105.63
7.200	108.56
7.300	111.53
7.400	114.53
7.500	117.57
7.600	120.65
7.700	123.76
7.800	126.92
7.900	130.11
8.000	133.34
8.100	136.60
8.200	139.90
8.300	143.24
8.400	146.61
8.500	150.01
8.600	153.46
8.700	156.93
8.800	160.45
8.900	163.99
9.000	167.57
9.100	171.18
9.200	174.83
9.300	178.51
9.400	182.22
9.500	185.97
9.600	189.74
9.700	193.55
9.800	197.40
9.900	201.27
10.000	205.17
10.100	209.11
10.200	213.08
10.300	217.08
10.400	221.11
10.500	225.17
10.600	229.27
10.700	233.39
10.800	237.55
10.900	241.73
11.000	245.95
11.100	250.20
11.200	254.48
11.300	258.79
11.400	263.13
11.500	267.51
11.600	271.91
11.700	276.34
11.800	280.81
11.900	285.30
12.000	289.83
12.100	294.39
12.200	298.97
12.300	303.59
12.400	308.24
12.500	312.92
12.600	317.62
12.700	322.36
12.800	327.13
12.900	331.93
13.000	336.76
13.100	341.61
13.200	346.50
13.300	351.42
13.400	356.36
13.500	361.34
13.600	366.34
13.700	371.38
13.800	376.44
13.900	381.54
14.000	386.66
14.100	391.81
14.200	397.00
14.300	402.21
14.400	407.45
14.500	412.72
14.600	418.02
14.700	423.35
14.800	428.70
14.900	434.09
15.000	439.51
15.100	444.95
15.200	450.43
15.300	455.93
15.400	461.47
15.500	467.03
15.600	472.62
15.700	478.24
15.800	483.89
15.900	489.57
16.000	495.28
16.100	501.02
16.200	506.79
16.300	512.59
16.400	518.41
16.500	524.27
16.600	530.16
16.700	536.07
16.800	542.02
16.900	547.99
17.000	554.00
17.100	560.03
17.200	566.10
17.300	572.19
17.400	578.32
17.500	584.47
17.600	590.66
17.700	596.87
17.800	603.12
17.900	609.39
18.000	615.70
18.100	622.03
18.200	628.40
18.300	634.79
18.400	641.22
18.500	647.68
18.600	654.17
18.700	660.69
18.800	667.24
18.900	673.82
19.000	680.43
19.100	687.08
19.200	693.75
19.300	700.46
19.400	707.20
19.500	713.97
19.600	720.77
19.700	727.60
19.800	734.47
19.900	741.36
20.000	748.29
20.100	755.26
20.200	762.25
20.300	769.28
20.400	776.33
20.500	783.42
20.600	790.55
20.700	797.70
20.800	804.89
20.900	812.12
21.000	819.37
21.100	826.66
21.200	833.98
21.300	841.34
21.400	848.73
21.500	856.15
21.600	863.61
21.700	871.10
21.800	878.63
21.900	886.19
22.000	893.78
22.100	901.41
22.200	909.08
22.300	916.78
22.400	924.51
22.500	932.28
22.600	940.09
22.700	947.93
22.800	955.81
22.900	963.72
23.000	971.67
23.100	979.66
23.200	987.68
23.300	995.74
23.400	1003.84
23.500	1011.98
23.600	1020.15
23.700	1028.36
23.800	1036.60
23.900	1044.89
24.000	1053.21
24.100	1061.57
24.200	1069.97
24.300	1078.41
24.400	1086.89
24.500	1095.41
24.600	1103.96
24.700	1112.55
24.800	1121.19
24.900	1129.86
25.000	1138.57
25.100	1147.32
25.200	1156.12
25.300	1164.95
25.400	1173.82
25.500	1182.74
25.600	1191.69
25.700	1200.69
25.800	1209.72
25.900	1218.80
26.000	1227.92
26.100	1237.09
26.200	1246.29
26.300	1255.54
26.400	1264.83
26.500	1274.17
26.600	1283.54
26.700	1292.97
26.800	1302.43
26.900	1311.94
27.000	1321.50
27.100	1331.10
27.200	1340.74
27.300	1350.44
27.400	1360.17
27.500	1369.96
27.600	1379.78
27.700	1389.66
27.800	1399.58
27.900	1409.55
28.000	1419.57
28.100	1429.64
28.200	1439.75
28.300	1449.91
28.400	1460.13
28.500	1470.39
28.600	1480.70
28.700	1491.06
28.800	1501.47
28.900	1511.93
29.000	1522.44
29.100	1533.00
29.200	1543.61
29.300	1554.27
29.400	1564.99
29.500	1575.76
29.600	1586.58
29.700	1597.45
29.800	1608.38
29.900	1619.36
30.000	1630.39
