x(m)	theta_c(grad)
0.00	85.000
0.09	84.510
0.22	84.274
0.39	84.135
0.59	84.044
0.84	83.980
1.13	83.933
1.46	83.896
1.83	83.868
2.23	83.845
2.68	83.826
3.17	83.810
3.69	83.797
4.26	83.785
4.86	83.776
5.50	83.767
6.19	83.760
6.91	83.754
7.67	83.749
8.48	83.744
9.32	83.740
10.20	83.736
11.13	83.733
12.09	83.730
13.09	83.728
14.13	83.726
15.22	83.724
16.34	83.722
17.50	83.721
18.70	83.720
19.95	83.719
21.23	83.718
22.55	83.717
23.92	83.717
25.32	83.716
26.77	83.716
28.25	83.716
29.78	83.716
31.34	83.716
32.95	83.716
34.59	83.717
36.28	83.717
38.01	83.717
39.77	83.718
41.58	83.719
43.43	83.719
45.32	83.720
47.25	83.721
49.22	83.721
51.23	83.722
53.28	83.723
55.38	83.724
57.51	83.725
59.68	83.726
61.89	83.727
64.15	83.729
66.44	83.730
68.78	83.731
71.15	83.732
73.57	83.733
76.02	83.735
78.52	83.736
81.05	83.737
83.63	83.739
86.24	83.740
88.89	83.742
91.59	83.743
94.32	83.745
97.09	83.746
99.90	83.748
102.75	83.749
105.63	83.751
108.56	83.752
111.53	83.754
114.53	83.756
117.57	83.757
120.65	83.759
123.76	83.760
126.92	83.762
130.11	83.764
133.34	83.765
136.60	83.767
139.90	83.768
143.24	83.770
146.61	83.772
150.01	83.774
153.46	83.775
156.93	83.777
160.45	83.779
163.99	83.781
167.57	83.783
171.18	83.786
174.83	83.788
178.51	83.790
182.22	83.792
185.97	83.794
189.74	83.797
193.55	83.799
197.40	83.801
201.27	83.803
205.17	83.805
209.11	83.807
213.08	83.809
217.08	83.811
221.11	83.813
225.17	83.815
229.27	83.817
233.39	83.819
237.55	83.821
241.73	83.823
245.95	83.825
250.20	83.828
254.48	83.830
258.79	83.832
263.13	83.834
267.51	83.836
271.91	83.838
276.34	83.840
280.81	83.842
285.30	83.844
289.83	83.846
294.39	83.849
298.97	83.851
303.59	83.853
308.24	83.855
312.92	83.857
317.62	83.859
322.36	83.861
327.13	83.864
331.93	83.866
336.76	83.868
341.61	83.870
346.50	83.872
351.42	83.874
356.36	83.877
361.34	83.879
366.34	83.881
371.38	83.883
376.44	83.885
381.54	83.888
386.66	83.890
391.81	83.892
397.00	83.894
402.21	83.896
407.45	83.899
412.72	83.901
418.02	83.903
423.35	83.905
428.70	83.907
434.09	83.910
439.51	83.912
444.95	83.914
450.43	83.916
455.93	83.918
461.47	83.921
467.03	83.923
472.62	83.925
478.24	83.927
483.89	83.930
489.57	83.932
495.28	83.934
501.02	83.936
506.79	83.938
512.59	83.941
518.41	83.943
524.27	83.945
530.16	83.947
536.07	83.949
542.02	83.952
547.99	83.954
554.00	83.956
560.03	83.958
566.10	83.961
572.19	83.963
578.32	83.965
584.47	83.967
590.66	83.969
596.87	83.972
603.12	83.974
609.39	83.976
615.70	83.978
622.03	83.980
628.40	83.983
634.79	83.985
641.22	83.987
647.68	83.989
654.17	83.991
660.69	83.994
667.24	83.996
673.82	83.998
680.43	84.000
687.08	84.002
693.75	84.004
700.46	84.007
707.20	84.009
713.97	84.011
720.77	84.013
727.60	84.015
734.47	84.017
741.36	84.020
748.29	84.022
755.26	84.024
762.25	84.026
769.28	84.028
776.33	84.030
783.42	84.033
790.55	84.035
797.70	84.037
804.89	84.039
812.12	84.041
819.37	84.043
826.66	84.045
833.98	84.047
841.34	84.050
848.73	84.052
856.15	84.054
863.61	84.056
871.10	84.058
878.63	84.060
886.19	84.062
893.78	84.064
901.41	84.066
909.08	84.068
916.78	84.071
924.51	84.073
932.28	84.075
940.09	84.077
947.93	84.079
955.81	84.081
963.72	84.083
971.67	84.085
979.66	84.087
987.68	84.089
995.74	84.091
1003.84	84.093
1011.98	84.095
1020.15	84.097
1028.36	84.099
1036.60	84.101
1044.89	84.103
1053.21	84.105
1061.57	84.107
1069.97	84.109
1078.41	84.111
1086.89	84.113
1095.41	84.115
1103.96	84.117
1112.55	84.119
1121.19	84.121
1129.86	84.123
1138.57	84.125
1147.32	84.127
1156.12	84.129
1164.95	84.131
1173.82	84.133
1182.74	84.135
1191.69	84.137
1200.69	84.139
1209.72	84.141
1218.80	84.143
1227.92	84.145
1237.09	84.146
1246.29	84.148
1255.54	84.150
1264.83	84.152
1274.17	84.154
1283.54	84.156
1292.97	84.158
1302.43	84.160
1311.94	84.161
1321.50	84.163
1331.10	84.165
1340.74	84.167
1350.44	84.169
1360.17	84.171
1369.96	84.172
1379.78	84.174
1389.66	84.176
1399.58	84.178
1409.55	84.179
1419.57	84.181
1429.64	84.183
1439.75	84.185
1449.91	84.186
1460.13	84.188
1470.39	84.190
1480.70	84.192
1491.06	84.193
1501.47	84.195
1511.93	84.197
1522.44	84.199
1533.00	84.200
1543.61	84.202
1554.27	84.204
1564.99	84.205
1575.76	84.207
1586.58	84.209
1597.45	84.210
1608.38	84.212
1619.36	84.214
1630.39	84.215
