t(c)	x(m)
3.980	52.39
3.990	52.68
4.000	52.96
4.010	53.24
4.020	53.53
4.030	53.82
4.040	54.10
4.050	54.39
4.060	54.68
4.070	54.97
4.080	55.26
4.090	55.55
4.100	55.85
4.110	56.14
4.120	56.43
4.130	56.73
4.140	57.02
4.150	57.32
4.160	57.62
4.170	57.92
4.180	58.22
4.190	58.52
4.200	58.82
4.210	59.12
4.220	59.42
4.230	59.73
4.240	60.03
4.250	60.34
4.260	60.64
4.270	60.95
4.280	61.26
4.290	61.57
4.300	61.88
4.310	62.19
4.320	62.50
4.330	62.81
4.340	63.12
4.350	63.44
4.360	63.75
4.370	64.07
4.380	64.39
4.390	64.70
4.400	65.02
4.410	65.34
4.420	65.66
4.430	65.98
4.440	66.31
4.450	66.63
4.460	66.95
4.470	67.28
4.480	67.60
4.490	67.93
4.500	68.26
4.510	68.59
4.520	68.92
4.530	69.25
4.540	69.58
4.550	69.91
4.560	70.24
4.570	70.58
4.580	70.91
4.590	71.25
4.600	71.58
4.610	71.92
4.620	72.26
4.630	72.60
4.640	72.94
4.650	73.28
4.660	73.62
4.670	73.96
4.680	74.31
4.690	74.65
4.700	75.00
4.710	75.34
4.720	75.69
4.730	76.04
4.740	76.39
4.750	76.74
4.760	77.09
4.770	77.44
4.780	77.79
4.790	78.15
4.800	78.50
4.810	78.86
4.820	79.21
4.830	79.57
4.840	79.93
4.850	80.29
4.860	80.65
4.870	81.01
4.880	81.37
4.890	81.73
4.900	82.10
4.910	82.46
4.920	82.83
4.930	83.19
4.940	83.56
4.950	83.93
4.960	84.30
4.970	84.67
4.980	85.04
4.990	85.41
5.000	85.78
5.010	86.16
5.020	86.53
5.030	86.91
5.040	87.28
5.050	87.66
5.060	88.04
5.070	88.42
5.080	88.80
5.090	89.18
5.100	89.56
5.110	89.94
5.120	90.33
5.130	90.71
5.140	91.10
5.150	91.48
5.160	91.87
5.170	92.26
5.180	92.65
5.190	93.04
5.200	93.43
5.210	93.82
5.220	94.22
5.230	94.61
5.240	95.00
5.250	95.40
5.260	95.80
