t(c)	x(m)
0.000	0.00
0.010	0.01
0.020	0.02
0.030	0.03
0.040	0.04
0.050	0.05
0.060	0.06
0.070	0.07
0.080	0.08
0.090	0.09
0.100	0.11
0.110	0.12
0.120	0.13
0.130	0.14
0.140	0.16
0.150	0.17
0.160	0.19
0.170	0.20
0.180	0.22
0.190	0.24
0.200	0.25
0.210	0.27
0.220	0.29
0.230	0.31
0.240	0.32
0.250	0.34
0.260	0.36
0.270	0.38
0.280	0.40
0.290	0.42
0.300	0.45
0.310	0.47
0.320	0.49
0.330	0.51
0.340	0.54
0.350	0.56
0.360	0.58
0.370	0.61
0.380	0.63
0.390	0.66
0.400	0.69
0.410	0.71
0.420	0.74
0.430	0.77
0.440	0.80
0.450	0.82
0.460	0.85
0.470	0.88
0.480	0.91
0.490	0.94
0.500	0.98
0.510	1.01
0.520	1.04
0.530	1.07
0.540	1.11
0.550	1.14
0.560	1.18
0.570	1.21
0.580	1.25
0.590	1.28
0.600	1.32
0.610	1.36
0.620	1.39
0.630	1.43
0.640	1.47
0.650	1.51
0.660	1.55
0.670	1.59
0.680	1.63
0.690	1.67
0.700	1.71
0.710	1.76
0.720	1.80
0.730	1.84
0.740	1.89
0.750	1.93
0.760	1.98
0.770	2.03
0.780	2.07
0.790	2.12
0.800	2.17
0.810	2.22
0.820	2.26
0.830	2.31
0.840	2.36
0.850	2.41
0.860	2.47
0.870	2.52
0.880	2.57
0.890	2.62
0.900	2.68
0.910	2.73
0.920	2.78
0.930	2.84
0.940	2.90
0.950	2.95
0.960	3.01
0.970	3.07
0.980	3.13
0.990	3.18
1.000	3.24
1.010	3.30
1.020	3.36
1.030	3.43
1.040	3.49
1.050	3.55
1.060	3.61
1.070	3.68
1.080	3.74
1.090	3.81
1.100	3.87
1.110	3.94
1.120	4.00
1.130	4.07
1.140	4.14
1.150	4.21
1.160	4.28
1.170	4.35
1.180	4.42
1.190	4.49
1.200	4.56
1.210	4.63
1.220	4.71
1.230	4.78
1.240	4.85
1.250	4.93
1.260	5.00
1.270	5.08
1.280	5.16
1.290	5.23
1.300	5.31
