t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.100	0.11	1.17	13.489	84.556	85.000	0.000	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.200	0.26	2.69	16.985	84.190	85.000	0.000	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.300	0.45	4.55	20.488	83.876	85.000	0.000	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.400	0.70	6.76	23.999	83.599	85.000	0.000	0.0000	0.0705	0.3000	0.2500	1247.00	56000.0	9.8066
0.500	0.99	9.32	27.517	83.350	85.000	0.000	0.0000	0.0809	0.3000	0.2500	1245.00	56000.0	9.8066
0.600	1.34	12.23	31.042	83.123	85.000	0.000	0.0000	0.0912	0.3000	0.2500	1243.00	56000.0	9.8066
0.700	1.74	15.48	34.573	82.914	85.000	0.000	0.0000	0.1016	0.3000	0.2500	1241.00	56000.0	9.8066
0.800	2.19	19.09	38.112	82.720	85.000	0.000	0.0000	0.1120	0.3000	0.2500	1239.00	56000.0	9.8066
0.900	2.70	23.04	41.658	82.539	85.000	0.000	0.0000	0.1224	0.3000	0.2500	1237.00	56000.0	9.8066
1.000	3.27	27.35	45.210	82.369	85.000	0.000	0.0000	0.1329	0.3000	0.2500	1235.00	56000.0	9.8066
1.100	3.90	32.00	48.768	82.208	85.000	0.000	0.0000	0.1434	0.3000	0.2500	1233.00	56000.0	9.8066
1.200	4.60	37.01	52.334	82.056	85.000	0.000	0.0000	0.1539	0.3000	0.2500	1231.00	56000.0	9.8065
1.300	5.35	42.37	55.905	81.911	85.000	0.000	0.0000	0.1644	0.3000	0.2500	1229.00	56000.0	9.8065
1.400	6.17	48.08	59.483	81.773	85.000	0.000	0.0000	0.1749	0.3000	0.2500	1227.00	56000.0	9.8065
1.500	7.06	54.14	63.068	81.640	85.000	0.000	0.0000	0.1854	0.3000	0.2500	1225.00	56000.0	9.8065
1.600	8.01	60.56	66.658	81.513	85.000	0.000	0.0000	0.1960	0.3000	0.2500	1223.00	56000.0	9.8065
1.700	9.02	67.33	70.255	81.391	85.000	0.000	0.0000	0.2066	0.3000	0.2500	1221.00	56000.0	9.8064
1.800	10.11	74.45	73.858	81.274	85.000	0.000	0.0000	0.2172	0.3000	0.2500	1219.00	56000.0	9.8064
