x(m)	theta_c(grad)
0.00	85.000
0.01	84.951
0.02	84.903
0.03	84.857
0.04	84.811
0.05	84.766
0.06	84.723
0.07	84.680
0.08	84.638
0.09	84.597
0.11	84.557
0.12	84.517
0.13	84.478
0.14	84.440
0.16	84.403
0.17	84.366
0.19	84.330
0.20	84.294
0.22	84.259
0.24	84.225
0.25	84.191
0.27	84.157
0.29	84.124
0.31	84.092
0.32	84.060
0.34	84.028
0.36	83.997
0.38	83.966
0.40	83.936
0.42	83.906
0.45	83.876
0.47	83.847
0.49	83.818
0.51	83.789
0.54	83.761
0.56	83.733
0.58	83.706
0.61	83.678
0.63	83.651
0.66	83.625
0.69	83.598
0.71	83.572
0.74	83.546
0.77	83.521
0.80	83.495
0.82	83.470
0.85	83.446
0.88	83.421
0.91	83.397
0.94	83.373
0.98	83.349
1.01	83.325
1.04	83.302
1.07	83.278
1.11	83.255
1.14	83.233
1.18	83.210
1.21	83.188
1.25	83.165
1.28	83.143
1.32	83.121
1.36	83.100
1.39	83.078
1.43	83.057
1.47	83.036
1.51	83.015
1.55	82.994
1.59	82.973
1.63	82.953
1.67	82.932
1.71	82.912
1.76	82.892
1.80	82.872
1.84	82.852
1.89	82.833
1.93	82.813
1.98	82.794
2.03	82.775
2.07	82.756
2.12	82.737
2.17	82.718
2.22	82.699
2.26	82.681
2.31	82.662
2.36	82.644
2.41	82.626
2.47	82.608
2.52	82.590
2.57	82.572
2.62	82.554
2.68	82.537
2.73	82.519
2.78	82.502
2.84	82.484
2.90	82.467
2.95	82.450
3.01	82.433
3.07	82.416
3.13	82.399
3.18	82.383
3.24	82.366
3.30	82.349
3.36	82.333
3.43	82.317
3.49	82.300
3.55	82.284
3.61	82.268
3.68	82.252
3.74	82.236
3.81	82.221
3.87	82.205
3.94	82.189
4.00	82.174
4.07	82.158
4.14	82.143
4.21	82.128
4.28	82.112
4.35	82.097
4.42	82.082
4.49	82.067
4.56	82.052
4.63	82.037
4.71	82.023
4.78	82.008
4.85	81.993
4.93	81.979
5.00	81.964
5.08	81.950
5.16	81.935
5.23	81.921
5.31	81.907
5.39	81.893
5.47	81.879
5.55	81.865
5.63	81.851
5.71	81.837
5.79	81.823
5.88	81.809
5.96	81.796
6.04	81.782
6.13	81.768
6.21	81.755
6.30	81.741
6.39	81.728
6.47	81.715
6.56	81.701
6.65	81.688
6.74	81.675
6.83	81.662
6.92	81.649
7.01	81.636
7.10	81.623
7.19	81.610
7.29	81.597
7.38	81.584
7.47	81.571
7.57	81.559
7.67	81.546
7.76	81.533
7.86	81.521
