t(c)	theta_c(grad)
0.000	85.000
0.001	84.995
0.002	84.990
0.003	84.985
0.004	84.981
0.005	84.976
0.006	84.971
0.007	84.966
0.008	84.962
0.009	84.957
0.010	84.953
0.011	84.948
0.012	84.943
0.013	84.939
0.014	84.934
0.015	84.930
0.016	84.926
0.017	84.921
0.018	84.917
0.019	84.912
0.020	84.908
0.021	84.904
0.022	84.900
0.023	84.895
0.024	84.891
0.025	84.887
0.026	84.883
0.027	84.879
0.028	84.875
0.029	84.871
0.030	84.867
0.031	84.863
0.032	84.859
0.033	84.855
0.034	84.851
0.035	84.847
0.036	84.843
0.037	84.839
0.038	84.835
0.039	84.831
0.040	84.828
0.041	84.824
0.042	84.820
0.043	84.816
0.044	84.813
0.045	84.809
0.046	84.805
0.047	84.802
0.048	84.798
0.049	84.794
0.050	84.791
0.051	84.787
0.052	84.784
0.053	84.780
0.054	84.777
0.055	84.773
0.056	84.770
0.057	84.766
0.058	84.763
0.059	84.760
0.060	84.756
0.061	84.753
0.062	84.750
0.063	84.746
0.064	84.743
0.065	84.740
0.066	84.737
0.067	84.733
0.068	84.730
0.069	84.727
0.070	84.724
0.071	84.721
0.072	84.717
0.073	84.714
0.074	84.711
0.075	84.708
0.076	84.705
0.077	84.702
0.078	84.699
0.079	84.696
0.080	84.693
0.081	84.690
0.082	84.687
0.083	84.684
0.084	84.681
0.085	84.678
0.086	84.675
0.087	84.672
0.088	84.669
0.089	84.667
0.090	84.664
0.091	84.661
0.092	84.658
0.093	84.655
0.094	84.652
0.095	84.650
0.096	84.647
0.097	84.644
0.098	84.641
0.099	84.639
0.100	84.636
0.101	84.633
0.102	84.631
0.103	84.628
0.104	84.625
0.105	84.623
0.106	84.620
0.107	84.617
0.108	84.615
0.109	84.612
0.110	84.610
0.111	84.607
0.112	84.605
0.113	84.602
0.114	84.600
0.115	84.597
0.116	84.595
0.117	84.592
0.118	84.590
0.119	84.587
0.120	84.585
0.121	84.582
0.122	84.580
0.123	84.578
0.124	84.575
0.125	84.573
0.126	84.570
0.127	84.568
0.128	84.566
0.129	84.563
0.130	84.561
0.131	84.559
0.132	84.556
0.133	84.554
0.134	84.552
0.135	84.550
0.136	84.547
0.137	84.545
0.138	84.543
0.139	84.541
0.140	84.538
0.141	84.536
0.142	84.534
0.143	84.532
0.144	84.530
0.145	84.527
0.146	84.525
0.147	84.523
0.148	84.521
0.149	84.519
0.150	84.517
0.151	84.515
0.152	84.513
0.153	84.510
0.154	84.508
0.155	84.506
0.156	84.504
0.157	84.502
0.158	84.500
0.159	84.498
0.160	84.496
0.161	84.494
0.162	84.492
0.163	84.490
0.164	84.488
0.165	84.486
