t(c)	V(m/s)
0.000	10.000
0.010	10.349
0.020	10.697
0.030	11.046
0.040	11.395
0.050	11.743
0.060	12.092
0.070	12.441
0.080	12.790
0.090	13.139
0.100	13.489
0.110	13.838
0.120	14.187
0.130	14.537
0.140	14.886
0.150	15.236
0.160	15.585
0.170	15.935
0.180	16.285
0.190	16.634
0.200	16.984
0.210	17.334
0.220	17.684
0.230	18.034
0.240	18.385
0.250	18.735
0.260	19.085
0.270	19.435
0.280	19.786
0.290	20.136
0.300	20.487
0.310	20.838
0.320	21.188
0.330	21.539
0.340	21.890
0.350	22.241
0.360	22.592
0.370	22.943
0.380	23.294
0.390	23.645
0.400	23.996
0.410	24.348
0.420	24.699
0.430	25.050
0.440	25.402
0.450	25.754
0.460	26.105
0.470	26.457
0.480	26.809
0.490	27.160
0.500	27.512
0.510	27.864
0.520	28.216
0.530	28.568
0.540	28.921
0.550	29.273
0.560	29.625
0.570	29.978
0.580	30.330
0.590	30.682
0.600	31.035
0.610	31.388
0.620	31.740
0.630	32.093
0.640	32.446
0.650	32.799
0.660	33.152
0.670	33.505
0.680	33.858
0.690	34.211
0.700	34.564
0.710	34.918
0.720	35.271
0.730	35.624
0.740	35.978
0.750	36.331
0.760	36.685
0.770	37.039
0.780	37.392
0.790	37.746
0.800	38.100
0.810	38.454
0.820	38.808
0.830	39.162
0.840	39.516
0.850	39.870
0.860	40.224
0.870	40.579
0.880	40.933
0.890	41.287
0.900	41.642
0.910	41.996
0.920	42.351
0.930	42.706
0.940	43.060
0.950	43.415
0.960	43.770
0.970	44.125
0.980	44.480
0.990	44.835
1.000	45.190
1.010	45.545
1.020	45.901
1.030	46.256
1.040	46.611
1.050	46.967
1.060	47.322
1.070	47.678
1.080	48.033
1.090	48.389
1.100	48.745
1.110	49.101
1.120	49.456
1.130	49.812
1.140	50.168
1.150	50.524
1.160	50.881
1.170	51.237
1.180	51.593
1.190	51.949
1.200	52.306
1.210	52.662
1.220	53.018
1.230	53.375
1.240	53.732
1.250	54.088
1.260	54.445
1.270	54.802
1.280	55.159
1.290	55.515
1.300	55.872
1.310	56.229
1.320	56.587
1.330	56.944
1.340	57.301
1.350	57.658
1.360	58.015
1.370	58.373
1.380	58.730
1.390	59.088
1.400	59.445
1.410	59.803
1.420	60.161
1.430	60.518
1.440	60.876
1.450	61.234
1.460	61.592
1.470	61.950
1.480	62.308
1.490	62.666
1.500	63.024
1.510	63.382
1.520	63.741
1.530	64.099
1.540	64.457
1.550	64.816
1.560	65.174
1.570	65.533
1.580	65.892
1.590	66.250
1.600	66.609
1.610	66.968
1.620	67.327
1.630	67.685
1.640	68.044
1.650	68.403
1.660	68.763
1.670	69.122
1.680	69.481
1.690	69.840
1.700	70.199
1.710	70.559
1.720	70.918
1.730	71.278
1.740	71.637
1.750	71.997
1.760	72.357
1.770	72.716
1.780	73.076
1.790	73.436
1.800	73.796
1.810	74.156
1.820	74.516
1.830	74.876
1.840	75.236
1.850	75.596
1.860	75.956
1.870	76.317
1.880	76.677
1.890	77.037
1.900	77.398
1.910	77.758
1.920	78.119
1.930	78.480
1.940	78.840
1.950	79.201
1.960	79.562
1.970	79.923
1.980	80.284
1.990	80.644
2.000	81.005
2.010	81.367
2.020	81.728
2.030	82.089
2.040	82.450
2.050	82.811
2.060	83.173
2.070	83.534
2.080	83.896
2.090	84.257
2.100	84.619
2.110	84.980
2.120	85.342
2.130	85.704
2.140	86.065
2.150	86.427
2.160	86.789
2.170	87.151
2.180	87.513
2.190	87.875
2.200	88.237
2.210	88.599
2.220	88.962
2.230	89.324
2.240	89.686
2.250	90.049
2.260	90.411
2.270	90.774
2.280	91.136
2.290	91.499
2.300	91.861
2.310	92.224
2.320	92.587
2.330	92.950
2.340	93.312
2.350	93.675
2.360	94.038
2.370	94.401
2.380	94.764
2.390	95.128
2.400	95.491
2.410	95.854
2.420	96.217
2.430	96.581
2.440	96.944
2.450	97.307
2.460	97.671
2.470	98.034
2.480	98.398
2.490	98.762
2.500	99.125
2.510	99.489
2.520	99.853
2.530	100.217
2.540	100.581
2.550	100.945
2.560	101.309
2.570	101.673
2.580	102.037
2.590	102.401
2.600	102.765
2.610	103.129
2.620	103.494
2.630	103.858
2.640	104.223
2.650	104.587
2.660	104.952
2.670	105.316
2.680	105.681
2.690	106.045
2.700	106.410
2.710	106.775
2.720	107.140
2.730	107.505
2.740	107.869
2.750	108.234
2.760	108.599
2.770	108.965
2.780	109.330
2.790	109.695
2.800	110.060
2.810	110.425
2.820	110.791
2.830	111.156
2.840	111.521
2.850	111.887
2.860	112.252
2.870	112.618
2.880	112.984
2.890	113.349
2.900	113.715
2.910	114.081
2.920	114.447
2.930	114.812
2.940	115.178
2.950	115.544
2.960	115.910
2.970	116.276
2.980	116.642
2.990	117.009
3.000	117.375
3.010	117.741
3.020	118.107
3.030	118.474
3.040	118.840
3.050	119.207
3.060	119.573
3.070	119.940
3.080	120.306
3.090	120.673
3.100	121.039
3.110	121.406
3.120	121.773
3.130	122.140
3.140	122.507
3.150	122.874
3.160	123.241
3.170	123.608
3.180	123.975
3.190	124.342
3.200	124.709
3.210	125.076
3.220	125.443
3.230	125.811
3.240	126.178
3.250	126.545
3.260	126.913
3.270	127.280
3.280	127.648
3.290	128.015
3.300	128.383
3.310	128.751
3.320	129.118
3.330	129.486
3.340	129.854
3.350	130.222
3.360	130.590
3.370	130.957
3.380	131.325
3.390	131.693
3.400	132.062
3.410	132.430
3.420	132.798
3.430	133.166
3.440	133.534
3.450	133.903
3.460	134.271
3.470	134.639
3.480	135.008
3.490	135.376
3.500	135.745
3.510	136.113
3.520	136.482
3.530	136.851
3.540	137.219
3.550	137.588
3.560	137.957
3.570	138.326
3.580	138.695
3.590	139.063
3.600	139.432
3.610	139.801
3.620	140.170
3.630	140.540
3.640	140.909
3.650	141.278
3.660	141.647
3.670	142.016
3.680	142.386
3.690	142.755
3.700	143.124
3.710	143.494
3.720	143.863
3.730	144.233
3.740	144.602
3.750	144.972
3.760	145.342
3.770	145.711
3.780	146.081
3.790	146.451
3.800	146.821
3.810	147.191
3.820	147.561
3.830	147.930
3.840	148.300
3.850	148.671
3.860	149.041
3.870	149.411
3.880	149.781
3.890	150.151
3.900	150.521
3.910	150.892
3.920	151.262
3.930	151.632
3.940	152.003
3.950	152.373
3.960	152.744
3.970	153.114
3.980	153.485
3.990	153.855
4.000	154.226
4.010	154.597
4.020	154.968
4.030	155.338
4.040	155.709
4.050	156.080
4.060	156.451
4.070	156.822
4.080	157.193
4.090	157.564
4.100	157.935
4.110	158.306
4.120	158.677
4.130	159.048
4.140	159.420
4.150	159.791
4.160	160.162
4.170	160.533
4.180	160.905
4.190	161.276
4.200	161.648
4.210	162.019
4.220	162.391
4.230	162.762
4.240	163.134
4.250	163.506
4.260	163.877
4.270	164.249
4.280	164.621
4.290	164.993
4.300	165.365
4.310	165.736
4.320	166.108
4.330	166.480
4.340	166.852
4.350	167.224
4.360	167.597
4.370	167.969
4.380	168.341
4.390	168.713
4.400	169.085
4.410	169.458
4.420	169.830
4.430	170.202
4.440	170.575
4.450	170.947
4.460	171.319
4.470	171.692
4.480	172.065
4.490	172.437
4.500	172.810
4.510	173.182
4.520	173.555
4.530	173.928
4.540	174.301
4.550	174.673
4.560	175.046
4.570	175.419
4.580	175.792
4.590	176.165
4.600	176.538
4.610	176.911
4.620	177.284
4.630	177.657
4.640	178.030
4.650	178.403
4.660	178.777
4.670	179.150
4.680	179.523
4.690	179.897
4.700	180.270
4.710	180.643
4.720	181.017
4.730	181.390
4.740	181.764
4.750	182.137
4.760	182.511
4.770	182.884
4.780	183.258
4.790	183.632
4.800	184.005
4.810	184.379
4.820	184.753
4.830	185.127
4.840	185.501
4.850	185.874
4.860	186.248
4.870	186.622
4.880	186.996
4.890	187.370
4.900	187.744
4.910	188.118
4.920	188.492
4.930	188.866
4.940	189.239
4.950	189.613
4.960	189.987
4.970	190.361
4.980	190.735
4.990	191.108
5.000	191.482
5.010	191.856
5.020	192.230
5.030	192.603
5.040	192.977
5.050	193.351
5.060	193.724
5.070	194.098
5.080	194.471
5.090	194.845
5.100	195.219
5.110	195.592
5.120	195.966
