t(c)	x(m)
0.000	0.00
0.100	0.11
0.200	0.25
0.300	0.44
0.400	0.66
0.500	0.93
0.600	1.23
0.700	1.57
0.800	1.95
0.900	2.37
1.000	2.83
1.100	3.33
1.200	3.87
1.300	4.44
1.400	5.06
1.500	5.72
1.600	6.41
1.700	7.15
1.800	7.93
1.900	8.74
2.000	9.60
2.100	10.49
2.200	11.43
2.300	12.40
2.400	13.42
2.500	14.47
2.600	15.57
2.700	16.71
2.800	17.88
2.900	19.10
3.000	20.35
3.100	21.65
3.200	22.99
3.300	24.36
3.400	25.78
3.500	27.24
3.600	28.74
3.700	30.27
3.800	31.85
3.900	33.47
4.000	35.13
4.100	36.83
4.200	38.57
4.300	40.35
4.400	42.18
4.500	44.04
4.600	45.94
4.700	47.88
4.800	49.87
4.900	51.89
5.000	53.96
5.100	56.06
5.200	58.21
5.300	60.40
5.400	62.62
5.500	64.89
5.600	67.20
5.700	69.55
5.800	71.93
5.900	74.36
6.000	76.83
6.100	79.34
6.200	81.88
6.300	84.47
6.400	87.10
6.500	89.76
6.600	92.47
6.700	95.21
6.800	98.00
6.900	100.82
7.000	103.68
7.100	106.58
7.200	109.52
7.300	112.50
7.400	115.51
7.500	118.56
7.600	121.65
7.700	124.78
7.800	127.94
7.900	131.14
8.000	134.38
8.100	137.66
8.200	140.97
8.300	144.31
8.400	147.69
8.500	151.11
8.600	154.56
8.700	158.05
8.800	161.57
8.900	165.12
9.000	168.71
9.100	172.33
9.200	175.98
9.300	179.67
9.400	183.39
9.500	187.14
9.600	190.93
9.700	194.74
9.800	198.59
9.900	202.47
10.000	206.38
10.100	210.33
10.200	214.30
10.300	218.31
10.400	222.35
10.500	226.41
10.600	230.51
10.700	234.65
10.800	238.81
10.900	243.00
11.000	247.23
11.100	251.49
11.200	255.77
11.300	260.09
11.400	264.44
11.500	268.82
11.600	273.23
11.700	277.67
11.800	282.14
11.900	286.65
12.000	291.18
12.100	295.74
12.200	300.34
12.300	304.96
12.400	309.62
12.500	314.30
12.600	319.02
12.700	323.76
12.800	328.54
12.900	333.34
13.000	338.18
13.100	343.04
13.200	347.94
13.300	352.86
13.400	357.82
13.500	362.80
13.600	367.82
13.700	372.86
13.800	377.93
13.900	383.03
14.000	388.16
14.100	393.32
14.200	398.51
14.300	403.73
14.400	408.98
14.500	414.26
14.600	419.57
14.700	424.91
14.800	430.27
14.900	435.67
15.000	441.10
15.100	446.55
15.200	452.03
15.300	457.55
15.400	463.09
15.500	468.66
15.600	474.27
15.700	479.90
15.800	485.56
15.900	491.25
16.000	496.97
16.100	502.72
16.200	508.50
16.300	514.30
16.400	520.14
16.500	526.01
16.600	531.91
16.700	537.83
16.800	543.79
16.900	549.78
17.000	555.79
17.100	561.84
17.200	567.92
17.300	574.02
17.400	580.16
17.500	586.33
17.600	592.52
17.700	598.75
17.800	605.01
17.900	611.30
18.000	617.61
18.100	623.96
18.200	630.34
18.300	636.75
18.400	643.19
18.500	649.67
18.600	656.17
18.700	662.70
18.800	669.27
18.900	675.87
19.000	682.49
19.100	689.15
19.200	695.84
19.300	702.57
19.400	709.32
19.500	716.11
19.600	722.93
19.700	729.77
19.800	736.66
19.900	743.57
20.000	750.52
20.100	757.50
20.200	764.51
20.300	771.55
20.400	778.63
20.500	785.74
20.600	792.88
20.700	800.05
20.800	807.26
20.900	814.50
21.000	821.78
21.100	829.09
21.200	836.43
21.300	843.80
21.400	851.21
21.500	858.66
21.600	866.14
21.700	873.65
21.800	881.20
21.900	888.78
22.000	896.40
22.100	904.05
22.200	911.73
22.300	919.46
22.400	927.22
22.500	935.01
22.600	942.84
22.700	950.70
22.800	958.61
22.900	966.54
23.000	974.52
23.100	982.53
23.200	990.58
23.300	998.67
23.400	1006.79
23.500	1014.95
23.600	1023.15
23.700	1031.39
23.800	1039.66
23.900	1047.97
24.000	1056.32
24.100	1064.71
24.200	1073.14
24.300	1081.61
24.400	1090.11
24.500	1098.66
24.600	1107.24
24.700	1115.86
24.800	1124.53
24.900	1133.23
25.000	1141.97
25.100	1150.76
25.200	1159.58
25.300	1168.44
25.400	1177.35
25.500	1186.29
25.600	1195.28
25.700	1204.31
25.800	1213.38
25.900	1222.49
26.000	1231.65
26.100	1240.85
26.200	1250.09
26.300	1259.37
26.400	1268.70
26.500	1278.07
26.600	1287.48
26.700	1296.94
26.800	1306.44
26.900	1315.99
27.000	1325.59
27.100	1335.23
27.200	1344.91
27.300	1354.64
27.400	1364.42
27.500	1374.24
27.600	1384.11
27.700	1394.03
27.800	1403.99
27.900	1414.01
28.000	1424.07
28.100	1434.18
28.200	1444.33
28.300	1454.54
28.400	1464.80
28.500	1475.10
28.600	1485.46
28.700	1495.86
28.800	1506.32
28.900	1516.83
29.000	1527.38
29.100	1537.99
29.200	1548.65
29.300	1559.37
29.400	1570.13
29.500	1580.95
29.600	1591.82
29.700	1602.74
29.800	1613.72
29.900	1624.75
30.000	1635.84
