t(c)	y(m)
0.000	0.00
0.010	0.10
0.020	0.20
0.030	0.31
0.040	0.42
0.050	0.53
0.060	0.65
0.070	0.77
0.080	0.89
0.090	1.02
0.100	1.15
0.110	1.29
0.120	1.42
0.130	1.57
0.140	1.71
0.150	1.86
0.160	2.01
0.170	2.16
0.180	2.32
0.190	2.49
0.200	2.65
0.210	2.82
0.220	2.99
0.230	3.17
0.240	3.35
0.250	3.53
0.260	3.72
0.270	3.91
0.280	4.10
0.290	4.30
0.300	4.50
0.310	4.70
0.320	4.91
0.330	5.12
0.340	5.33
0.350	5.55
0.360	5.77
0.370	6.00
0.380	6.22
0.390	6.46
0.400	6.69
0.410	6.93
0.420	7.17
0.430	7.42
0.440	7.67
0.450	7.92
0.460	8.17
0.470	8.43
0.480	8.70
0.490	8.96
0.500	9.23
0.510	9.51
0.520	9.78
0.530	10.06
0.540	10.35
0.550	10.63
0.560	10.92
0.570	11.22
0.580	11.52
0.590	11.82
0.600	12.12
0.610	12.43
0.620	12.74
0.630	13.06
0.640	13.38
0.650	13.70
0.660	14.02
0.670	14.35
0.680	14.68
0.690	15.02
0.700	15.36
0.710	15.70
0.720	16.05
0.730	16.40
0.740	16.75
0.750	17.11
0.760	17.47
0.770	17.84
0.780	18.20
0.790	18.57
0.800	18.95
0.810	19.33
0.820	19.71
0.830	20.09
0.840	20.48
0.850	20.87
0.860	21.27
0.870	21.67
0.880	22.07
0.890	22.48
0.900	22.89
0.910	23.30
0.920	23.72
0.930	24.14
0.940	24.56
0.950	24.99
0.960	25.42
0.970	25.85
0.980	26.29
0.990	26.73
1.000	27.17
1.010	27.62
1.020	28.07
1.030	28.53
1.040	28.99
1.050	29.45
1.060	29.91
1.070	30.38
1.080	30.86
1.090	31.33
1.100	31.81
1.110	32.30
1.120	32.78
1.130	33.27
1.140	33.77
1.150	34.26
1.160	34.76
1.170	35.27
1.180	35.78
1.190	36.29
1.200	36.80
1.210	37.32
1.220	37.84
1.230	38.37
1.240	38.90
1.250	39.43
1.260	39.96
1.270	40.50
1.280	41.05
1.290	41.59
1.300	42.14
1.310	42.70
1.320	43.25
1.330	43.81
1.340	44.38
1.350	44.94
1.360	45.52
1.370	46.09
1.380	46.67
1.390	47.25
1.400	47.84
1.410	48.42
1.420	49.02
1.430	49.61
1.440	50.21
1.450	50.81
1.460	51.42
1.470	52.03
1.480	52.64
1.490	53.26
1.500	53.88
1.510	54.50
1.520	55.13
1.530	55.76
1.540	56.40
1.550	57.04
1.560	57.68
1.570	58.32
1.580	58.97
1.590	59.62
1.600	60.28
1.610	60.94
1.620	61.60
1.630	62.27
1.640	62.94
1.650	63.61
1.660	64.29
1.670	64.97
1.680	65.65
1.690	66.34
1.700	67.03
1.710	67.72
1.720	68.42
1.730	69.12
1.740	69.83
1.750	70.54
1.760	71.25
1.770	71.97
1.780	72.69
1.790	73.41
1.800	74.13
1.810	74.86
1.820	75.60
1.830	76.34
1.840	77.08
1.850	77.82
1.860	78.57
1.870	79.32
1.880	80.07
1.890	80.83
1.900	81.59
1.910	82.36
1.920	83.13
1.930	83.90
1.940	84.68
1.950	85.46
1.960	86.24
1.970	87.03
1.980	87.82
1.990	88.61
2.000	89.41
2.010	90.21
2.020	91.01
2.030	91.82
2.040	92.63
2.050	93.45
2.060	94.27
2.070	95.09
2.080	95.91
2.090	96.74
2.100	97.58
2.110	98.41
2.120	99.25
2.130	100.10
2.140	100.94
2.150	101.79
2.160	102.65
2.170	103.50
2.180	104.37
2.190	105.23
2.200	106.10
2.210	106.97
2.220	107.85
2.230	108.73
2.240	109.61
2.250	110.49
2.260	111.38
2.270	112.28
2.280	113.17
2.290	114.07
2.300	114.98
2.310	115.89
2.320	116.80
2.330	117.71
2.340	118.63
2.350	119.55
2.360	120.48
2.370	121.41
2.380	122.34
2.390	123.27
2.400	124.21
2.410	125.16
2.420	126.10
2.430	127.05
2.440	128.01
2.450	128.97
2.460	129.93
2.470	130.89
2.480	131.86
2.490	132.83
2.500	133.81
2.510	134.79
2.520	135.77
2.530	136.75
2.540	137.74
2.550	138.74
2.560	139.73
2.570	140.73
2.580	141.74
2.590	142.74
2.600	143.76
2.610	144.77
2.620	145.79
2.630	146.81
2.640	147.84
2.650	148.86
2.660	149.90
2.670	150.93
2.680	151.97
2.690	153.02
2.700	154.06
2.710	155.11
2.720	156.17
2.730	157.22
2.740	158.28
2.750	159.35
2.760	160.42
2.770	161.49
2.780	162.56
2.790	163.64
2.800	164.73
2.810	165.81
2.820	166.90
2.830	168.00
2.840	169.09
2.850	170.19
2.860	171.30
2.870	172.40
2.880	173.52
2.890	174.63
2.900	175.75
2.910	176.87
2.920	178.00
2.930	179.12
2.940	180.26
2.950	181.39
2.960	182.53
2.970	183.68
2.980	184.82
2.990	185.97
3.000	187.13
3.010	188.29
3.020	189.45
3.030	190.61
3.040	191.78
3.050	192.95
3.060	194.13
3.070	195.31
3.080	196.49
3.090	197.68
3.100	198.87
3.110	200.06
3.120	201.26
3.130	202.46
3.140	203.66
3.150	204.87
3.160	206.08
3.170	207.30
3.180	208.52
3.190	209.74
3.200	210.97
3.210	212.20
3.220	213.43
3.230	214.67
3.240	215.91
3.250	217.15
3.260	218.40
3.270	219.65
3.280	220.90
3.290	222.16
3.300	223.42
3.310	224.69
3.320	225.96
3.330	227.23
3.340	228.51
3.350	229.79
3.360	231.07
3.370	232.36
3.380	233.65
3.390	234.94
3.400	236.24
3.410	237.54
3.420	238.85
3.430	240.16
3.440	241.47
3.450	242.79
3.460	244.11
3.470	245.43
3.480	246.76
3.490	248.09
3.500	249.42
3.510	250.76
3.520	252.10
3.530	253.44
3.540	254.79
3.550	256.15
3.560	257.50
3.570	258.86
3.580	260.22
3.590	261.59
3.600	262.96
3.610	264.33
3.620	265.71
3.630	267.09
3.640	268.48
3.650	269.86
3.660	271.26
3.670	272.65
3.680	274.05
3.690	275.45
3.700	276.86
3.710	278.27
3.720	279.68
3.730	281.10
3.740	282.52
3.750	283.94
3.760	285.37
3.770	286.80
3.780	288.24
3.790	289.68
3.800	291.12
3.810	292.57
3.820	294.02
3.830	295.47
3.840	296.93
3.850	298.39
3.860	299.85
3.870	301.32
3.880	302.79
3.890	304.26
3.900	305.74
3.910	307.22
3.920	308.71
3.930	310.20
3.940	311.69
3.950	313.19
3.960	314.69
3.970	316.19
3.980	317.70
3.990	319.21
4.000	320.73
4.010	322.24
4.020	323.77
4.030	325.29
4.040	326.82
4.050	328.35
4.060	329.89
4.070	331.43
4.080	332.97
4.090	334.52
4.100	336.07
4.110	337.63
4.120	339.18
4.130	340.75
4.140	342.31
4.150	343.88
4.160	345.45
4.170	347.03
4.180	348.61
4.190	350.19
4.200	351.78
4.210	353.37
4.220	354.97
4.230	356.56
4.240	358.16
4.250	359.77
4.260	361.38
4.270	362.99
4.280	364.61
4.290	366.23
4.300	367.85
4.310	369.48
4.320	371.11
4.330	372.74
4.340	374.38
4.350	376.02
4.360	377.67
4.370	379.32
4.380	380.97
4.390	382.63
4.400	384.29
4.410	385.95
4.420	387.62
4.430	389.29
4.440	390.96
4.450	392.64
4.460	394.32
4.470	396.01
4.480	397.69
4.490	399.39
4.500	401.08
4.510	402.78
4.520	404.49
4.530	406.19
4.540	407.90
4.550	409.62
4.560	411.34
4.570	413.06
4.580	414.78
4.590	416.51
4.600	418.24
4.610	419.98
4.620	421.72
4.630	423.46
4.640	425.21
4.650	426.96
4.660	428.71
4.670	430.47
4.680	432.23
4.690	434.00
4.700	435.77
4.710	437.54
4.720	439.32
4.730	441.10
4.740	442.88
4.750	444.67
4.760	446.46
4.770	448.25
4.780	450.05
4.790	451.85
4.800	453.66
4.810	455.47
4.820	457.28
4.830	459.09
4.840	460.91
4.850	462.74
4.860	464.56
4.870	466.40
4.880	468.23
4.890	470.07
4.900	471.91
4.910	473.75
4.920	475.60
4.930	477.46
4.940	479.31
4.950	481.17
4.960	483.04
4.970	484.90
4.980	486.77
4.990	488.65
5.000	490.53
5.010	492.41
5.020	494.29
5.030	496.18
5.040	498.08
5.050	499.97
5.060	501.87
5.070	503.78
5.080	505.68
5.090	507.59
5.100	509.51
5.110	511.43
5.120	513.35
5.130	515.27
5.140	517.20
5.150	519.14
5.160	521.07
5.170	523.01
5.180	524.96
5.190	526.90
5.200	528.85
5.210	530.81
5.220	532.77
5.230	534.73
5.240	536.69
5.250	538.66
5.260	540.64
5.270	542.61
5.280	544.59
5.290	546.57
5.300	548.56
5.310	550.55
5.320	552.55
5.330	554.55
5.340	556.55
5.350	558.55
5.360	560.56
5.370	562.57
5.380	564.59
5.390	566.61
5.400	568.63
5.410	570.66
5.420	572.69
5.430	574.73
5.440	576.76
5.450	578.81
5.460	580.85
5.470	582.90
5.480	584.95
5.490	587.01
5.500	589.07
5.510	591.13
5.520	593.20
5.530	595.27
5.540	597.34
5.550	599.42
5.560	601.50
5.570	603.59
5.580	605.68
5.590	607.77
5.600	609.87
5.610	611.97
5.620	614.07
5.630	616.18
5.640	618.29
5.650	620.40
5.660	622.52
5.670	624.64
5.680	626.76
5.690	628.89
5.700	631.02
5.710	633.16
5.720	635.30
5.730	637.44
5.740	639.59
5.750	641.74
5.760	643.89
5.770	646.05
5.780	648.21
5.790	650.38
5.800	652.54
5.810	654.72
5.820	656.89
5.830	659.07
5.840	661.25
5.850	663.44
5.860	665.63
5.870	667.82
5.880	670.02
5.890	672.22
5.900	674.42
5.910	676.63
5.920	678.84
5.930	681.06
5.940	683.28
5.950	685.50
5.960	687.73
5.970	689.96
5.980	692.19
5.990	694.43
6.000	696.67
6.010	698.91
6.020	701.16
6.030	703.41
6.040	705.66
6.050	707.92
6.060	710.18
6.070	712.45
6.080	714.72
6.090	716.99
6.100	719.27
6.110	721.55
6.120	723.83
6.130	726.12
6.140	728.41
6.150	730.70
6.160	733.00
6.170	735.30
6.180	737.60
6.190	739.91
6.200	742.22
6.210	744.54
6.220	746.86
6.230	749.18
6.240	751.51
6.250	753.84
6.260	756.17
6.270	758.51
6.280	760.85
6.290	763.19
6.300	765.54
6.310	767.89
6.320	770.25
6.330	772.60
6.340	774.97
6.350	777.33
6.360	779.70
6.370	782.07
6.380	784.45
6.390	786.83
6.400	789.21
6.410	791.60
6.420	793.99
6.430	796.38
6.440	798.78
6.450	801.18
6.460	803.59
6.470	806.00
6.480	808.41
6.490	810.82
6.500	813.24
6.510	815.66
6.520	818.09
6.530	820.52
6.540	822.95
6.550	825.39
6.560	827.83
6.570	830.27
6.580	832.72
6.590	835.17
6.600	837.63
6.610	840.08
6.620	842.55
6.630	845.01
6.640	847.48
6.650	849.95
6.660	852.43
6.670	854.91
6.680	857.39
6.690	859.87
6.700	862.36
6.710	864.86
6.720	867.35
6.730	869.86
6.740	872.36
6.750	874.87
6.760	877.38
6.770	879.89
6.780	882.41
6.790	884.93
6.800	887.46
6.810	889.98
6.820	892.52
6.830	895.05
6.840	897.59
6.850	900.13
6.860	902.68
6.870	905.23
6.880	907.78
6.890	910.34
6.900	912.90
6.910	915.46
6.920	918.03
6.930	920.60
6.940	923.18
6.950	925.75
6.960	928.33
6.970	930.92
6.980	933.51
6.990	936.10
7.000	938.69
7.010	941.29
7.020	943.89
7.030	946.50
7.040	949.11
7.050	951.72
7.060	954.34
7.070	956.96
7.080	959.58
7.090	962.21
7.100	964.84
7.110	967.47
7.120	970.11
7.130	972.75
7.140	975.39
7.150	978.04
7.160	980.69
7.170	983.35
7.180	986.00
7.190	988.66
7.200	991.33
7.210	994.00
7.220	996.67
7.230	999.34
7.240	1002.02
7.250	1004.71
7.260	1007.39
7.270	1010.08
7.280	1012.77
7.290	1015.47
7.300	1018.17
7.310	1020.87
7.320	1023.58
7.330	1026.29
7.340	1029.00
7.350	1031.72
7.360	1034.44
7.370	1037.16
7.380	1039.89
7.390	1042.62
7.400	1045.35
7.410	1048.09
7.420	1050.83
7.430	1053.57
7.440	1056.32
7.450	1059.07
7.460	1061.83
7.470	1064.58
7.480	1067.35
7.490	1070.11
7.500	1072.88
7.510	1075.65
7.520	1078.42
7.530	1081.20
7.540	1083.98
7.550	1086.77
7.560	1089.56
7.570	1092.35
7.580	1095.15
7.590	1097.94
7.600	1100.75
7.610	1103.55
7.620	1106.36
7.630	1109.17
7.640	1111.99
7.650	1114.81
7.660	1117.63
7.670	1120.46
7.680	1123.28
7.690	1126.12
7.700	1128.95
7.710	1131.79
7.720	1134.63
7.730	1137.48
7.740	1140.33
7.750	1143.18
7.760	1146.04
7.770	1148.90
7.780	1151.76
7.790	1154.63
7.800	1157.50
7.810	1160.37
7.820	1163.24
7.830	1166.12
7.840	1169.01
7.850	1171.89
7.860	1174.78
7.870	1177.68
7.880	1180.57
7.890	1183.47
7.900	1186.37
7.910	1189.28
7.920	1192.19
7.930	1195.10
7.940	1198.02
7.950	1200.94
7.960	1203.86
7.970	1206.79
7.980	1209.72
7.990	1212.65
8.000	1215.58
8.010	1218.52
8.020	1221.47
8.030	1224.41
8.040	1227.36
8.050	1230.31
8.060	1233.27
8.070	1236.23
8.080	1239.19
8.090	1242.16
8.100	1245.13
8.110	1248.10
8.120	1251.07
8.130	1254.05
8.140	1257.03
8.150	1260.02
8.160	1263.01
8.170	1266.00
8.180	1269.00
8.190	1271.99
8.200	1275.00
8.210	1278.00
8.220	1281.01
8.230	1284.02
8.240	1287.03
8.250	1290.05
8.260	1293.07
8.270	1296.10
8.280	1299.13
8.290	1302.16
8.300	1305.19
8.310	1308.23
8.320	1311.27
8.330	1314.31
8.340	1317.36
8.350	1320.41
8.360	1323.46
8.370	1326.52
8.380	1329.58
8.390	1332.64
8.400	1335.71
8.410	1338.78
8.420	1341.85
8.430	1344.93
8.440	1348.01
8.450	1351.09
8.460	1354.17
8.470	1357.26
8.480	1360.35
8.490	1363.45
8.500	1366.55
8.510	1369.65
8.520	1372.75
8.530	1375.86
8.540	1378.97
8.550	1382.09
8.560	1385.20
8.570	1388.33
8.580	1391.45
8.590	1394.58
8.600	1397.71
8.610	1400.84
8.620	1403.98
8.630	1407.11
8.640	1410.26
8.650	1413.40
8.660	1416.55
8.670	1419.70
8.680	1422.86
8.690	1426.02
8.700	1429.18
8.710	1432.34
8.720	1435.51
8.730	1438.68
8.740	1441.86
8.750	1445.03
8.760	1448.22
8.770	1451.40
8.780	1454.59
8.790	1457.78
8.800	1460.97
8.810	1464.16
8.820	1467.36
8.830	1470.56
8.840	1473.77
8.850	1476.98
8.860	1480.19
8.870	1483.40
8.880	1486.62
8.890	1489.84
8.900	1493.07
8.910	1496.29
8.920	1499.52
8.930	1502.76
8.940	1505.99
8.950	1509.23
8.960	1512.47
8.970	1515.72
8.980	1518.97
8.990	1522.22
9.000	1525.47
9.010	1528.73
9.020	1531.99
9.030	1535.26
9.040	1538.52
9.050	1541.79
9.060	1545.07
9.070	1548.34
9.080	1551.62
9.090	1554.90
9.100	1558.19
9.110	1561.48
9.120	1564.77
9.130	1568.06
9.140	1571.36
9.150	1574.66
9.160	1577.96
9.170	1581.27
9.180	1584.58
9.190	1587.89
9.200	1591.21
9.210	1594.52
9.220	1597.85
9.230	1601.17
9.240	1604.50
9.250	1607.83
9.260	1611.16
9.270	1614.50
9.280	1617.84
9.290	1621.18
9.300	1624.53
9.310	1627.88
9.320	1631.23
9.330	1634.58
9.340	1637.94
9.350	1641.30
9.360	1644.66
9.370	1648.03
9.380	1651.40
9.390	1654.77
9.400	1658.15
9.410	1661.53
9.420	1664.91
9.430	1668.29
9.440	1671.68
9.450	1675.07
9.460	1678.47
9.470	1681.86
9.480	1685.26
9.490	1688.67
9.500	1692.07
9.510	1695.48
9.520	1698.89
9.530	1702.31
9.540	1705.72
9.550	1709.14
9.560	1712.57
9.570	1716.00
9.580	1719.42
9.590	1722.86
9.600	1726.29
9.610	1729.73
9.620	1733.17
9.630	1736.62
9.640	1740.06
9.650	1743.52
9.660	1746.97
9.670	1750.42
9.680	1753.88
9.690	1757.35
9.700	1760.81
9.710	1764.28
9.720	1767.75
9.730	1771.23
9.740	1774.70
9.750	1778.18
9.760	1781.67
9.770	1785.15
9.780	1788.64
9.790	1792.13
9.800	1795.63
9.810	1799.12
9.820	1802.62
9.830	1806.13
9.840	1809.64
9.850	1813.14
9.860	1816.66
9.870	1820.17
9.880	1823.69
9.890	1827.21
9.900	1830.74
9.910	1834.26
9.920	1837.79
9.930	1841.33
9.940	1844.86
9.950	1848.40
9.960	1851.94
9.970	1855.49
9.980	1859.03
9.990	1862.59
10.000	1866.14
10.010	1869.70
10.020	1873.25
10.030	1876.82
10.040	1880.38
10.050	1883.95
10.060	1887.52
10.070	1891.09
10.080	1894.67
10.090	1898.25
10.100	1901.83
10.110	1905.42
10.120	1909.01
10.130	1912.60
10.140	1916.19
10.150	1919.79
10.160	1923.39
10.170	1926.99
10.180	1930.60
10.190	1934.21
10.200	1937.82
10.210	1941.44
10.220	1945.05
10.230	1948.67
10.240	1952.30
10.250	1955.92
10.260	1959.55
10.270	1963.18
10.280	1966.82
10.290	1970.46
10.300	1974.10
10.310	1977.74
10.320	1981.39
10.330	1985.04
10.340	1988.69
10.350	1992.35
10.360	1996.00
10.370	1999.67
10.380	2003.33
10.390	2007.00
10.400	2010.67
10.410	2014.34
10.420	2018.01
10.430	2021.69
10.440	2025.37
10.450	2029.06
10.460	2032.75
10.470	2036.44
10.480	2040.13
10.490	2043.83
10.500	2047.52
10.510	2051.23
10.520	2054.93
10.530	2058.64
10.540	2062.35
10.550	2066.06
10.560	2069.78
10.570	2073.50
10.580	2077.22
10.590	2080.94
10.600	2084.67
10.610	2088.40
10.620	2092.14
10.630	2095.87
10.640	2099.61
10.650	2103.36
10.660	2107.10
10.670	2110.85
10.680	2114.60
10.690	2118.35
10.700	2122.11
10.710	2125.87
10.720	2129.63
10.730	2133.40
10.740	2137.17
10.750	2140.94
10.760	2144.71
10.770	2148.49
10.780	2152.27
10.790	2156.05
10.800	2159.84
10.810	2163.63
10.820	2167.42
10.830	2171.21
10.840	2175.01
10.850	2178.81
10.860	2182.61
10.870	2186.42
10.880	2190.23
10.890	2194.04
10.900	2197.85
10.910	2201.67
10.920	2205.49
10.930	2209.31
10.940	2213.14
10.950	2216.97
10.960	2220.80
10.970	2224.64
10.980	2228.47
10.990	2232.31
11.000	2236.16
11.010	2240.00
11.020	2243.85
11.030	2247.70
11.040	2251.56
11.050	2255.42
11.060	2259.28
11.070	2263.14
11.080	2267.01
11.090	2270.88
11.100	2274.75
11.110	2278.63
11.120	2282.50
11.130	2286.38
11.140	2290.27
11.150	2294.15
11.160	2298.04
11.170	2301.94
11.180	2305.83
11.190	2309.73
11.200	2313.63
11.210	2317.54
11.220	2321.44
11.230	2325.35
11.240	2329.26
11.250	2333.18
11.260	2337.10
11.270	2341.02
11.280	2344.94
11.290	2348.87
11.300	2352.80
11.310	2356.73
11.320	2360.67
11.330	2364.61
11.340	2368.55
11.350	2372.49
11.360	2376.44
11.370	2380.39
11.380	2384.34
11.390	2388.30
11.400	2392.26
11.410	2396.22
11.420	2400.18
11.430	2404.15
11.440	2408.12
11.450	2412.09
11.460	2416.07
11.470	2420.05
11.480	2424.03
11.490	2428.01
11.500	2432.00
11.510	2435.99
11.520	2439.98
11.530	2443.98
11.540	2447.98
11.550	2451.98
11.560	2455.98
11.570	2459.99
11.580	2464.00
11.590	2468.01
11.600	2472.03
11.610	2476.05
11.620	2480.07
11.630	2484.09
11.640	2488.12
11.650	2492.15
11.660	2496.18
11.670	2500.22
11.680	2504.26
11.690	2508.30
11.700	2512.35
11.710	2516.39
11.720	2520.44
11.730	2524.50
11.740	2528.55
11.750	2532.61
11.760	2536.67
11.770	2540.74
11.780	2544.80
11.790	2548.87
11.800	2552.95
11.810	2557.02
11.820	2561.10
11.830	2565.18
11.840	2569.27
11.850	2573.36
11.860	2577.45
11.870	2581.54
11.880	2585.63
11.890	2589.73
11.900	2593.84
11.910	2597.94
11.920	2602.05
