x(m)	y(m)
52.39	318.45
52.68	319.97
52.96	321.48
53.24	323.00
53.53	324.53
53.82	326.06
54.10	327.59
54.39	329.12
54.68	330.66
54.97	332.20
55.26	333.75
55.55	335.30
55.85	336.85
56.14	338.41
56.43	339.97
56.73	341.53
57.02	343.10
57.32	344.67
57.62	346.24
57.92	347.82
58.22	349.40
58.52	350.99
58.82	352.58
59.12	354.17
59.42	355.77
59.73	357.37
60.03	358.97
60.34	360.58
60.64	362.19
60.95	363.81
61.26	365.42
61.57	367.05
61.88	368.67
62.19	370.30
62.50	371.93
62.81	373.57
63.12	375.21
63.44	376.85
63.75	378.50
64.07	380.15
64.39	381.81
64.70	383.47
65.02	385.13
65.34	386.79
65.66	388.46
65.98	390.13
66.31	391.81
66.63	393.49
66.95	395.17
67.28	396.86
67.60	398.55
67.93	400.25
68.26	401.95
68.59	403.65
68.92	405.35
69.25	407.06
69.58	408.77
69.91	410.49
70.24	412.21
70.58	413.93
70.91	415.66
71.25	417.39
71.58	419.13
71.92	420.87
72.26	422.61
72.60	424.35
72.94	426.10
73.28	427.85
73.62	429.61
73.96	431.37
74.31	433.13
74.65	434.90
75.00	436.67
75.34	438.45
75.69	440.23
76.04	442.01
76.39	443.79
76.74	445.58
77.09	447.38
77.44	449.17
77.79	450.97
78.15	452.78
78.50	454.58
78.86	456.39
79.21	458.21
79.57	460.03
79.93	461.85
80.29	463.68
80.65	465.50
81.01	467.34
81.37	469.17
81.73	471.01
82.10	472.86
82.46	474.71
82.83	476.56
83.19	478.41
83.56	480.27
83.93	482.13
84.30	484.00
84.67	485.87
85.04	487.74
85.41	489.62
85.78	491.50
86.16	493.38
86.53	495.27
86.91	497.16
87.28	499.05
87.66	500.95
88.04	502.85
88.42	504.76
88.80	506.67
89.18	508.58
89.56	510.50
89.94	512.42
90.33	514.34
90.71	516.27
91.10	518.20
91.48	520.14
91.87	522.08
92.26	524.02
92.65	525.96
93.04	527.91
93.43	529.87
93.82	531.82
94.22	533.78
94.61	535.75
95.00	537.72
95.40	539.69
95.80	541.66
96.19	543.64
96.59	545.62
96.99	547.61
97.39	549.60
97.79	551.59
98.20	553.59
98.60	555.59
99.00	557.59
99.41	559.60
99.81	561.61
100.22	563.62
100.63	565.64
101.04	567.66
101.45	569.69
101.86	571.72
102.27	573.75
102.68	575.79
103.10	577.83
103.51	579.87
103.93	581.92
104.34	583.97
104.76	586.03
105.18	588.09
105.60	590.15
106.02	592.21
106.44	594.28
106.86	596.35
107.28	598.43
107.71	600.51
108.13	602.59
108.56	604.68
108.98	606.77
109.41	608.87
109.84	610.97
110.27	613.07
110.70	615.17
111.13	617.28
111.56	619.39
111.99	621.51
112.43	623.63
112.86	625.75
113.30	627.88
113.74	630.01
114.17	632.15
114.61	634.28
115.05	636.43
115.49	638.57
115.94	640.72
116.38	642.87
116.82	645.03
117.27	647.19
117.71	649.35
118.16	651.52
118.60	653.69
119.05	655.86
119.50	658.04
119.95	660.22
120.40	662.41
120.86	664.59
121.31	666.79
121.76	668.98
122.22	671.18
122.67	673.38
123.13	675.59
123.59	677.80
124.05	680.01
124.51	682.23
124.97	684.45
125.43	686.68
125.89	688.90
126.35	691.14
126.82	693.37
127.28	695.61
127.75	697.85
128.22	700.10
128.68	702.35
129.15	704.60
129.62	706.86
130.09	709.12
130.57	711.38
131.04	713.65
131.51	715.92
131.99	718.20
132.46	720.47
132.94	722.76
133.42	725.04
133.90	727.33
134.38	729.62
134.86	731.92
135.34	734.22
135.82	736.52
136.30	738.83
136.79	741.14
137.27	743.45
137.76	745.77
138.25	748.09
138.74	750.42
139.22	752.75
139.71	755.08
140.21	757.41
140.70	759.75
141.19	762.10
141.68	764.44
142.18	766.79
142.68	769.15
143.17	771.50
143.67	773.86
144.17	776.23
144.67	778.60
145.17	780.97
145.67	783.34
146.17	785.72
146.68	788.10
147.18	790.49
147.69	792.88
148.19	795.27
148.70	797.67
149.21	800.07
149.72	802.47
150.23	804.88
150.74	807.29
151.25	809.70
151.76	812.12
152.28	814.54
152.79	816.96
153.31	819.39
153.83	821.82
154.34	824.26
154.86	826.70
155.38	829.14
155.90	831.59
156.43	834.03
156.95	836.49
157.47	838.94
158.00	841.40
158.52	843.87
159.05	846.34
159.58	848.81
160.11	851.28
160.63	853.76
161.17	856.24
161.70	858.72
162.23	861.21
162.76	863.70
163.30	866.20
163.83	868.70
164.37	871.20
164.91	873.71
165.44	876.22
165.98	878.73
166.52	881.25
167.06	883.77
167.61	886.29
168.15	888.82
168.69	891.35
169.24	893.88
169.78	896.42
170.33	898.96
170.88	901.51
171.43	904.05
171.98	906.61
172.53	909.16
173.08	911.72
173.63	914.28
174.19	916.85
174.74	919.42
175.30	921.99
175.85	924.57
176.41	927.15
176.97	929.73
177.53	932.32
178.09	934.91
178.65	937.50
179.21	940.10
179.78	942.70
180.34	945.30
180.91	947.91
181.47	950.52
182.04	953.14
182.61	955.76
183.18	958.38
183.75	961.00
184.32	963.63
184.89	966.26
185.46	968.90
186.04	971.54
186.61	974.18
187.19	976.83
187.77	979.48
188.34	982.13
188.92	984.79
189.50	987.45
190.08	990.11
190.66	992.78
191.25	995.45
191.83	998.12
192.42	1000.80
193.00	1003.48
193.59	1006.16
194.18	1008.85
194.76	1011.54
195.35	1014.24
195.94	1016.94
196.54	1019.64
197.13	1022.34
197.72	1025.05
198.32	1027.76
198.91	1030.48
199.51	1033.20
200.11	1035.92
200.70	1038.64
201.30	1041.37
201.90	1044.11
202.50	1046.84
203.11	1049.58
203.71	1052.32
204.31	1055.07
204.92	1057.82
205.52	1060.57
206.13	1063.33
206.74	1066.09
207.35	1068.85
207.96	1071.62
208.57	1074.39
209.18	1077.16
209.79	1079.94
210.41	1082.72
211.02	1085.50
211.64	1088.29
212.25	1091.08
212.87	1093.88
213.49	1096.67
214.11	1099.47
214.73	1102.28
215.35	1105.09
215.98	1107.90
216.60	1110.71
217.22	1113.53
217.85	1116.35
218.47	1119.17
219.10	1122.00
219.73	1124.83
220.36	1127.67
220.99	1130.51
221.62	1133.35
222.25	1136.19
222.89	1139.04
223.52	1141.89
224.16	1144.75
224.79	1147.60
225.43	1150.47
226.07	1153.33
226.71	1156.20
227.35	1159.07
227.99	1161.95
228.63	1164.82
229.27	1167.71
229.91	1170.59
230.56	1173.48
231.20	1176.37
231.85	1179.26
232.50	1182.16
233.15	1185.06
233.80	1187.97
234.45	1190.88
235.10	1193.79
235.75	1196.70
236.40	1199.62
237.06	1202.54
237.71	1205.47
238.37	1208.40
239.03	1211.33
239.69	1214.26
240.34	1217.20
241.00	1220.14
241.67	1223.09
242.33	1226.03
242.99	1228.99
243.65	1231.94
244.32	1234.90
244.99	1237.86
245.65	1240.82
246.32	1243.79
246.99	1246.76
247.66	1249.74
248.33	1252.71
249.00	1255.70
249.67	1258.68
250.35	1261.67
251.02	1264.66
251.70	1267.65
252.37	1270.65
