N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)
261	26.000	735.00	56000.0	898.809	3.0461	0.5221	0.00	72.47	0.2500	0.0000	85.00	11320.86	3095.53	9.7718
262	26.100	733.00	56000.0	903.217	3.0610	0.5212	0.00	72.45	0.2500	0.0000	85.00	11406.77	3122.68	9.7715
263	26.200	731.00	56000.0	907.652	3.0761	0.5202	0.00	72.43	0.2500	0.0000	85.00	11493.10	3149.99	9.7713
264	26.300	729.00	56000.0	912.114	3.0912	0.5193	0.00	72.42	0.2500	0.0000	85.00	11579.84	3177.46	9.7710
265	26.400	727.00	56000.0	916.604	3.1064	0.5183	0.00	72.40	0.2500	0.0000	85.00	11667.00	3205.10	9.7708
266	26.500	725.00	56000.0	921.122	3.1217	0.5174	0.00	72.38	0.2500	0.0000	85.00	11754.58	3232.90	9.7705
267	26.600	723.00	56000.0	925.669	3.1371	0.5164	0.00	72.36	0.2500	0.0000	85.00	11842.58	3260.87	9.7702
268	26.700	721.00	56000.0	930.244	3.1526	0.5155	0.00	72.34	0.2500	0.0000	85.00	11931.01	3289.00	9.7699
269	26.800	719.00	56000.0	934.848	3.1682	0.5145	0.00	72.32	0.2500	0.0000	85.00	12019.86	3317.30	9.7697
270	26.900	717.00	56000.0	939.481	3.1839	0.5135	0.00	72.31	0.2500	0.0000	85.00	12109.15	3345.77	9.7694
271	27.000	715.00	56000.0	944.143	3.1997	0.5125	0.00	72.29	0.2500	0.0000	85.00	12198.87	3374.41	9.7691
272	27.100	713.00	56000.0	948.835	3.2156	0.5115	0.00	72.27	0.2500	0.0000	85.00	12289.03	3403.22	9.7688
273	27.200	711.00	56000.0	953.556	3.2316	0.5105	0.00	72.25	0.2500	0.0000	85.00	12379.62	3432.20	9.7686
274	27.300	709.00	56000.0	958.308	3.2477	0.5095	0.00	72.23	0.2500	0.0000	85.00	12470.66	3461.36	9.7683
275	27.400	707.00	56000.0	963.089	3.2639	0.5085	0.00	72.22	0.2500	0.0000	85.00	12562.15	3490.69	9.7680
276	27.500	705.00	56000.0	967.902	3.2802	0.5075	0.00	72.20	0.2500	0.0000	85.00	12654.08	3520.19	9.7677
277	27.600	703.00	56000.0	972.744	3.2967	0.5065	0.00	72.18	0.2500	0.0000	85.00	12746.46	3549.87	9.7674
278	27.700	701.00	56000.0	977.618	3.3132	0.5054	0.00	72.16	0.2500	0.0000	85.00	12839.29	3579.73	9.7672
279	27.800	699.00	56000.0	982.523	3.3298	0.5044	0.00	72.15	0.2500	0.0000	85.00	12932.59	3609.76	9.7669
280	27.900	697.00	56000.0	987.459	3.3465	0.5033	0.00	72.13	0.2500	0.0000	85.00	13026.34	3639.97	9.7666
281	28.000	695.00	56000.0	992.427	3.3634	0.5023	0.00	72.11	0.2500	0.0000	85.00	13120.55	3670.37	9.7663
282	28.100	693.00	56000.0	997.427	3.3803	0.5012	0.00	72.09	0.2500	0.0000	85.00	13215.23	3700.94	9.7660
283	28.200	691.00	56000.0	1002.459	3.3974	0.5002	0.00	72.08	0.2500	0.0000	85.00	13310.37	3731.70	9.7657
284	28.300	689.00	56000.0	1007.522	3.4145	0.4997	0.00	72.06	0.2500	0.0000	85.00	13405.99	3762.65	9.7654
285	28.400	687.00	56000.0	1012.615	3.4318	0.4994	0.00	72.04	0.2500	0.0000	85.00	13502.08	3793.77	9.7651
286	28.500	685.00	56000.0	1017.738	3.4491	0.4991	0.00	72.03	0.2500	0.0000	85.00	13598.65	3825.09	9.7648
287	28.600	683.00	56000.0	1022.890	3.4666	0.4987	0.00	72.01	0.2500	0.0000	85.00	13695.69	3856.59	9.7645
288	28.700	681.00	56000.0	1028.073	3.4842	0.4984	0.00	71.99	0.2500	0.0000	85.00	13793.22	3888.28	9.7642
289	28.800	679.00	56000.0	1033.287	3.5018	0.4980	0.00	71.97	0.2500	0.0000	85.00	13891.24	3920.16	9.7639
290	28.900	677.00	56000.0	1038.531	3.5196	0.4977	0.00	71.96	0.2500	0.0000	85.00	13989.74	3952.23	9.7636
291	29.000	675.00	56000.0	1043.806	3.5375	0.4974	0.00	71.94	0.2500	0.0000	85.00	14088.73	3984.49	9.7633
292	29.100	673.00	56000.0	1049.112	3.5555	0.4970	0.00	71.92	0.2500	0.0000	85.00	14188.22	4016.94	9.7630
293	29.200	671.00	56000.0	1054.450	3.5736	0.4967	0.00	71.91	0.2500	0.0000	85.00	14288.20	4049.59	9.7627
294	29.300	669.00	56000.0	1059.820	3.5918	0.4963	0.00	71.89	0.2500	0.0000	85.00	14388.68	4082.43	9.7624
295	29.400	667.00	56000.0	1065.222	3.6101	0.4960	0.00	71.88	0.2500	0.0000	85.00	14489.67	4115.47	9.7621
296	29.500	665.00	56000.0	1070.656	3.6285	0.4956	0.00	71.86	0.2500	0.0000	85.00	14591.16	4148.71	9.7618
297	29.600	663.00	56000.0	1076.123	3.6470	0.4952	0.00	71.84	0.2500	0.0000	85.00	14693.15	4182.14	9.7615
298	29.700	661.00	56000.0	1081.623	3.6657	0.4949	0.00	71.83	0.2500	0.0000	85.00	14795.66	4215.78	9.7612
299	29.800	659.00	56000.0	1087.156	3.6844	0.4945	0.00	71.81	0.2500	0.0000	85.00	14898.69	4249.61	9.7608
300	29.900	657.00	56000.0	1092.722	3.7033	0.4942	0.00	71.79	0.2500	0.0000	85.00	15002.23	4283.65	9.7605
301	30.000	655.00	56000.0	1098.322	3.7222	0.4938	0.00	71.78	0.2500	0.0000	85.00	15106.29	4317.89	9.7602
