x(m)	theta_c(grad)
0.00	85.000
0.01	84.952
0.02	84.904
0.03	84.858
0.04	84.813
0.05	84.769
0.06	84.726
0.07	84.684
0.08	84.642
0.09	84.602
0.11	84.562
0.12	84.523
0.13	84.484
0.15	84.446
0.16	84.409
0.18	84.373
0.19	84.337
0.21	84.302
0.22	84.267
0.24	84.233
0.26	84.199
0.27	84.166
0.29	84.133
0.31	84.101
0.33	84.069
0.35	84.038
0.37	84.007
0.39	83.976
0.41	83.946
0.43	83.916
0.45	83.887
0.47	83.858
0.50	83.829
0.52	83.801
0.54	83.773
0.57	83.745
0.59	83.718
0.62	83.691
0.64	83.664
0.67	83.638
0.69	83.611
0.72	83.586
0.75	83.560
0.78	83.534
0.80	83.509
0.83	83.484
0.86	83.460
0.89	83.435
0.92	83.411
0.95	83.387
0.99	83.364
1.02	83.340
1.05	83.317
1.08	83.294
1.12	83.271
1.15	83.248
1.19	83.226
1.22	83.204
1.26	83.181
1.29	83.160
1.33	83.138
1.37	83.116
1.41	83.095
1.44	83.074
1.48	83.053
1.52	83.032
1.56	83.011
1.60	82.991
1.64	82.970
1.69	82.950
1.73	82.930
1.77	82.910
1.81	82.890
1.86	82.871
1.90	82.851
1.95	82.832
1.99	82.813
2.04	82.793
2.09	82.774
2.13	82.756
2.18	82.737
2.23	82.718
2.28	82.700
2.33	82.682
2.38	82.663
2.43	82.645
2.48	82.627
2.53	82.609
2.59	82.592
2.64	82.574
2.69	82.557
2.75	82.539
2.80	82.522
2.86	82.505
2.91	82.487
2.97	82.470
3.03	82.454
3.08	82.437
3.14	82.420
3.20	82.403
3.26	82.387
3.32	82.371
3.38	82.354
3.44	82.338
3.51	82.322
3.57	82.306
3.63	82.290
3.70	82.274
3.76	82.258
3.83	82.242
3.89	82.227
3.96	82.211
4.02	82.196
4.09	82.180
4.16	82.165
4.23	82.150
4.30	82.135
4.37	82.120
4.44	82.105
4.51	82.090
4.58	82.075
4.65	82.060
4.73	82.045
4.80	82.031
4.88	82.016
4.95	82.002
5.03	81.987
5.10	81.973
5.18	81.959
5.26	81.945
5.33	81.930
5.41	81.916
5.49	81.902
5.57	81.888
5.65	81.875
5.74	81.861
5.82	81.847
5.90	81.833
5.98	81.820
6.07	81.806
6.15	81.793
6.24	81.779
6.32	81.766
6.41	81.752
6.50	81.739
6.58	81.726
6.67	81.713
6.76	81.700
6.85	81.686
6.94	81.673
7.03	81.661
7.13	81.648
7.22	81.635
7.31	81.622
7.40	81.609
7.50	81.597
7.59	81.584
7.69	81.571
7.79	81.559
7.88	81.546
7.98	81.534
8.08	81.522
8.18	81.509
8.28	81.497
8.38	81.485
8.48	81.472
8.58	81.460
8.68	81.448
8.79	81.436
8.89	81.424
9.00	81.412
9.10	81.400
9.21	81.388
9.31	81.377
9.42	81.365
9.53	81.353
9.64	81.341
9.75	81.330
9.86	81.318
9.97	81.306
10.08	81.295
10.19	81.283
10.30	81.272
10.42	81.261
10.53	81.249
10.65	81.238
10.76	81.227
10.88	81.215
11.00	81.204
11.11	81.193
11.23	81.182
11.35	81.171
11.47	81.160
11.59	81.149
11.71	81.138
11.84	81.127
11.96	81.116
12.08	81.105
12.21	81.094
12.33	81.083
12.46	81.072
12.58	81.062
12.71	81.051
12.84	81.040
12.96	81.030
13.09	81.019
13.22	81.009
13.35	80.998
13.48	80.988
13.62	80.977
13.75	80.967
13.88	80.956
14.02	80.946
14.15	80.936
14.29	80.925
14.42	80.915
14.56	80.905
14.70	80.895
14.84	80.884
14.98	80.874
15.12	80.864
15.26	80.854
15.40	80.844
15.54	80.834
15.68	80.824
15.83	80.814
15.97	80.804
16.11	80.794
16.26	80.784
16.41	80.774
16.55	80.765
16.70	80.755
16.85	80.745
17.00	80.735
17.15	80.726
17.30	80.716
17.45	80.706
17.61	80.697
17.76	80.687
17.91	80.677
18.07	80.668
18.22	80.658
18.38	80.649
18.54	80.639
18.69	80.630
18.85	80.621
19.01	80.611
19.17	80.602
19.33	80.592
19.49	80.583
19.66	80.574
19.82	80.565
19.98	80.555
20.15	80.546
20.31	80.537
20.48	80.528
20.64	80.519
20.81	80.510
20.98	80.500
21.15	80.491
21.32	80.482
