x(m)	theta_c(grad)
0.00	85.000
0.00	84.995
0.00	84.990
0.00	84.985
0.00	84.980
0.00	84.976
0.01	84.971
0.01	84.966
0.01	84.961
0.01	84.956
0.01	84.952
0.01	84.947
0.01	84.942
0.01	84.937
0.01	84.933
0.01	84.928
0.01	84.923
0.02	84.918
0.02	84.914
0.02	84.909
0.02	84.904
0.02	84.900
0.02	84.895
0.02	84.890
0.02	84.886
0.02	84.881
0.02	84.876
0.02	84.872
0.03	84.867
0.03	84.863
0.03	84.858
0.03	84.854
0.03	84.849
0.03	84.844
0.03	84.840
0.03	84.835
0.03	84.831
0.03	84.826
0.04	84.822
0.04	84.817
0.04	84.813
0.04	84.809
0.04	84.804
0.04	84.800
0.04	84.795
0.04	84.791
0.04	84.786
0.05	84.782
0.05	84.778
0.05	84.773
0.05	84.769
0.05	84.764
0.05	84.760
0.05	84.756
0.05	84.751
0.05	84.747
0.05	84.743
0.06	84.739
0.06	84.734
0.06	84.730
0.06	84.726
0.06	84.721
0.06	84.717
0.06	84.713
0.06	84.709
0.06	84.704
0.07	84.700
0.07	84.696
0.07	84.692
0.07	84.688
0.07	84.683
0.07	84.679
0.07	84.675
0.07	84.671
0.08	84.667
0.08	84.662
0.08	84.658
0.08	84.654
0.08	84.650
0.08	84.646
0.08	84.642
0.08	84.638
0.08	84.634
0.09	84.630
0.09	84.625
0.09	84.621
0.09	84.617
0.09	84.613
0.09	84.609
0.09	84.605
0.09	84.601
0.10	84.597
0.10	84.593
0.10	84.589
0.10	84.585
0.10	84.581
0.10	84.577
0.10	84.573
0.10	84.569
0.11	84.565
0.11	84.561
0.11	84.557
0.11	84.553
0.11	84.549
0.11	84.546
0.11	84.542
0.11	84.538
0.12	84.534
0.12	84.530
0.12	84.526
0.12	84.522
0.12	84.518
0.12	84.514
0.12	84.511
0.13	84.507
0.13	84.503
0.13	84.499
0.13	84.495
0.13	84.491
0.13	84.488
0.13	84.484
0.13	84.480
0.14	84.476
0.14	84.472
0.14	84.469
0.14	84.465
0.14	84.461
0.14	84.457
0.14	84.453
0.15	84.450
0.15	84.446
0.15	84.442
0.15	84.438
0.15	84.435
0.15	84.431
0.15	84.427
0.16	84.424
0.16	84.420
0.16	84.416
0.16	84.412
0.16	84.409
0.16	84.405
0.16	84.401
0.17	84.398
0.17	84.394
0.17	84.390
0.17	84.387
0.17	84.383
0.17	84.380
0.17	84.376
0.18	84.372
0.18	84.369
0.18	84.365
0.18	84.361
0.18	84.358
0.18	84.354
0.19	84.351
0.19	84.347
0.19	84.344
0.19	84.340
0.19	84.336
0.19	84.333
0.19	84.329
0.20	84.326
0.20	84.322
0.20	84.319
0.20	84.315
0.20	84.312
0.20	84.308
0.21	84.305
0.21	84.301
0.21	84.298
0.21	84.294
0.21	84.291
0.21	84.287
0.21	84.284
0.22	84.280
0.22	84.277
0.22	84.273
0.22	84.270
0.22	84.266
0.22	84.263
0.23	84.259
0.23	84.256
0.23	84.253
0.23	84.249
0.23	84.246
0.23	84.242
0.24	84.239
0.24	84.235
0.24	84.232
0.24	84.229
0.24	84.225
0.24	84.222
0.25	84.219
0.25	84.215
0.25	84.212
0.25	84.208
0.25	84.205
0.25	84.202
0.26	84.198
0.26	84.195
0.26	84.192
0.26	84.188
0.26	84.185
0.26	84.182
0.27	84.178
0.27	84.175
0.27	84.172
0.27	84.168
0.27	84.165
0.28	84.162
0.28	84.159
0.28	84.155
0.28	84.152
0.28	84.149
0.28	84.145
0.29	84.142
0.29	84.139
0.29	84.136
0.29	84.132
0.29	84.129
0.30	84.126
0.30	84.123
0.30	84.119
0.30	84.116
0.30	84.113
0.30	84.110
0.31	84.107
0.31	84.103
0.31	84.100
0.31	84.097
0.31	84.094
0.32	84.091
0.32	84.087
0.32	84.084
0.32	84.081
0.32	84.078
0.32	84.075
0.33	84.071
0.33	84.068
0.33	84.065
0.33	84.062
0.33	84.059
0.34	84.056
0.34	84.053
0.34	84.049
0.34	84.046
0.34	84.043
0.35	84.040
0.35	84.037
0.35	84.034
0.35	84.031
0.35	84.028
0.36	84.024
0.36	84.021
0.36	84.018
0.36	84.015
0.36	84.012
0.37	84.009
0.37	84.006
0.37	84.003
0.37	84.000
0.37	83.997
0.38	83.994
0.38	83.991
0.38	83.988
0.38	83.985
0.38	83.981
0.39	83.978
0.39	83.975
0.39	83.972
0.39	83.969
0.39	83.966
0.40	83.963
0.40	83.960
0.40	83.957
0.40	83.954
0.40	83.951
0.41	83.948
0.41	83.945
0.41	83.942
0.41	83.939
0.41	83.936
0.42	83.933
0.42	83.930
0.42	83.927
0.42	83.924
0.43	83.921
0.43	83.918
0.43	83.915
0.43	83.912
0.43	83.910
0.44	83.907
0.44	83.904
0.44	83.901
0.44	83.898
0.44	83.895
0.45	83.892
0.45	83.889
0.45	83.886
0.45	83.883
0.46	83.880
0.46	83.877
0.46	83.874
0.46	83.871
0.46	83.869
0.47	83.866
0.47	83.863
0.47	83.860
0.47	83.857
0.48	83.854
0.48	83.851
0.48	83.848
0.48	83.845
0.48	83.843
0.49	83.840
0.49	83.837
0.49	83.834
0.49	83.831
0.50	83.828
0.50	83.825
0.50	83.823
0.50	83.820
0.50	83.817
0.51	83.814
0.51	83.811
0.51	83.808
0.51	83.806
0.52	83.803
0.52	83.800
0.52	83.797
0.52	83.794
0.53	83.791
0.53	83.789
0.53	83.786
0.53	83.783
0.53	83.780
0.54	83.777
0.54	83.775
0.54	83.772
0.54	83.769
0.55	83.766
0.55	83.764
0.55	83.761
0.55	83.758
0.56	83.755
0.56	83.752
0.56	83.750
0.56	83.747
0.57	83.744
0.57	83.741
0.57	83.739
0.57	83.736
0.58	83.733
0.58	83.730
0.58	83.728
0.58	83.725
0.59	83.722
0.59	83.720
0.59	83.717
0.59	83.714
0.60	83.711
0.60	83.709
0.60	83.706
0.60	83.703
0.61	83.701
0.61	83.698
0.61	83.695
0.61	83.692
0.62	83.690
0.62	83.687
0.62	83.684
0.62	83.682
0.63	83.679
0.63	83.676
0.63	83.674
0.63	83.671
0.64	83.668
0.64	83.666
0.64	83.663
0.64	83.660
0.65	83.658
0.65	83.655
0.65	83.652
0.65	83.650
0.66	83.647
0.66	83.644
0.66	83.642
0.66	83.639
0.67	83.636
0.67	83.634
0.67	83.631
0.67	83.629
0.68	83.626
0.68	83.623
0.68	83.621
0.69	83.618
0.69	83.615
0.69	83.613
0.69	83.610
0.70	83.608
0.70	83.605
0.70	83.602
0.70	83.600
0.71	83.597
0.71	83.595
0.71	83.592
0.71	83.589
0.72	83.587
0.72	83.584
0.72	83.582
0.73	83.579
0.73	83.577
0.73	83.574
0.73	83.571
0.74	83.569
0.74	83.566
0.74	83.564
0.74	83.561
0.75	83.559
0.75	83.556
0.75	83.554
0.76	83.551
0.76	83.548
0.76	83.546
0.76	83.543
0.77	83.541
0.77	83.538
0.77	83.536
0.78	83.533
0.78	83.531
0.78	83.528
0.78	83.526
0.79	83.523
0.79	83.521
0.79	83.518
0.80	83.516
0.80	83.513
0.80	83.511
0.80	83.508
0.81	83.506
0.81	83.503
0.81	83.501
0.82	83.498
0.82	83.496
0.82	83.493
0.82	83.491
0.83	83.488
0.83	83.486
0.83	83.483
0.84	83.481
0.84	83.478
0.84	83.476
0.84	83.473
0.85	83.471
0.85	83.468
0.85	83.466
0.86	83.463
0.86	83.461
0.86	83.459
0.87	83.456
0.87	83.454
0.87	83.451
0.87	83.449
0.88	83.446
0.88	83.444
0.88	83.441
0.89	83.439
0.89	83.437
0.89	83.434
0.90	83.432
0.90	83.429
0.90	83.427
0.90	83.424
0.91	83.422
0.91	83.420
0.91	83.417
0.92	83.415
0.92	83.412
0.92	83.410
0.93	83.408
0.93	83.405
0.93	83.403
0.94	83.400
0.94	83.398
0.94	83.396
0.94	83.393
0.95	83.391
0.95	83.388
0.95	83.386
0.96	83.384
0.96	83.381
0.96	83.379
0.97	83.377
0.97	83.374
0.97	83.372
0.98	83.369
0.98	83.367
0.98	83.365
0.99	83.362
0.99	83.360
0.99	83.358
0.99	83.355
1.00	83.353
1.00	83.351
1.00	83.348
1.01	83.346
1.01	83.343
1.01	83.341
1.02	83.339
1.02	83.336
1.02	83.334
1.03	83.332
1.03	83.329
1.03	83.327
1.04	83.325
1.04	83.322
1.04	83.320
1.05	83.318
1.05	83.316
1.05	83.313
1.06	83.311
1.06	83.309
1.06	83.306
1.07	83.304
1.07	83.302
1.07	83.299
1.08	83.297
1.08	83.295
1.08	83.292
1.09	83.290
1.09	83.288
1.09	83.286
1.10	83.283
1.10	83.281
1.10	83.279
1.11	83.276
1.11	83.274
1.11	83.272
1.12	83.270
1.12	83.267
1.12	83.265
1.13	83.263
1.13	83.260
1.13	83.258
1.14	83.256
1.14	83.254
1.14	83.251
1.15	83.249
1.15	83.247
1.15	83.245
1.16	83.242
1.16	83.240
1.16	83.238
1.17	83.236
1.17	83.233
1.17	83.231
1.18	83.229
1.18	83.227
1.19	83.224
1.19	83.222
1.19	83.220
1.20	83.218
1.20	83.215
1.20	83.213
1.21	83.211
1.21	83.209
1.21	83.207
1.22	83.204
1.22	83.202
1.22	83.200
1.23	83.198
1.23	83.195
1.23	83.193
1.24	83.191
1.24	83.189
1.25	83.187
1.25	83.184
1.25	83.182
1.26	83.180
1.26	83.178
1.26	83.176
1.27	83.173
1.27	83.171
1.27	83.169
1.28	83.167
1.28	83.165
1.29	83.162
1.29	83.160
1.29	83.158
1.30	83.156
1.30	83.154
1.30	83.152
1.31	83.149
1.31	83.147
1.31	83.145
1.32	83.143
1.32	83.141
1.33	83.139
1.33	83.136
1.33	83.134
1.34	83.132
1.34	83.130
1.34	83.128
1.35	83.126
1.35	83.123
1.36	83.121
1.36	83.119
1.36	83.117
1.37	83.115
1.37	83.113
1.37	83.111
1.38	83.108
1.38	83.106
1.39	83.104
1.39	83.102
1.39	83.100
1.40	83.098
1.40	83.096
1.40	83.093
1.41	83.091
1.41	83.089
1.42	83.087
1.42	83.085
1.42	83.083
1.43	83.081
1.43	83.079
1.44	83.076
1.44	83.074
