t(c)	alpha(grad)
0.000	0.000
0.100	0.490
0.200	0.726
0.300	0.865
0.400	0.956
0.500	1.020
0.600	1.067
0.700	1.104
0.800	1.132
0.900	1.155
1.000	1.174
1.100	1.190
1.200	1.203
1.300	1.215
1.400	1.224
1.500	1.233
1.600	1.240
1.700	1.246
1.800	1.251
1.900	1.256
2.000	1.260
2.100	1.264
2.200	1.267
2.300	1.270
2.400	1.272
2.500	1.274
2.600	1.276
2.700	1.278
2.800	1.279
2.900	1.280
3.000	1.281
3.100	1.282
3.200	1.283
3.300	1.283
3.400	1.284
3.500	1.284
3.600	1.284
3.700	1.284
3.800	1.284
3.900	1.284
4.000	1.283
4.100	1.283
4.200	1.283
4.300	1.282
4.400	1.281
4.500	1.281
4.600	1.280
4.700	1.279
4.800	1.279
4.900	1.278
5.000	1.277
5.100	1.276
5.200	1.275
5.300	1.274
5.400	1.273
5.500	1.271
5.600	1.270
5.700	1.269
5.800	1.268
5.900	1.267
6.000	1.265
6.100	1.264
6.200	1.263
6.300	1.261
6.400	1.260
6.500	1.258
6.600	1.257
6.700	1.255
6.800	1.254
6.900	1.252
7.000	1.251
7.100	1.249
7.200	1.248
7.300	1.246
7.400	1.244
7.500	1.243
7.600	1.241
7.700	1.240
7.800	1.238
7.900	1.236
8.000	1.235
8.100	1.233
8.200	1.232
8.300	1.230
8.400	1.228
8.500	1.226
8.600	1.225
8.700	1.223
8.800	1.221
8.900	1.219
9.000	1.217
9.100	1.214
9.200	1.212
9.300	1.210
9.400	1.208
9.500	1.206
9.600	1.203
9.700	1.201
9.800	1.199
9.900	1.197
10.000	1.195
10.100	1.193
10.200	1.191
10.300	1.189
10.400	1.187
10.500	1.185
10.600	1.183
10.700	1.181
10.800	1.179
10.900	1.177
11.000	1.175
11.100	1.172
11.200	1.170
11.300	1.168
11.400	1.166
11.500	1.164
11.600	1.162
11.700	1.160
11.800	1.158
11.900	1.156
12.000	1.154
12.100	1.151
12.200	1.149
12.300	1.147
12.400	1.145
12.500	1.143
12.600	1.141
12.700	1.139
12.800	1.136
12.900	1.134
13.000	1.132
13.100	1.130
13.200	1.128
13.300	1.126
13.400	1.123
13.500	1.121
13.600	1.119
13.700	1.117
13.800	1.115
13.900	1.112
14.000	1.110
14.100	1.108
14.200	1.106
14.300	1.104
14.400	1.101
14.500	1.099
14.600	1.097
14.700	1.095
14.800	1.093
14.900	1.090
15.000	1.088
15.100	1.086
15.200	1.084
15.300	1.082
15.400	1.079
15.500	1.077
15.600	1.075
15.700	1.073
15.800	1.070
15.900	1.068
16.000	1.066
16.100	1.064
16.200	1.062
16.300	1.059
16.400	1.057
16.500	1.055
16.600	1.053
16.700	1.051
16.800	1.048
16.900	1.046
17.000	1.044
17.100	1.042
17.200	1.039
17.300	1.037
17.400	1.035
17.500	1.033
17.600	1.031
17.700	1.028
17.800	1.026
17.900	1.024
18.000	1.022
18.100	1.020
18.200	1.017
18.300	1.015
18.400	1.013
18.500	1.011
18.600	1.009
18.700	1.006
18.800	1.004
18.900	1.002
19.000	1.000
19.100	0.998
19.200	0.996
19.300	0.993
19.400	0.991
19.500	0.989
19.600	0.987
19.700	0.985
19.800	0.983
19.900	0.980
20.000	0.978
20.100	0.976
20.200	0.974
20.300	0.972
20.400	0.970
20.500	0.967
20.600	0.965
20.700	0.963
20.800	0.961
20.900	0.959
21.000	0.957
21.100	0.955
21.200	0.953
21.300	0.950
21.400	0.948
21.500	0.946
21.600	0.944
21.700	0.942
21.800	0.940
21.900	0.938
22.000	0.936
22.100	0.934
22.200	0.932
22.300	0.929
22.400	0.927
22.500	0.925
22.600	0.923
22.700	0.921
22.800	0.919
22.900	0.917
23.000	0.915
23.100	0.913
23.200	0.911
23.300	0.909
23.400	0.907
23.500	0.905
23.600	0.903
23.700	0.901
23.800	0.899
23.900	0.897
24.000	0.895
24.100	0.893
24.200	0.891
24.300	0.889
24.400	0.887
24.500	0.885
24.600	0.883
24.700	0.881
24.800	0.879
24.900	0.877
25.000	0.875
25.100	0.873
25.200	0.871
25.300	0.869
25.400	0.867
25.500	0.865
25.600	0.863
25.700	0.861
25.800	0.859
25.900	0.857
26.000	0.855
26.100	0.854
26.200	0.852
26.300	0.850
26.400	0.848
26.500	0.846
26.600	0.844
26.700	0.842
26.800	0.840
26.900	0.839
27.000	0.837
27.100	0.835
27.200	0.833
27.300	0.831
27.400	0.829
27.500	0.828
27.600	0.826
27.700	0.824
27.800	0.822
27.900	0.821
28.000	0.819
28.100	0.817
28.200	0.815
28.300	0.814
28.400	0.812
28.500	0.810
28.600	0.808
28.700	0.807
28.800	0.805
28.900	0.803
29.000	0.801
29.100	0.800
29.200	0.798
29.300	0.796
29.400	0.795
29.500	0.793
29.600	0.791
29.700	0.790
29.800	0.788
29.900	0.786
30.000	0.785
